task,benchmark_or_layer,metric,hypseek_rk,hypseek_vs_seed1,hypseek_vs_seed2,seed_spread_pct,vs_rk_pct
T1,DUDE,EF1%,56.39,43.29,42.03,2.9,-24.3
T1,DEKOIS,EF1%,28.83,23.32,22.63,3.0,-20.3
T1,PCBA,EF1%,8.34,4.44,5.22,17.6,-42.1
T3,L1,AUROC,0.9230,0.8879,0.8882,0.0,-3.8
T3,L1,EF1%,36.6309,22.1470,22.2180,0.3,-39.4
T3,L1,BEDROC,0.6902,0.4461,0.4467,0.1,-35.3
T3,L2,AUROC,0.8776,0.8363,0.8316,0.6,-5.0
T3,L2,EF1%,23.6087,13.3248,13.0614,2.0,-44.1
T3,L2,BEDROC,0.4638,0.2796,0.2766,1.0,-40.0
T3,L3,AUROC,0.7696,0.7457,0.7377,1.1,-3.6
T3,L3,EF1%,13.5551,7.1072,7.0254,1.2,-47.9
T3,L3,BEDROC,0.2739,0.1566,0.1522,2.8,-43.6
T3,L4,AUROC,0.7103,0.6817,0.6747,1.0,-4.5
T3,L4,EF1%,7.3415,4.6254,4.1396,10.5,-40.3
T3,L4,BEDROC,0.1569,0.1052,0.0999,5.0,-34.6
