model,group,n_targets,EF1,BEDROC,AUROC
conplex,seen(26),26,36.3896,0.6001,0.8511
conplex,unseen(76),76,12.6521,0.2055,0.6261
conglude,seen(26),26,27.3914,0.4469,0.8223
conglude,unseen(76),76,26.1680,0.4103,0.8056
sprint,seen(26),26,2.8628,0.0594,0.6386
sprint,unseen(76),76,5.1640,0.1002,0.7064
hypseek_rk,seen(26),26,58.1499,0.9400,0.9837
hypseek_rk,unseen(76),76,55.7889,0.8644,0.9610
ligunity_pocket,seen(26),26,40.5388,0.6347,0.9055
ligunity_pocket,unseen(76),76,43.3187,0.6589,0.8877
drugclip,seen(26),26,39.0213,0.6309,0.9171
drugclip,unseen(76),76,29.5604,0.4555,0.7691
