model,n_seen,n_unseen,ratio_seen,ratio_unseen,fold,p_mannwhitney
conplex,26,75,1.1523,0.2477,4.652,0.00020
conglude,26,75,0.6811,0.8571,0.795,0.85549
sprint,26,75,0.0383,0.1185,0.324,0.92111
hypseek_rk,26,75,1.7179,1.9474,0.882,0.90338
ligunity_pocket,26,76,1.1289,1.3246,0.852,0.98938
ligunity_protein,26,76,0.8512,1.2330,0.690,0.99982
litenclip,26,76,1.1676,1.3531,0.863,0.97279
drugclip,26,76,1.0023,0.9253,1.083,0.05466
bindclip_randneg,26,76,1.1798,0.9597,1.229,0.00114
bindclip_hardneg,26,75,0.8043,0.7188,1.119,0.21070
