model,r_A_train,r_B_testonly,r_C_never,p_A_vs_C,p_B_vs_C,kruskal_p
conplex,1.0335,0.6154,0.1000,0.000003,0.000596,0.000008
conglude,0.8172,0.7846,0.8418,0.590329,0.620074,0.940690
sprint,0.0554,0.2075,0.0626,0.140559,0.003318,0.010668
hypseek_rk,1.7287,1.9624,1.9630,0.851623,0.522450,0.403821
ligunity_pocket,1.1513,1.4118,1.3672,0.986601,0.540851,0.043221
ligunity_protein,0.9978,1.0581,1.2273,0.988975,0.715063,0.048860
litenclip,1.2702,1.5256,1.2500,0.699819,0.306783,0.452475
drugclip,0.9378,0.8815,0.9844,0.248855,0.698824,0.465948
bindclip_randneg,1.0213,0.8622,1.0000,0.325108,0.957307,0.086655
bindclip_hardneg,0.8022,0.8261,0.7166,0.390630,0.647343,0.819710
