model,n_targets,EF1,EF5,BEDROC,AUROC,EF1_all102,delta_pct
hypseek_rk,45,52.9031,16.9557,0.8355,0.9492,56.3907,-6.18
litenclip,45,42.6027,13.7793,0.6597,0.8814,43.9536,-3.07
ligunity_pocket,45,42.6125,13.8159,0.6611,0.8862,42.6101,0.01
ligunity_protein,45,39.3459,13.0954,0.6243,0.8863,36.6929,7.23
bindclip_randneg,45,31.1601,10.7086,0.4849,0.8092,32.8210,-5.06
drugclip,45,30.4974,10.0384,0.4717,0.7914,31.9720,-4.61
bindclip_hardneg,45,26.1849,9.1996,0.4152,0.7849,27.6402,-5.27
conglude,45,23.8039,8.8082,0.3700,0.7943,26.4798,-10.11
conplex,45,4.8313,2.8067,0.0899,0.5769,18.7028,-74.17
sprint,45,3.2033,2.6646,0.0655,0.6323,4.5774,-30.02
