alpha_poc,alpha_prot,ratio,benchmark,n_targets,ef1,ef5,bedroc,auroc
1,0.0,0.0,DUDE,102,50.851908,16.123596,0.775164,0.944525
1,0.125,0.125,DUDE,102,51.049224,16.142909,0.778877,0.945967
1,0.25,0.25,DUDE,102,51.039345,16.158790,0.780489,0.946921
1,0.5,0.5,DUDE,102,50.975627,16.150976,0.780306,0.947950
1,1.0,1.0,DUDE,102,50.566269,16.097179,0.774896,0.948535
1,2.0,2.0,DUDE,102,49.492414,15.994935,0.763199,0.948207
1,4.0,4.0,DUDE,102,48.463790,15.840164,0.748753,0.947181
1,8.0,8.0,DUDE,102,47.469120,15.677157,0.737379,0.946080
0,1,inf,DUDE,102,46.229892,15.446379,0.721723,0.944214
1,0.0,0.0,DEKOIS,81,25.856855,15.354277,0.787138,0.937693
1,0.125,0.125,DEKOIS,81,26.033161,15.483802,0.795616,0.940276
1,0.25,0.25,DEKOIS,81,26.297974,15.576621,0.801844,0.942025
1,0.5,0.5,DEKOIS,81,26.474398,15.687384,0.809038,0.943969
1,1.0,1.0,DEKOIS,81,26.859608,15.804468,0.815641,0.945461
1,2.0,2.0,DEKOIS,81,27.063332,15.786255,0.817962,0.946006
1,4.0,4.0,DEKOIS,81,26.947105,15.792972,0.816517,0.945856
1,8.0,8.0,DEKOIS,81,26.858906,15.749625,0.813470,0.945546
0,1,inf,DEKOIS,81,26.682387,15.626556,0.808367,0.944880
1,0.0,0.0,PCBA,15,7.780225,3.008875,0.087995,0.613145
1,0.125,0.125,PCBA,15,7.879464,3.074488,0.090440,0.612607
1,0.25,0.25,PCBA,15,7.909972,3.133496,0.091531,0.611606
1,0.5,0.5,PCBA,15,8.115541,3.343834,0.092842,0.609382
1,1.0,1.0,PCBA,15,8.653920,3.353481,0.095316,0.605679
1,2.0,2.0,PCBA,15,8.947009,3.273510,0.096731,0.601610
1,4.0,4.0,PCBA,15,9.555105,3.166708,0.095828,0.598204
1,8.0,8.0,PCBA,15,8.863652,3.250456,0.095395,0.595851
0,1,inf,PCBA,15,8.284516,3.288923,0.093877,0.592912
