model,benchmark,n_targets,EF1,EF5,BEDROC,AUROC
hypseek_rk,DUDE,102,56.3907,17.8672,0.8837,0.9668
hypseek_rk,DEKOIS,81,28.8349,17.2443,0.8892,0.9636
hypseek_rk,PCBA,15,8.3401,3.4682,0.0977,0.6131
ligunity_pocket,DUDE,102,42.5714,13.5700,0.6528,0.8922
ligunity_pocket,DEKOIS,81,24.6162,13.5282,0.7275,0.9112
ligunity_pocket,PCBA,15,7.3030,3.1039,0.0875,0.6014
ligunity_protein,DUDE,102,36.6858,12.1048,0.5740,0.8873
ligunity_protein,DEKOIS,81,27.0414,14.3019,0.7848,0.9246
ligunity_protein,PCBA,15,6.2208,2.1802,0.0745,0.5630
litenclip,DUDE,102,43.9536,14.2869,0.6774,0.9034
litenclip,DEKOIS,81,23.9662,13.8397,0.7122,0.9090
litenclip,PCBA,15,6.5604,2.8589,0.0764,0.6123
drugclip,DUDE,102,31.9400,10.6563,0.5002,0.8069
drugclip,DEKOIS,81,17.8579,9.1067,0.5041,0.7906
drugclip,PCBA,15,5.5491,2.2675,0.0623,0.5716
bindclip_randneg,DUDE,102,32.8086,10.9660,0.5117,0.8177
bindclip_randneg,DEKOIS,81,19.3586,9.6304,0.5474,0.7902
bindclip_randneg,PCBA,15,6.3576,3.0273,0.0786,0.5875
bindclip_hardneg,DUDE,102,27.6411,9.3287,0.4339,0.7850
bindclip_hardneg,DEKOIS,81,17.5640,9.1186,0.5040,0.7658
bindclip_hardneg,PCBA,15,6.2343,2.6963,0.0769,0.5777
conglude,DUDE,102,26.4798,9.8318,0.4196,0.8099
conglude,DEKOIS,81,16.5513,8.7364,0.4700,0.7954
conglude,PCBA,13,13.2428,4.9664,0.1280,0.6427
conplex,DUDE,102,18.7028,7.0082,0.3060,0.6834
conplex,DEKOIS,80,10.4640,6.0632,0.3135,0.6664
conplex,PCBA,14,2.1506,1.3405,0.0292,0.5537
sprint,DEKOIS,81,3.0882,3.0043,0.1085,0.6784
