benchmark,target,n_mol,n_active,ef1,ef1_ceiling,pct_of_ceiling,bedroc,auroc
DUD-E,INHA,2343,43,54.4884,54.4884,1.0000,0.9974,0.9999
DUD-E,AA2AR,32010,482,66.4108,66.4108,1.0000,0.9948,0.9990
DUD-E,ABL1,10929,182,60.0495,60.0495,1.0000,0.9831,0.9851
DUD-E,ACE,17173,282,60.8972,60.8972,1.0000,0.9925,0.9915
DUD-E,ACES,26691,453,58.9205,58.9205,1.0000,0.9864,0.9894
DUD-E,ADA,5543,93,59.6022,59.6022,1.0000,0.9946,0.9921
DUD-E,ADA17,36426,532,68.4699,68.4699,1.0000,0.9986,0.9986
DUD-E,ADRB1,16095,247,65.1619,65.1619,1.0000,0.9875,0.9961
DUD-E,ADRB2,15230,231,65.9307,65.9307,1.0000,0.9908,0.9965
DUD-E,AKT1,16740,293,57.1331,57.1331,1.0000,0.9888,0.9924
DUD-E,AKT2,7013,117,59.9402,59.9402,1.0000,0.9959,0.9935
DUD-E,ALDR,9154,159,57.5723,57.5723,1.0000,0.9788,0.9913
DUD-E,AMPC,2898,48,60.3750,60.3750,1.0000,0.9047,0.9327
DUD-E,ANDR,14615,268,54.5336,54.5336,1.0000,0.9832,0.9914
DUD-E,AOFB,7012,122,57.4754,57.4754,1.0000,0.9562,0.9811
DUD-E,BACE1,18380,283,64.9470,64.9470,1.0000,0.9898,0.9952
DUD-E,BRAF,10099,152,66.4408,66.4408,1.0000,0.9912,0.9937
DUD-E,CAH2,31652,492,64.3333,64.3333,1.0000,0.9924,0.9960
DUD-E,CASP3,10894,199,54.7437,54.7437,1.0000,0.9935,0.9968
DUD-E,CDK2,28320,474,59.7468,59.7468,1.0000,0.9815,0.9910
DUD-E,COMT,3889,41,94.8537,94.8537,1.0000,1.0000,1.0000
DUD-E,CP2C9,7569,120,63.0750,63.0750,1.0000,0.9228,0.9796
DUD-E,CP3A4,11968,170,70.4000,70.4000,1.0000,0.8875,0.9542
DUD-E,CSF1R,12309,166,74.1506,74.1506,1.0000,0.9733,0.9958
DUD-E,CXCR4,3446,40,86.1500,86.1500,1.0000,0.9987,1.0000
DUD-E,DEF,5798,102,56.8431,56.8431,1.0000,0.9998,1.0000
DUD-E,DHI1,19675,330,59.6212,59.6212,1.0000,0.9944,0.9968
DUD-E,DPP4,41459,533,77.7842,77.7842,1.0000,0.9960,0.9971
DUD-E,DRD3,34518,480,71.9125,71.9125,1.0000,0.9878,0.9945
DUD-E,DYR,17423,231,75.4242,75.4242,1.0000,0.9866,0.9938
DUD-E,EGFR,35584,542,65.6531,65.6531,1.0000,0.9899,0.9961
DUD-E,ESR1,21060,382,55.1309,55.1309,1.0000,0.9917,0.9919
DUD-E,ESR2,20556,366,56.1639,56.1639,1.0000,0.9928,0.9895
DUD-E,FA10,28847,537,53.7188,53.7188,1.0000,0.9995,1.0000
DUD-E,FA7,6362,114,55.8070,55.8070,1.0000,1.0000,1.0000
DUD-E,FABP4,2796,47,59.4894,59.4894,1.0000,0.9685,0.9825
DUD-E,FAK1,5449,100,54.4900,54.4900,1.0000,0.9679,0.9853
DUD-E,FGFR1,8835,139,63.5612,63.5612,1.0000,0.9829,0.9963
DUD-E,FKB1A,5911,111,53.2523,53.2523,1.0000,0.9961,0.9979
DUD-E,FNTA,52056,592,87.9324,87.9324,1.0000,0.9949,0.9949
DUD-E,FPPS,8928,85,99.2000,100.0000,0.9920,0.9996,1.0000
DUD-E,GCR,15254,257,59.3541,59.3541,1.0000,0.9922,0.9930
DUD-E,GLCM,3853,54,71.3519,71.3519,1.0000,0.9860,0.9933
DUD-E,GRIA2,12001,158,75.9557,75.9557,1.0000,0.9860,0.9994
DUD-E,GRIK1,6647,101,65.8119,65.8119,1.0000,0.9985,1.0000
DUD-E,HDAC2,10485,185,56.6757,56.6757,1.0000,0.9941,0.9916
DUD-E,HDAC8,10618,170,62.4588,62.4588,1.0000,0.9881,0.9800
DUD-E,HIVINT,6750,100,67.5000,67.5000,1.0000,0.9780,0.9918
DUD-E,HIVPR,36283,536,67.6922,67.6922,1.0000,0.9891,0.9865
DUD-E,HIVRT,19216,338,56.8521,56.8521,1.0000,0.9847,0.9892
DUD-E,HMDH,8919,170,52.4647,52.4647,1.0000,0.9950,0.9933
DUD-E,HS90A,4937,88,56.1023,56.1023,1.0000,0.9944,0.9975
DUD-E,HXK4,4792,92,52.0870,52.0870,1.0000,0.9999,1.0000
DUD-E,IGF1R,9448,148,63.8378,63.8378,1.0000,0.9822,0.9899
DUD-E,ITAL,8637,138,62.5870,62.5870,1.0000,1.0000,1.0000
DUD-E,JAK2,6607,107,61.7477,61.7477,1.0000,0.9766,0.9835
DUD-E,KIF11,6966,116,60.0517,60.0517,1.0000,0.9958,0.9986
DUD-E,KIT,10609,166,63.9096,63.9096,1.0000,0.9729,0.9875
DUD-E,KITH,2907,57,51.0000,51.0000,1.0000,0.9999,1.0000
DUD-E,KPCB,8833,135,65.4296,65.4296,1.0000,0.9728,0.9772
DUD-E,LCK,27813,420,66.2214,66.2214,1.0000,0.9885,0.9940
DUD-E,LKHA4,9617,171,56.2398,56.2398,1.0000,0.9951,0.9991
