benchmark,target,n_molecules,n_actives,metric,pocket,sequence,diff
DUDE,aa2ar,32010,482,EF1%,62.8937,64.8591,+1.9654
DUDE,abl1,10929,182,EF1%,58.9576,45.3100,-13.6476
DUDE,ace,17173,282,EF1%,60.8972,6.0189,-54.8783
DUDE,aces,26691,453,EF1%,54.6173,9.0477,-45.5696
DUDE,ada,5543,93,EF1%,55.3449,59.6022,+4.2573
DUDE,ada17,36426,532,EF1%,63.9678,62.2795,-1.6883
DUDE,adrb1,16095,247,EF1%,61.7217,2.4284,-59.2933
DUDE,adrb2,15230,231,EF1%,64.2071,65.9307,+1.7237
DUDE,akt1,16740,293,EF1%,10.2023,18.3642,+8.1619
DUDE,akt2,7013,117,EF1%,54.0306,32.0807,-21.9499
DUDE,aldr,9154,159,EF1%,52.2531,57.5723,+5.3192
DUDE,ampc,2898,48,EF1%,4.1638,20.8190,+16.6552
DUDE,andr,14615,268,EF1%,42.2913,32.2750,-10.0164
DUDE,aofb,7012,122,EF1%,42.0947,49.3803,+7.2856
DUDE,bace1,18380,283,EF1%,58.2405,18.7076,-39.5330
DUDE,braf,10099,152,EF1%,53.6131,59.2047,+5.5916
DUDE,cah2,31652,492,EF1%,57.8391,22.5268,-35.3123
DUDE,casp3,10894,199,EF1%,44.6990,50.2236,+5.5246
DUDE,cdk2,28320,474,EF1%,53.0148,47.9658,-5.0490
DUDE,comt,3889,41,EF1%,2.4321,65.6679,+63.2358
DUDE,cp2c9,7569,120,EF1%,5.8095,12.4490,+6.6395
DUDE,cp3a4,11968,170,EF1%,4.6933,19.9467,+15.2533
DUDE,csf1r,12309,166,EF1%,46.0451,36.4773,-9.5678
DUDE,cxcr4,3446,40,EF1%,0.0000,36.9214,+36.9214
DUDE,def,5798,102,EF1%,34.3019,56.8431,+22.5412
DUDE,dhi1,19675,330,EF1%,19.0667,37.8307,+18.7640
DUDE,dpp4,41459,533,EF1%,72.5361,5.9978,-66.5383
DUDE,drd3,34518,480,EF1%,6.0273,56.7402,+50.7129
DUDE,dyr,17423,231,EF1%,74.9932,75.4242,+0.4310
DUDE,egfr,35584,542,EF1%,61.4115,24.3433,-37.0682
DUDE,esr1,21060,382,EF1%,54.3470,50.6891,-3.6580
DUDE,esr2,20556,366,EF1%,55.8913,47.7121,-8.1792
DUDE,fa10,28847,537,EF1%,48.4213,34.7592,-13.6620
DUDE,fa7,6362,114,EF1%,53.1911,44.4712,-8.7198
DUDE,fabp4,2796,47,EF1%,59.4894,14.8723,-44.6170
DUDE,fak1,5449,100,EF1%,54.4900,54.4900,+0.0000
DUDE,fgfr1,8835,139,EF1%,22.8534,34.2802,+11.4267
DUDE,fkb1a,5911,111,EF1%,53.2523,53.2523,+0.0000
DUDE,fnta,52056,592,EF1%,43.5443,46.7510,+3.2067
DUDE,fpps,8928,85,EF1%,0.0000,0.0000,+0.0000
DUDE,gcr,15254,257,EF1%,39.5694,38.4056,-1.1638
DUDE,glcm,3853,54,EF1%,64.0337,23.7840,-40.2498
DUDE,gria2,12001,158,EF1%,13.8101,11.2992,-2.5109
DUDE,grik1,6647,101,EF1%,42.2375,40.2729,-1.9645
DUDE,hdac2,10485,185,EF1%,10.2556,56.6757,+46.4201
DUDE,hdac8,10618,170,EF1%,56.0378,45.5307,-10.5071
DUDE,hivint,6750,100,EF1%,0.0000,0.0000,+0.0000
DUDE,hivpr,36283,536,EF1%,54.8251,39.1608,-15.6643
DUDE,hivrt,19216,338,EF1%,56.5575,54.7901,-1.7674
DUDE,hmdh,8919,170,EF1%,52.4647,52.4647,+0.0000
