layer,uniprot,smiles,paff,composite,interaction,smina,converged
L1,O95271,COCC(=O)Nc1ccc2c(=O)[nH]c(-c3ccc(C(F)(F)F)cc3)nc2c1,6.0,-32.25138083764266,-54.61785595735761,9.48643,True
L1,O95271,COCC(=O)Nc1ccc2c(=O)[nH]c(-c3ccc(OCCN(C)C)cc3)nc2c1,6.0,-63.364930732127824,-102.53092474530288,7.40216,True
L1,O95271,CC(=O)Nc1ccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc2c1,7.0862,-76.01745811982458,-113.276453076251,10.37612,True
L1,O95271,c1ccc2c(c1)C(=NNC2=O)Cc3ccc(c(c3)C(=O)N4CCN(CC4)C(=O)C5CC5)F,6.1918,-59.956667045351445,-89.76568855752754,11.69318,True
L1,O95271,COCC(=O)Nc1ccc2c(=O)[nH]c(-c3ccc(C(C)O)cc3)nc2c1,6.0,-78.6779303654954,-131.24447077036936,9.25751,True
L1,O95271,CNC(=O)c1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,7.2676,-114.96339833269656,-170.53753742417453,9.97849,True
L1,O95271,CC(C(=O)NCc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12)N(C)C,6.52,-139.7712132794702,-231.94171407111247,9.10036,True
L1,O95271,COCC(=O)Nc1ccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc2c1,6.1701,-51.77704018340948,-87.05229041382327,8.62418,True
L1,O95271,CC(=O)Nc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,7.2441,-68.6283680499723,-98.59364467485469,11.57511,True
L1,O95271,CC(C)(C)c1ccc(-c2nc3c(NC(=O)C(O)CO)cccc3c(=O)[nH]2)cc1,7.3,-71.47073408507957,-105.23672529961114,11.16524,True
