model,metric,split,n,spearman,pearson
hypseek_rk,scoring,全部,285,0.6270,0.6220
hypseek_rk,scoring,脏复合物,148,0.6244,0.6128
hypseek_rk,scoring,净复合物,137,0.5334,0.5480
hypseek_rk,ranking,全部,55,0.5491,
hypseek_rk,ranking,全脏靶点,13,0.8000,
hypseek_rk,ranking,全净靶点,14,0.3071,
pocket_ranking,scoring,全部,285,0.3605,0.3164
pocket_ranking,scoring,脏复合物,148,0.3060,0.2180
pocket_ranking,scoring,净复合物,137,0.2936,0.2970
pocket_ranking,ranking,全部,55,0.4236,
pocket_ranking,ranking,全脏靶点,13,0.5538,
pocket_ranking,ranking,全净靶点,14,0.2643,
protein_ranking,scoring,全部,285,0.2215,0.1933
protein_ranking,scoring,脏复合物,148,0.0767,0.0780
protein_ranking,scoring,净复合物,137,0.3008,0.2710
protein_ranking,ranking,全部,55,0.2818,
protein_ranking,ranking,全脏靶点,13,0.2538,
protein_ranking,ranking,全净靶点,14,0.1500,
litenclip,scoring,全部,285,0.3636,0.3556
litenclip,scoring,脏复合物,148,0.2437,0.2786
litenclip,scoring,净复合物,137,0.3943,0.3691
litenclip,ranking,全部,55,0.3709,
litenclip,ranking,全脏靶点,13,0.4846,
litenclip,ranking,全净靶点,14,0.3929,
