model,metric,split,n,spearman,pearson
pocket_ranking,scoring,全部,285,0.3605,0.3164
pocket_ranking,scoring,脏复合物,148,0.3060,0.2180
pocket_ranking,scoring,净复合物,137,0.2936,0.2970
pocket_ranking,ranking,全部,55,0.4236,
pocket_ranking,ranking,全脏靶点,13,0.5538,
pocket_ranking,ranking,全净靶点,14,0.2643,
pocket_ranking_0.8,scoring,全部,285,0.3409,0.3336
pocket_ranking_0.8,scoring,脏复合物,148,0.2109,0.2171
pocket_ranking_0.8,scoring,净复合物,137,0.4451,0.4191
pocket_ranking_0.8,ranking,全部,55,0.4327,
pocket_ranking_0.8,ranking,全脏靶点,13,0.5692,
pocket_ranking_0.8,ranking,全净靶点,14,0.2857,
pocket_ranking_0.3,scoring,全部,285,0.1645,0.1748
pocket_ranking_0.3,scoring,脏复合物,148,0.1061,0.1359
pocket_ranking_0.3,scoring,净复合物,137,0.3100,0.2912
pocket_ranking_0.3,ranking,全部,55,0.2636,
pocket_ranking_0.3,ranking,全脏靶点,13,0.2462,
pocket_ranking_0.3,ranking,全净靶点,14,0.1000,
protein_ranking,scoring,全部,285,0.2215,0.1933
protein_ranking,scoring,脏复合物,148,0.0767,0.0780
protein_ranking,scoring,净复合物,137,0.3008,0.2710
protein_ranking,ranking,全部,55,0.2818,
protein_ranking,ranking,全脏靶点,13,0.2538,
protein_ranking,ranking,全净靶点,14,0.1500,
protein_ranking_0.8,scoring,全部,285,0.2426,0.2266
protein_ranking_0.8,scoring,脏复合物,148,0.0874,0.0875
protein_ranking_0.8,scoring,净复合物,137,0.4225,0.3809
protein_ranking_0.8,ranking,全部,55,0.3855,
protein_ranking_0.8,ranking,全脏靶点,13,0.4615,
protein_ranking_0.8,ranking,全净靶点,14,0.2500,
protein_ranking_0.3,scoring,全部,285,0.1102,0.0995
protein_ranking_0.3,scoring,脏复合物,148,0.0673,0.0712
protein_ranking_0.3,scoring,净复合物,137,0.2912,0.2802
protein_ranking_0.3,ranking,全部,55,0.3442,
protein_ranking_0.3,ranking,全脏靶点,13,0.4538,
protein_ranking_0.3,ranking,全净靶点,14,0.1500,
