baseline,layer,uniprot,n_actives,spearman
oracle,L1,C7C422,35,0.3952
oracle,L1,O00141,31,0.4210
oracle,L1,O00329,182,0.6687
oracle,L1,O00444,13,-0.5879
oracle,L1,O00519,47,0.2930
oracle,L1,O00763,13,-0.4979
oracle,L1,O14744,24,0.4478
oracle,L1,O14757,13,0.3315
oracle,L1,O14965,23,0.0302
oracle,L1,O15379,141,0.4996
oracle,L1,O43353,246,0.5367
oracle,L1,O43570,250,0.3996
oracle,L1,O60218,33,0.3937
oracle,L1,O60341,104,0.6500
oracle,L1,O60674,228,0.7552
oracle,L1,O60885,58,0.2397
oracle,L1,O75116,34,0.5754
oracle,L1,O75385,10,-0.4424
oracle,L1,O75417,10,0.0732
oracle,L1,O75460,34,0.5059
oracle,L1,O75469,82,0.6697
oracle,L1,O75762,15,0.0858
oracle,L1,O75874,29,-0.2587
oracle,L1,O76074,54,0.6140
oracle,L1,O76083,15,-0.6679
oracle,L1,O95271,19,0.6970
oracle,L1,O95819,16,-0.3714
oracle,L1,O96013,21,0.3626
oracle,L1,O96028,22,0.4602
oracle,L1,P00352,10,0.3091
oracle,L1,P00491,26,0.2313
oracle,L1,P00519,47,0.5056
oracle,L1,P00533,467,0.6535
oracle,L1,P00734,149,0.6135
oracle,L1,P00742,20,0.2628
oracle,L1,P00915,169,0.6931
oracle,L1,P00918,245,0.4134
oracle,L1,P00956,78,0.1720
oracle,L1,P01116,51,0.4290
oracle,L1,P03372,40,0.3569
oracle,L1,P04049,17,-0.2088
oracle,L1,P04626,96,0.3553
oracle,L1,P04629,64,0.4947
oracle,L1,P04798,63,0.7204
oracle,L1,P05089,57,0.5168
oracle,L1,P05177,42,0.5371
oracle,L1,P05771,11,0.2477
oracle,L1,P05979,30,-0.0134
oracle,L1,P06213,13,-0.8824
oracle,L1,P06239,68,0.4805
oracle,L1,P06276,49,0.3227
oracle,L1,P06493,37,0.2974
oracle,L1,P07333,103,0.5138
oracle,L1,P07550,12,-0.5237
oracle,L1,P07711,41,0.5193
oracle,L1,P07900,29,0.7105
oracle,L1,P07947,44,0.4347
oracle,L1,P07948,13,-0.3646
oracle,L1,P07949,41,0.3605
oracle,L1,P08069,40,0.5874
oracle,L1,P08173,13,-0.7950
oracle,L1,P08238,27,-0.0779
oracle,L1,P08246,29,0.4398
