baseline,layer,uniprot,n_actives,spearman
oracle,L1,O15379,141,0.4996
oracle,L1,O43353,246,0.5367
oracle,L1,O60341,104,0.6500
oracle,L1,O60674,228,0.7552
oracle,L1,O60885,58,0.2397
oracle,L1,O75469,82,0.6697
oracle,L1,P00734,149,0.6135
oracle,L1,P00915,169,0.6931
oracle,L1,P01116,51,0.4290
oracle,L1,P04798,63,0.7204
oracle,L1,P06239,68,0.4805
oracle,L1,P07333,103,0.5138
oracle,L1,P08581,66,0.4522
oracle,L1,P0DMS8,69,0.6154
oracle,L1,P0DTD1,420,0.7053
oracle,L1,P11362,56,0.4474
oracle,L1,P11802,71,0.6218
oracle,L1,P12931,91,0.2941
oracle,L1,P15056,58,0.2657
oracle,L1,P18031,116,0.5391
oracle,L1,P21554,100,0.3452
oracle,L1,P22413,189,0.5909
oracle,L1,P22455,55,0.4414
oracle,L1,P23458,197,0.7635
oracle,L1,P27338,155,0.3152
oracle,L1,P28335,80,0.6515
oracle,L1,P29597,187,0.6553
oracle,L1,P30530,50,0.4668
oracle,L1,P31153,63,0.5523
oracle,L1,P34913,124,0.3700
oracle,L1,P34914,99,0.6512
oracle,L1,P34972,67,0.3832
oracle,L1,P35968,136,0.5865
oracle,L1,P36888,84,0.3325
oracle,L1,P41145,193,0.5770
oracle,L1,P41182,63,0.4306
oracle,L1,P41595,91,0.3175
oracle,L1,P47989,55,0.1748
oracle,L1,P49327,665,0.7014
oracle,L1,P50406,67,0.3479
oracle,L1,P50750,67,0.3258
oracle,L1,P52333,256,0.4190
oracle,L1,P53634,58,0.4004
oracle,L1,P56817,260,0.7778
oracle,L1,Q05397,90,0.5538
oracle,L1,Q13188,50,0.3305
oracle,L1,Q13547,361,0.5769
oracle,L1,Q13627,111,0.2623
oracle,L1,Q16678,107,0.6330
oracle,L1,Q92769,127,0.5258
oracle,L1,Q92918,161,0.4958
oracle,L1,Q9BY41,104,0.5448
oracle,L1,Q9NWZ3,91,0.5951
oracle,L1,Q9NZQ7,85,0.7079
oracle,L1,Q9UBN7,426,0.5192
oracle,L1,Q9Y5Z0,227,0.8623
oracle,L2,O14684,125,0.1918
oracle,L2,O14744,814,0.6639
oracle,L2,O14757,190,0.8534
oracle,L2,O15379,413,0.8419
oracle,L2,O43570,239,0.7665
oracle,L2,O43613,99,0.8598
oracle,L2,O43614,145,0.8223
oracle,L2,O60341,807,0.8586
oracle,L2,O60502,301,0.5611
oracle,L2,O60885,576,0.6721
oracle,L2,O75116,301,0.7178
oracle,L2,O75173,83,0.6077
oracle,L2,O75385,408,0.8122
oracle,L2,O95497,118,0.5222
oracle,L2,O95819,66,0.7860
oracle,L2,O96017,65,0.5092
oracle,L2,O96028,77,0.7077
oracle,L2,P00519,294,0.4090
oracle,L2,P00533,2047,0.8038
oracle,L2,P00734,72,0.8572
oracle,L2,P00742,66,0.5202
oracle,L2,P00751,146,0.4901
oracle,L2,P01116,3262,0.8248
oracle,L2,P03372,218,0.8821
oracle,L2,P03951,101,0.6979
oracle,L2,P03952,130,0.8067
oracle,L2,P04049,656,0.7495
oracle,L2,P04150,286,0.7260
oracle,L2,P04293,355,0.5334
oracle,L2,P04626,1004,0.6780
