model,layer,contrast,n_paired_targets,rho_familiar,rho_novel,delta,wilcoxon_p,n_familiar_wins
hypseek_rk,L1,极近≥0.7 vs 全新<0.35,5,0.2957,0.0401,0.2556,0.125,4
hypseek_rk,L2,极近≥0.7 vs 全新<0.35,63,0.1892,0.1239,0.0653,0.2336,37
hypseek_rk,L4,极近≥0.7 vs 全新<0.35,9,0.1279,0.1843,-0.0565,0.7344,4
hypseek_rk,L1,熟半≥0.5 vs 生半<0.5,78,0.2809,0.0795,0.2015,0.001304,50
hypseek_rk,L2,熟半≥0.5 vs 生半<0.5,283,0.1928,0.1037,0.0891,0.001499,159
hypseek_rk,L3,熟半≥0.5 vs 生半<0.5,19,0.0195,-0.0019,0.0214,0.8596,7
hypseek_rk,L4,熟半≥0.5 vs 生半<0.5,78,0.1038,0.0729,0.0309,0.3037,45
ligunity_protein_ranking,L1,极近≥0.7 vs 全新<0.35,5,0.4493,-0.2684,0.7177,0.125,4
ligunity_protein_ranking,L2,极近≥0.7 vs 全新<0.35,63,0.2186,0.0678,0.1508,0.03268,39
ligunity_protein_ranking,L4,极近≥0.7 vs 全新<0.35,9,0.0413,0.1525,-0.1112,0.6523,4
ligunity_protein_ranking,L1,熟半≥0.5 vs 生半<0.5,79,0.2424,0.0110,0.2314,0.0001002,55
ligunity_protein_ranking,L2,熟半≥0.5 vs 生半<0.5,283,0.1569,0.0809,0.0760,0.007974,155
ligunity_protein_ranking,L3,熟半≥0.5 vs 生半<0.5,19,-0.0209,0.0290,-0.0500,0.7086,7
ligunity_protein_ranking,L4,熟半≥0.5 vs 生半<0.5,78,0.0636,0.0488,0.0148,0.8557,37
ligunity_pocket_ranking,L1,极近≥0.7 vs 全新<0.35,5,0.3039,0.0909,0.2129,0.1875,4
ligunity_pocket_ranking,L2,极近≥0.7 vs 全新<0.35,63,0.1738,0.0994,0.0744,0.2309,34
ligunity_pocket_ranking,L4,极近≥0.7 vs 全新<0.35,9,0.0695,0.0006,0.0689,0.7344,5
ligunity_pocket_ranking,L1,熟半≥0.5 vs 生半<0.5,79,0.1949,0.0700,0.1249,0.02365,47
ligunity_pocket_ranking,L2,熟半≥0.5 vs 生半<0.5,283,0.1385,0.1050,0.0335,0.2233,148
ligunity_pocket_ranking,L3,熟半≥0.5 vs 生半<0.5,19,0.0345,0.2029,-0.1684,0.1042,7
ligunity_pocket_ranking,L4,熟半≥0.5 vs 生半<0.5,78,0.0892,0.0873,0.0019,0.9464,41
litenclip,L1,极近≥0.7 vs 全新<0.35,5,0.3114,-0.2353,0.5467,0.1875,4
litenclip,L2,极近≥0.7 vs 全新<0.35,63,0.1425,0.1183,0.0242,0.6221,31
litenclip,L4,极近≥0.7 vs 全新<0.35,9,-0.0545,0.1612,-0.2157,0.2031,2
litenclip,L1,熟半≥0.5 vs 生半<0.5,79,0.1564,-0.0379,0.1943,0.0009056,50
litenclip,L2,熟半≥0.5 vs 生半<0.5,283,0.1130,0.0580,0.0550,0.0585,152
litenclip,L3,熟半≥0.5 vs 生半<0.5,19,0.1435,0.1158,0.0277,0.8288,10
litenclip,L4,熟半≥0.5 vs 生半<0.5,78,0.0345,0.0830,-0.0486,0.1962,36
drugclip,L1,极近≥0.7 vs 全新<0.35,5,0.1126,0.0563,0.0563,1,2
drugclip,L2,极近≥0.7 vs 全新<0.35,65,0.0108,0.0621,-0.0513,0.563,33
drugclip,L4,极近≥0.7 vs 全新<0.35,9,-0.2353,0.0341,-0.2694,0.3008,2
drugclip,L1,熟半≥0.5 vs 生半<0.5,81,0.0704,0.0226,0.0478,0.2072,47
drugclip,L2,熟半≥0.5 vs 生半<0.5,292,0.0311,0.0044,0.0267,0.4131,149
drugclip,L3,熟半≥0.5 vs 生半<0.5,20,0.0396,0.0058,0.0338,0.8695,10
drugclip,L4,熟半≥0.5 vs 生半<0.5,78,-0.0743,-0.0329,-0.0413,0.3061,35
bindclip_randneg,L1,极近≥0.7 vs 全新<0.35,5,0.2093,-0.0871,0.2964,0.3125,3
bindclip_randneg,L2,极近≥0.7 vs 全新<0.35,65,-0.0323,0.0680,-0.1003,0.2037,32
bindclip_randneg,L4,极近≥0.7 vs 全新<0.35,9,-0.0757,0.0118,-0.0874,0.4258,3
bindclip_randneg,L1,熟半≥0.5 vs 生半<0.5,81,0.0438,0.0059,0.0379,0.4442,44
bindclip_randneg,L2,熟半≥0.5 vs 生半<0.5,292,0.0357,0.0236,0.0121,0.9382,146
bindclip_randneg,L3,熟半≥0.5 vs 生半<0.5,20,0.0329,-0.1266,0.1595,0.4304,11
bindclip_randneg,L4,熟半≥0.5 vs 生半<0.5,78,0.0352,0.0581,-0.0229,0.8911,40
bindclip_hardneg,L1,极近≥0.7 vs 全新<0.35,5,0.3291,-0.2235,0.5526,0.125,4
bindclip_hardneg,L2,极近≥0.7 vs 全新<0.35,65,-0.0319,0.0865,-0.1184,0.08992,28
bindclip_hardneg,L4,极近≥0.7 vs 全新<0.35,9,-0.1683,0.1322,-0.3006,0.3594,3
bindclip_hardneg,L1,熟半≥0.5 vs 生半<0.5,81,0.0630,0.0227,0.0403,0.3799,44
bindclip_hardneg,L2,熟半≥0.5 vs 生半<0.5,292,0.0212,0.0219,-0.0008,0.9008,145
bindclip_hardneg,L3,熟半≥0.5 vs 生半<0.5,20,-0.0450,0.0078,-0.0528,0.33,8
bindclip_hardneg,L4,熟半≥0.5 vs 生半<0.5,78,0.0603,0.1132,-0.0529,0.4779,36
