model,layer,contrast,n_paired_targets,rho_familiar,rho_novel,delta,wilcoxon_p,n_familiar_wins
drugclip,L1,极近≥0.7 vs 全新<0.35,46,0.2406,-0.0036,0.2442,0.0001715,33
drugclip,L2,极近≥0.7 vs 全新<0.35,7,0.2609,-0.0992,0.3601,0.03125,6
drugclip,L1,熟半≥0.5 vs 生半<0.5,148,0.1411,0.0806,0.0605,0.08018,84
drugclip,L2,熟半≥0.5 vs 生半<0.5,104,0.0691,0.0366,0.0325,0.3795,54
drugclip,L3,熟半≥0.5 vs 生半<0.5,5,-0.1370,0.0497,-0.1867,0.3125,1
drugclip,L4,熟半≥0.5 vs 生半<0.5,24,0.0110,-0.0437,0.0547,0.684,13
bindclip_randneg,L1,极近≥0.7 vs 全新<0.35,46,0.1945,0.0097,0.1848,0.01298,29
bindclip_randneg,L2,极近≥0.7 vs 全新<0.35,7,0.0253,0.1008,-0.0755,0.8125,3
bindclip_randneg,L1,熟半≥0.5 vs 生半<0.5,148,0.1467,0.0993,0.0474,0.08051,82
bindclip_randneg,L2,熟半≥0.5 vs 生半<0.5,104,0.1032,0.0509,0.0523,0.0845,61
bindclip_randneg,L3,熟半≥0.5 vs 生半<0.5,5,-0.0551,-0.0587,0.0036,1,3
bindclip_randneg,L4,熟半≥0.5 vs 生半<0.5,24,-0.0025,0.1212,-0.1237,0.2292,10
bindclip_hardneg,L1,极近≥0.7 vs 全新<0.35,46,0.1930,0.0372,0.1558,0.01216,27
bindclip_hardneg,L2,极近≥0.7 vs 全新<0.35,7,-0.0015,0.0265,-0.0280,0.9375,3
bindclip_hardneg,L1,熟半≥0.5 vs 生半<0.5,148,0.1280,0.1130,0.0151,0.5946,79
bindclip_hardneg,L2,熟半≥0.5 vs 生半<0.5,104,0.0351,0.0305,0.0046,0.8661,52
bindclip_hardneg,L3,熟半≥0.5 vs 生半<0.5,5,-0.0078,-0.0616,0.0539,0.8125,3
bindclip_hardneg,L4,熟半≥0.5 vs 生半<0.5,24,0.0559,0.0897,-0.0338,0.5838,11
