model,layer,contrast,n_paired_targets,rho_familiar,rho_novel,delta,wilcoxon_p,n_familiar_wins
drugclip,L1,极近≥0.7 vs 全新<0.35,21,0.2229,-0.0566,0.2796,0.001859,16
drugclip,L1,熟半≥0.5 vs 生半<0.5,35,0.0693,0.0271,0.0421,0.5545,20
drugclip,L2,熟半≥0.5 vs 生半<0.5,56,0.0542,0.0127,0.0415,0.514,27
drugclip,L4,熟半≥0.5 vs 生半<0.5,17,-0.0398,0.0203,-0.0601,0.6441,9
bindclip_randneg,L1,极近≥0.7 vs 全新<0.35,21,0.1630,-0.0108,0.1738,0.1193,14
bindclip_randneg,L1,熟半≥0.5 vs 生半<0.5,35,0.0591,0.0183,0.0407,0.6563,16
bindclip_randneg,L2,熟半≥0.5 vs 生半<0.5,56,0.1183,0.0704,0.0479,0.2816,32
bindclip_randneg,L4,熟半≥0.5 vs 生半<0.5,17,0.0287,0.0670,-0.0383,0.8176,8
bindclip_hardneg,L1,极近≥0.7 vs 全新<0.35,21,0.1439,0.0036,0.1403,0.1373,12
bindclip_hardneg,L1,熟半≥0.5 vs 生半<0.5,35,0.0959,0.0830,0.0128,0.8146,18
bindclip_hardneg,L2,熟半≥0.5 vs 生半<0.5,56,0.0554,0.0313,0.0241,0.613,30
bindclip_hardneg,L4,熟半≥0.5 vs 生半<0.5,17,0.0528,0.0833,-0.0305,0.8536,8
