model,layer,tier,n_targets,n_actives_median,spearman_mean,spearman_sem,frac_positive
drugclip,L1,全新 <0.35,169,14,0.0083,0.0299,0.527
drugclip,L1,远 0.35–0.5,173,11,0.0510,0.0298,0.584
drugclip,L1,近 0.5–0.7,115,10,0.1215,0.0379,0.617
drugclip,L1,极近 ≥0.7,88,8,0.2068,0.0417,0.761
drugclip,L1,pooled,261,,0.0797,0.0198,0.613
drugclip,L2,全新 <0.35,385,46,0.0372,0.0161,0.532
drugclip,L2,远 0.35–0.5,298,23,0.0500,0.0208,0.564
drugclip,L2,近 0.5–0.7,105,17,0.0595,0.0380,0.562
drugclip,L2,极近 ≥0.7,10,7,0.2193,0.0965,0.900
drugclip,L2,pooled,416,,0.0425,0.0150,0.550
drugclip,L3,全新 <0.35,36,30,0.0505,0.0453,0.528
drugclip,L3,远 0.35–0.5,21,11,0.0405,0.0859,0.524
drugclip,L3,近 0.5–0.7,5,8,-0.2940,0.1364,0.000
drugclip,L3,极近 ≥0.7,1,8,0.8571,nan,1.000
drugclip,L3,pooled,40,,0.0413,0.0466,0.475
drugclip,L4,全新 <0.35,160,35,0.0054,0.0228,0.525
drugclip,L4,远 0.35–0.5,113,15,-0.0262,0.0313,0.469
drugclip,L4,近 0.5–0.7,28,10,-0.0955,0.0653,0.321
drugclip,L4,极近 ≥0.7,5,7,-0.1992,0.1863,0.200
drugclip,L4,pooled,186,,0.0158,0.0201,0.543
bindclip_randneg,L1,全新 <0.35,169,14,0.0273,0.0295,0.580
bindclip_randneg,L1,远 0.35–0.5,173,11,0.0592,0.0309,0.572
bindclip_randneg,L1,近 0.5–0.7,115,10,0.1402,0.0381,0.635
bindclip_randneg,L1,极近 ≥0.7,88,8,0.1704,0.0447,0.682
bindclip_randneg,L1,pooled,261,,0.0915,0.0194,0.625
bindclip_randneg,L2,全新 <0.35,385,46,0.0547,0.0156,0.564
bindclip_randneg,L2,远 0.35–0.5,298,23,0.0470,0.0216,0.584
bindclip_randneg,L2,近 0.5–0.7,105,17,0.0945,0.0372,0.638
bindclip_randneg,L2,极近 ≥0.7,10,7,0.0354,0.1779,0.500
bindclip_randneg,L2,pooled,416,,0.0549,0.0141,0.591
bindclip_randneg,L3,全新 <0.35,36,30,-0.0297,0.0423,0.472
bindclip_randneg,L3,远 0.35–0.5,21,11,-0.0129,0.0964,0.571
bindclip_randneg,L3,近 0.5–0.7,5,8,-0.0720,0.2059,0.200
bindclip_randneg,L3,极近 ≥0.7,1,8,0.7619,nan,1.000
bindclip_randneg,L3,pooled,40,,-0.0344,0.0408,0.475
bindclip_randneg,L4,全新 <0.35,160,35,0.0405,0.0223,0.506
bindclip_randneg,L4,远 0.35–0.5,113,15,0.0535,0.0340,0.575
bindclip_randneg,L4,近 0.5–0.7,28,10,0.0721,0.0867,0.571
bindclip_randneg,L4,极近 ≥0.7,5,7,0.0116,0.2818,0.400
bindclip_randneg,L4,pooled,186,,0.0517,0.0201,0.554
bindclip_hardneg,L1,全新 <0.35,169,14,0.0616,0.0293,0.550
bindclip_hardneg,L1,远 0.35–0.5,173,11,0.1130,0.0273,0.624
bindclip_hardneg,L1,近 0.5–0.7,115,10,0.1403,0.0366,0.626
bindclip_hardneg,L1,极近 ≥0.7,88,8,0.1450,0.0396,0.648
bindclip_hardneg,L1,pooled,261,,0.1033,0.0185,0.648
bindclip_hardneg,L2,全新 <0.35,385,46,0.0359,0.0167,0.551
bindclip_hardneg,L2,远 0.35–0.5,298,23,0.0092,0.0220,0.517
bindclip_hardneg,L2,近 0.5–0.7,105,17,0.0288,0.0407,0.505
bindclip_hardneg,L2,极近 ≥0.7,10,7,0.1070,0.1112,0.600
bindclip_hardneg,L2,pooled,416,,0.0335,0.0147,0.546
bindclip_hardneg,L3,全新 <0.35,36,30,0.0526,0.0391,0.611
bindclip_hardneg,L3,远 0.35–0.5,21,11,0.0506,0.1087,0.524
bindclip_hardneg,L3,近 0.5–0.7,5,8,0.0094,0.0971,0.400
bindclip_hardneg,L3,极近 ≥0.7,1,8,0.7143,nan,1.000
bindclip_hardneg,L3,pooled,40,,0.0678,0.0445,0.600
bindclip_hardneg,L4,全新 <0.35,160,35,0.0739,0.0244,0.550
bindclip_hardneg,L4,远 0.35–0.5,113,15,0.0547,0.0348,0.504
bindclip_hardneg,L4,近 0.5–0.7,28,10,0.0426,0.0560,0.536
bindclip_hardneg,L4,极近 ≥0.7,5,7,0.2043,0.2157,0.800
bindclip_hardneg,L4,pooled,186,,0.0770,0.0207,0.624
