model,system,set,n_ligands,spearman,kendall,pearson
ligunity_pocket_ranking,bace,JACS,36,-0.0316,-0.0288,+0.0831
ligunity_pocket_ranking,cdk2,JACS,16,-0.2765,-0.1833,-0.3146
ligunity_pocket_ranking,cdk8,Merck,32,+0.5103,+0.3549,+0.5634
ligunity_pocket_ranking,cmet,Merck,24,-0.0718,-0.0366,-0.0380
ligunity_pocket_ranking,eg5,Merck,28,+0.2860,+0.1799,+0.3388
ligunity_pocket_ranking,hif2a,Merck,41,+0.4729,+0.3622,+0.5180
ligunity_pocket_ranking,jnk1,JACS,21,+0.6621,+0.5263,+0.6880
ligunity_pocket_ranking,mcl1,JACS,42,+0.7498,+0.5477,+0.7532
ligunity_pocket_ranking,p38,JACS,34,+0.1938,+0.1349,+0.2438
ligunity_pocket_ranking,pfkfb3,Merck,40,+0.5046,+0.3594,+0.4832
ligunity_pocket_ranking,ptp1b,JACS,23,+0.3716,+0.2315,+0.4977
ligunity_pocket_ranking,shp2,Merck,26,+0.7354,+0.5446,+0.7387
ligunity_pocket_ranking,syk,Merck,44,+0.4225,+0.3017,+0.4419
ligunity_pocket_ranking,thrombin,JACS,11,+0.7818,+0.6000,+0.7467
ligunity_pocket_ranking,tnks2,Merck,27,+0.4958,+0.3491,+0.6456
ligunity_pocket_ranking,tyk2,JACS,16,+0.4618,+0.4167,+0.5574
ligunity_protein_ranking,bace,JACS,36,+0.4444,+0.3086,+0.5466
ligunity_protein_ranking,cdk2,JACS,16,+0.2958,+0.1757,+0.2559
ligunity_protein_ranking,cdk8,Merck,32,+0.3144,+0.2359,+0.3449
ligunity_protein_ranking,cmet,Merck,24,+0.5373,+0.3810,+0.5419
ligunity_protein_ranking,eg5,Merck,28,+0.3958,+0.2574,+0.4056
ligunity_protein_ranking,hif2a,Merck,41,+0.4148,+0.3057,+0.4657
ligunity_protein_ranking,jnk1,JACS,21,+0.3378,+0.2339,+0.2979
ligunity_protein_ranking,mcl1,JACS,42,+0.7992,+0.5794,+0.7953
ligunity_protein_ranking,p38,JACS,34,+0.1292,+0.0808,+0.2168
ligunity_protein_ranking,pfkfb3,Merck,40,+0.1577,+0.0963,+0.2060
ligunity_protein_ranking,ptp1b,JACS,23,+0.1816,+0.1597,-0.0181
ligunity_protein_ranking,shp2,Merck,26,+0.6196,+0.4376,+0.6442
ligunity_protein_ranking,syk,Merck,44,+0.2916,+0.2180,+0.3341
ligunity_protein_ranking,thrombin,JACS,11,+0.7000,+0.6000,+0.7270
ligunity_protein_ranking,tnks2,Merck,27,+0.3270,+0.1940,+0.5732
ligunity_protein_ranking,tyk2,JACS,16,+0.3824,+0.2833,+0.5076
litenclip,bace,JACS,36,-0.4883,-0.3291,-0.3841
litenclip,cdk2,JACS,16,+0.5059,+0.3333,+0.4467
litenclip,cdk8,Merck,32,+0.4752,+0.3057,+0.5225
litenclip,cmet,Merck,24,+0.5121,+0.3810,+0.1607
litenclip,eg5,Merck,28,+0.4517,+0.3057,+0.4720
litenclip,hif2a,Merck,41,+0.3700,+0.2710,+0.3496
litenclip,jnk1,JACS,21,-0.3066,-0.2053,-0.2524
litenclip,mcl1,JACS,42,+0.7240,+0.5198,+0.7008
litenclip,p38,JACS,34,-0.2522,-0.1706,-0.2811
litenclip,pfkfb3,Merck,40,+0.1109,+0.1000,+0.1440
litenclip,ptp1b,JACS,23,+0.0262,+0.0240,-0.0695
litenclip,shp2,Merck,26,+0.5494,+0.4154,+0.5859
litenclip,syk,Merck,44,+0.3009,+0.2147,+0.2238
litenclip,thrombin,JACS,11,+0.3182,+0.2364,+0.2550
litenclip,tnks2,Merck,27,+0.7080,+0.5250,+0.6993
litenclip,tyk2,JACS,16,+0.4059,+0.2667,+0.3777
_reference_UniFEP,bace,JACS,36,,+0.4900,
_reference_UniFEP,cdk2,JACS,16,,+0.5300,
_reference_UniFEP,cdk8,Merck,32,,+0.7000,
_reference_UniFEP,cmet,Merck,24,,+0.7300,
_reference_UniFEP,eg5,Merck,28,,+0.4600,
_reference_UniFEP,hif2a,Merck,41,,+0.2800,
_reference_UniFEP,jnk1,JACS,21,,+0.6300,
_reference_UniFEP,mcl1,JACS,42,,+0.5700,
_reference_UniFEP,p38,JACS,34,,+0.5400,
_reference_UniFEP,pfkfb3,Merck,40,,+0.4400,
_reference_UniFEP,ptp1b,JACS,23,,+0.6700,
_reference_UniFEP,shp2,Merck,26,,+0.1200,
_reference_UniFEP,syk,Merck,48,,+0.4200,
_reference_UniFEP,thrombin,JACS,11,,+0.6400,
_reference_UniFEP,tnks2,Merck,33,,+0.2800,
_reference_UniFEP,tyk2,JACS,16,,+0.5500,
