model,layer,n_targets,spearman,spearman_sem,kendall,frac_positive,median_n_actives,spearman_old_retracted
bindclip_hardneg,L1,232,+0.1119,0.0193,+0.0786,0.659,33,-0.0078
bindclip_hardneg,L2,400,+0.0259,0.0143,+0.0185,0.530,85,+0.0070
bindclip_hardneg,L3,44,+0.0340,0.0401,+0.0240,0.568,40,-0.0072
bindclip_hardneg,L4,178,+0.0519,0.0208,+0.0363,0.590,70,-0.0255
bindclip_randneg,L1,232,+0.1194,0.0199,+0.0881,0.659,33,-0.0029
bindclip_randneg,L2,400,+0.0482,0.0138,+0.0348,0.580,85,+0.0125
bindclip_randneg,L3,44,-0.0481,0.0409,-0.0300,0.455,40,-0.0197
bindclip_randneg,L4,178,+0.0234,0.0180,+0.0164,0.534,70,+0.0035
conglude,L1,280,+0.1291,0.0166,+0.0940,0.704,23,+0.1291
conglude,L2,381,+0.0260,0.0136,+0.0187,0.556,63,+0.0260
conglude,L3,39,+0.0469,0.0387,+0.0349,0.487,40,+0.0469
conglude,L4,197,+0.0558,0.0194,+0.0429,0.584,47,+0.0558
conplex,L1,321,+0.0654,0.0152,+0.0485,0.542,24,+0.0654
conplex,L2,450,-0.0021,0.0122,-0.0024,0.489,65,-0.0021
conplex,L3,49,+0.0359,0.0415,+0.0266,0.510,28,+0.0359
conplex,L4,225,+0.0035,0.0184,+0.0046,0.489,40,+0.0035
drugclip,L1,232,+0.0911,0.0209,+0.0652,0.638,33,-0.0080
drugclip,L2,400,+0.0322,0.0147,+0.0230,0.530,85,+0.0004
drugclip,L3,44,+0.0398,0.0436,+0.0294,0.455,40,+0.0370
drugclip,L4,178,+0.0148,0.0202,+0.0105,0.528,70,+0.0014
hypseek_rk,L1,224,+0.2601,0.0208,+0.1924,0.790,32,+0.0030
hypseek_rk,L2,388,+0.1136,0.0151,+0.0810,0.652,86,+0.0275
hypseek_rk,L3,43,+0.1183,0.0367,+0.0900,0.767,40,-0.0014
hypseek_rk,L4,176,+0.0960,0.0214,+0.0711,0.631,68,+0.0227
ligunity_pocket_ranking,L1,227,+0.2152,0.0209,+0.1572,0.731,33,+0.0056
ligunity_pocket_ranking,L2,388,+0.1027,0.0147,+0.0732,0.657,86,+0.0122
ligunity_pocket_ranking,L3,43,+0.0888,0.0352,+0.0649,0.628,40,+0.0531
ligunity_pocket_ranking,L4,176,+0.0554,0.0213,+0.0382,0.614,68,+0.0298
ligunity_protein_ranking,L1,227,+0.2296,0.0196,+0.1647,0.793,33,-0.0004
ligunity_protein_ranking,L2,388,+0.1049,0.0153,+0.0755,0.621,86,+0.0244
ligunity_protein_ranking,L3,43,+0.0619,0.0308,+0.0422,0.674,40,+0.0555
ligunity_protein_ranking,L4,176,+0.0891,0.0197,+0.0622,0.659,68,+0.0180
litenclip,L1,227,+0.1711,0.0198,+0.1209,0.700,33,-0.0031
litenclip,L2,388,+0.0506,0.0149,+0.0364,0.559,86,+0.0080
litenclip,L3,43,+0.0435,0.0423,+0.0287,0.558,40,+0.0739
litenclip,L4,176,+0.0529,0.0215,+0.0371,0.580,68,+0.0074
