model,layer,n_targets,spearman,spearman_sem,kendall,frac_positive
hypseek_rk,L1,50,0.2368,0.0400,0.1789,0.8200
hypseek_rk,L2,136,0.1178,0.0261,0.0850,0.6618
hypseek_rk,L3,22,0.0749,0.0519,0.0613,0.7273
hypseek_rk,L4,62,0.0881,0.0370,0.0659,0.6613
ligunity_protein_ranking,L1,51,0.2115,0.0432,0.1512,0.7843
ligunity_protein_ranking,L2,136,0.1274,0.0248,0.0937,0.6471
ligunity_protein_ranking,L3,22,0.1030,0.0430,0.0682,0.7727
ligunity_protein_ranking,L4,62,0.0924,0.0316,0.0649,0.6452
ligunity_pocket_ranking,L1,51,0.1934,0.0453,0.1432,0.7647
ligunity_pocket_ranking,L2,136,0.1073,0.0249,0.0737,0.6618
ligunity_pocket_ranking,L3,22,0.1344,0.0556,0.0974,0.7273
ligunity_pocket_ranking,L4,62,0.0422,0.0372,0.0326,0.6129
litenclip,L1,51,0.1082,0.0458,0.0753,0.6471
litenclip,L2,136,0.0482,0.0261,0.0332,0.5368
litenclip,L3,22,0.0330,0.0557,0.0231,0.5455
litenclip,L4,62,0.0437,0.0377,0.0347,0.5323
conglude,L1,44,0.1492,0.0414,0.1061,0.7045
conglude,L2,100,0.0227,0.0261,0.0195,0.5800
conglude,L3,21,0.0281,0.0420,0.0214,0.4762
conglude,L4,54,0.0103,0.0346,0.0054,0.4815
bindclip_randneg,L1,54,0.1103,0.0430,0.0850,0.6481
bindclip_randneg,L2,140,0.0439,0.0238,0.0310,0.5857
bindclip_randneg,L3,22,0.0003,0.0471,0.0055,0.6364
bindclip_randneg,L4,62,0.0358,0.0266,0.0255,0.5806
bindclip_hardneg,L1,54,0.0814,0.0430,0.0595,0.5926
bindclip_hardneg,L2,140,0.0170,0.0238,0.0114,0.4929
bindclip_hardneg,L3,22,0.0375,0.0582,0.0246,0.5909
bindclip_hardneg,L4,62,0.0864,0.0340,0.0624,0.6613
drugclip,L1,54,0.0732,0.0381,0.0512,0.6667
drugclip,L2,140,0.0310,0.0235,0.0219,0.5357
drugclip,L3,22,0.0685,0.0660,0.0464,0.5000
drugclip,L4,62,0.0252,0.0355,0.0185,0.5161
conplex,L1,56,0.0550,0.0377,0.0367,0.5357
conplex,L2,138,-0.0140,0.0239,-0.0102,0.4420
conplex,L3,19,-0.0029,0.0466,-0.0007,0.4737
conplex,L4,54,0.0497,0.0339,0.0381,0.5741
sprint,L1,42,-0.0203,0.0360,-0.0141,0.4524
sprint,L2,104,0.0348,0.0247,0.0236,0.5000
sprint,L3,21,0.0267,0.0447,0.0279,0.5714
sprint,L4,54,0.0063,0.0355,0.0016,0.5556
