model,layer,n_targets,spearman,spearman_sem,kendall,frac_positive
hypseek_rk,L1,52,0.2252,0.0411,0.1625,0.7885
hypseek_rk,L2,166,0.1437,0.0225,0.1017,0.7048
hypseek_rk,L3,12,0.1126,0.0676,0.0855,0.7500
hypseek_rk,L4,42,0.1461,0.0461,0.1066,0.7143
litenclip_v2,L1,54,0.1901,0.0386,0.1352,0.7222
litenclip_v2,L2,166,0.1369,0.0218,0.0968,0.6747
litenclip_v2,L3,12,0.0745,0.0518,0.0561,0.6667
litenclip_v2,L4,42,0.0888,0.0424,0.0640,0.6667
ligunity_protein_ranking,L1,54,0.2214,0.0360,0.1574,0.7963
ligunity_protein_ranking,L2,166,0.1156,0.0229,0.0829,0.6446
ligunity_protein_ranking,L3,12,-0.0316,0.0518,-0.0220,0.5000
ligunity_protein_ranking,L4,42,0.0959,0.0386,0.0650,0.6905
ligunity_pocket_ranking,L1,54,0.1862,0.0352,0.1306,0.7778
ligunity_pocket_ranking,L2,166,0.1232,0.0228,0.0897,0.6325
ligunity_pocket_ranking,L3,12,-0.0131,0.0576,-0.0085,0.5000
ligunity_pocket_ranking,L4,42,0.0585,0.0429,0.0396,0.6905
hypseek_official_vs,L1,54,0.2033,0.0408,0.1459,0.7593
hypseek_official_vs,L2,166,0.1320,0.0210,0.0946,0.7048
hypseek_official_vs,L3,12,-0.0093,0.0690,-0.0086,0.5833
hypseek_official_vs,L4,42,0.1133,0.0397,0.0814,0.7381
drugjepa,L1,54,0.1420,0.0335,0.0987,0.7037
drugjepa,L2,166,0.0992,0.0215,0.0705,0.6446
drugjepa,L3,12,-0.0228,0.0631,-0.0188,0.3333
drugjepa,L4,42,0.0510,0.0412,0.0334,0.6667
litenclip,L1,54,0.1032,0.0312,0.0688,0.6481
litenclip,L2,166,0.0807,0.0228,0.0575,0.5783
litenclip,L3,12,-0.0078,0.0700,-0.0069,0.5000
litenclip,L4,42,0.0586,0.0444,0.0398,0.6429
conglude,L1,47,0.1094,0.0301,0.0772,0.7234
conglude,L2,138,0.0464,0.0204,0.0331,0.5942
conglude,L3,10,0.0312,0.0565,0.0253,0.5000
conglude,L4,39,0.0553,0.0409,0.0425,0.6410
bindclip_randneg,L1,55,0.0732,0.0308,0.0528,0.6364
bindclip_randneg,L2,170,0.0599,0.0184,0.0436,0.6176
bindclip_randneg,L3,12,0.0111,0.0654,0.0118,0.5000
bindclip_randneg,L4,43,0.0468,0.0363,0.0344,0.5814
bindclip_hardneg,L1,55,0.0874,0.0321,0.0628,0.6727
bindclip_hardneg,L2,170,0.0387,0.0201,0.0275,0.5529
bindclip_hardneg,L3,12,0.0108,0.0689,0.0091,0.5833
bindclip_hardneg,L4,43,0.0306,0.0436,0.0201,0.6279
drugclip,L1,55,0.0442,0.0350,0.0318,0.6182
drugclip,L2,170,0.0371,0.0205,0.0249,0.5294
drugclip,L3,12,0.0541,0.0591,0.0417,0.5833
drugclip,L4,43,-0.0010,0.0414,-0.0009,0.5116
conplex,L1,52,-0.0010,0.0277,-0.0020,0.4231
conplex,L2,165,0.0044,0.0170,0.0031,0.5273
conplex,L3,10,-0.0314,0.0611,-0.0235,0.4000
conplex,L4,38,-0.0618,0.0378,-0.0448,0.3947
sprint,L1,47,0.0133,0.0294,0.0123,0.5532
sprint,L2,140,0.0532,0.0194,0.0375,0.5929
sprint,L3,10,0.0425,0.0466,0.0275,0.5000
sprint,L4,39,0.0454,0.0333,0.0317,0.5641
