model,layer,n_targets,median_n_ligands,retrieval_rho,aimnet_rho,delta,wilcoxon_p,retrieval_wins
hypseek_rk,L1,21,10,0.2919,-0.0305,0.3224,0.004879,16
hypseek_rk,L2,22,10,0.1679,0.1368,0.0311,0.9746,11
hypseek_rk,L3,19,10,0.2076,0.1971,0.0106,0.9839,10
hypseek_rk,L4,18,10,0.0551,0.0752,-0.0201,1,9
ligunity_protein_ranking,L1,21,10,0.2266,-0.0305,0.2571,0.01232,16
ligunity_protein_ranking,L2,22,10,0.1157,0.1368,-0.0211,0.8237,9
ligunity_protein_ranking,L3,19,10,0.1140,0.1971,-0.0831,0.3736,9
ligunity_protein_ranking,L4,18,10,0.1990,0.0752,0.1238,0.1964,12
ligunity_pocket_ranking,L1,21,10,0.1728,-0.0305,0.2033,0.04379,14
ligunity_pocket_ranking,L2,22,10,0.0396,0.1368,-0.0972,0.3705,10
ligunity_pocket_ranking,L3,19,10,0.0977,0.1971,-0.0994,0.3241,9
ligunity_pocket_ranking,L4,18,10,0.0103,0.0752,-0.0649,0.3927,7
litenclip,L1,21,10,0.1360,-0.0305,0.1664,0.0888,14
litenclip,L2,22,10,-0.1114,0.1368,-0.2482,0.05869,8
litenclip,L3,19,10,0.0287,0.1971,-0.1684,0.1073,6
litenclip,L4,18,10,0.0577,0.0752,-0.0175,0.8317,10
drugclip,L1,22,10,0.0494,-0.0288,0.0782,0.543,11
drugclip,L2,22,10,0.0591,0.1368,-0.0777,0.581,10
drugclip,L3,20,10,0.0694,0.1950,-0.1256,0.2611,6
drugclip,L4,18,10,-0.0449,0.0752,-0.1201,0.2273,6
conglude,L1,21,10,0.2050,-0.0222,0.2272,0.07598,14
conglude,L2,22,10,0.0346,0.0923,-0.0577,0.5661,11
conglude,L3,17,10,0.0318,0.1993,-0.1675,0.09837,3
conglude,L4,16,10,0.2051,0.1988,0.0063,0.8999,7
