model,layer,n_targets,model_rho,baseline_rho,delta,model_wins,n_decided,p_two_sided
hypseek_official_vs,L1,43,0.2135,0.1291,0.0844,26,43,0.222053
hypseek_official_vs,L2,149,0.1336,0.0919,0.0417,77,149,0.743269
hypseek_official_vs,L3,16,0.0862,0.0931,-0.0069,8,16,1
hypseek_official_vs,L4,54,0.1286,0.0614,0.0671,34,54,0.0759047
hypseek_rk,L1,41,0.2245,0.1361,0.0883,24,41,0.348889
hypseek_rk,L2,149,0.1468,0.0919,0.0550,79,149,0.512356
hypseek_rk,L3,16,0.0841,0.0931,-0.0090,11,16,0.210114
hypseek_rk,L4,54,0.1510,0.0614,0.0896,36,54,0.0198343
ligunity_protein_ranking,L1,43,0.2169,0.1291,0.0878,24,43,0.542384
ligunity_protein_ranking,L2,149,0.1204,0.0919,0.0285,75,149,1
ligunity_protein_ranking,L3,16,0.0176,0.0931,-0.0756,7,16,0.803619
ligunity_protein_ranking,L4,54,0.0981,0.0614,0.0367,29,54,0.683489
ligunity_pocket_ranking,L1,43,0.1723,0.1291,0.0433,21,43,1
ligunity_pocket_ranking,L2,149,0.1135,0.0919,0.0216,73,149,0.869923
ligunity_pocket_ranking,L3,16,0.0388,0.0931,-0.0543,7,16,0.803619
ligunity_pocket_ranking,L4,54,0.1083,0.0614,0.0469,30,54,0.496617
litenclip,L1,43,0.0959,0.1291,-0.0332,17,43,0.222053
litenclip,L2,149,0.0810,0.0919,-0.0109,73,149,0.869923
litenclip,L3,16,0.0089,0.0931,-0.0843,6,16,0.454498
litenclip,L4,54,0.1141,0.0614,0.0526,30,54,0.496617
drugclip,L1,44,0.0680,0.1294,-0.0614,19,44,0.451381
drugclip,L2,152,0.0333,0.0913,-0.0579,60,152,0.0116731
drugclip,L3,16,-0.0038,0.0931,-0.0969,7,16,0.803619
drugclip,L4,55,0.0100,0.0697,-0.0597,27,55,1
