protein_class,n_ge10,n_ge20,n_ge30,n_ge50,n_ge100,pct_ge10,pct_ge20,pct_ge30,pct_ge50,pct_ge100
其他酶,324,245,206,158,97,28.3,29.3,29.9,31.2,29.7
激酶,292,210,182,141,95,25.5,25.1,26.4,27.8,29.1
其他/未分类,149,124,98,75,50,13.0,14.8,14.2,14.8,15.3
GPCR,113,77,55,41,23,9.9,9.2,8.0,8.1,7.0
蛋白酶,77,57,48,34,20,6.7,6.8,7.0,6.7,6.1
表观,72,53,47,29,21,6.3,6.3,6.8,5.7,6.4
离子通道,60,39,31,18,14,5.2,4.7,4.5,3.6,4.3
转运体,23,13,7,3,2,2.0,1.6,1.0,0.6,0.6
核受体,22,12,10,6,4,1.9,1.4,1.4,1.2,1.2
P450,12,7,6,2,1,1.0,0.8,0.9,0.4,0.3
