model,layer,min_actives,n_targets,EF1%,BEDROC,PR-AUC,AUROC
hypseek_rk,L1,10,306,36.6309,0.6902,0.6237,0.9230
hypseek_rk,L1,20,178,37.3551,0.7000,0.6279,0.9273
hypseek_rk,L1,30,129,37.2082,0.6965,0.6241,0.9249
hypseek_rk,L1,50,80,36.1435,0.6803,0.6001,0.9107
hypseek_rk,L2,10,434,23.6087,0.4638,0.4006,0.8776
hypseek_rk,L2,20,366,23.8626,0.4657,0.3953,0.8748
hypseek_rk,L2,30,327,24.0643,0.4695,0.3964,0.8753
hypseek_rk,L2,50,258,24.8117,0.4818,0.4044,0.8796
hypseek_rk,L3,10,48,13.5551,0.2739,0.2428,0.7696
hypseek_rk,L3,20,35,11.0477,0.2255,0.1969,0.7220
hypseek_rk,L3,30,26,10.0386,0.2090,0.1752,0.7322
hypseek_rk,L3,50,20,8.9380,0.1873,0.1638,0.7020
hypseek_rk,L4,10,224,7.3415,0.1569,0.1515,0.7103
hypseek_rk,L4,20,168,6.5484,0.1392,0.1337,0.6881
hypseek_rk,L4,30,143,7.0399,0.1500,0.1393,0.6855
hypseek_rk,L4,50,107,7.6338,0.1635,0.1461,0.7069
ligunity_protein_ranking,L1,10,310,39.1751,0.7261,0.6510,0.9030
ligunity_protein_ranking,L1,20,180,39.5020,0.7263,0.6457,0.9057
ligunity_protein_ranking,L1,30,131,39.0309,0.7198,0.6362,0.9109
ligunity_protein_ranking,L1,50,82,39.2319,0.7242,0.6401,0.9040
ligunity_protein_ranking,L2,10,434,30.1950,0.5739,0.4998,0.8685
ligunity_protein_ranking,L2,20,366,30.4860,0.5763,0.4973,0.8686
ligunity_protein_ranking,L2,30,327,30.8303,0.5814,0.5005,0.8747
ligunity_protein_ranking,L2,50,258,31.3058,0.5898,0.5064,0.8828
ligunity_protein_ranking,L3,10,48,17.8140,0.3549,0.3201,0.7605
ligunity_protein_ranking,L3,20,35,14.8376,0.2943,0.2629,0.7181
ligunity_protein_ranking,L3,30,26,15.5588,0.3122,0.2707,0.7387
ligunity_protein_ranking,L3,50,20,14.9506,0.3012,0.2704,0.7198
ligunity_protein_ranking,L4,10,224,8.8343,0.1839,0.1668,0.6901
ligunity_protein_ranking,L4,20,168,8.8115,0.1802,0.1594,0.6724
ligunity_protein_ranking,L4,30,143,8.6043,0.1745,0.1509,0.6650
ligunity_protein_ranking,L4,50,107,9.4879,0.1905,0.1617,0.6845
ligunity_pocket_ranking,L1,10,310,35.2385,0.6592,0.5855,0.8801
ligunity_pocket_ranking,L1,20,180,35.7170,0.6629,0.5828,0.8890
ligunity_pocket_ranking,L1,30,131,35.2124,0.6576,0.5796,0.8932
ligunity_pocket_ranking,L1,50,82,35.2498,0.6548,0.5723,0.8780
ligunity_pocket_ranking,L2,10,434,26.3868,0.5069,0.4369,0.8426
ligunity_pocket_ranking,L2,20,366,26.7888,0.5110,0.4369,0.8428
ligunity_pocket_ranking,L2,30,327,26.8410,0.5125,0.4364,0.8482
ligunity_pocket_ranking,L2,50,258,26.9588,0.5118,0.4315,0.8519
ligunity_pocket_ranking,L3,10,48,13.8976,0.2967,0.2555,0.7419
ligunity_pocket_ranking,L3,20,35,11.7783,0.2462,0.2148,0.7090
ligunity_pocket_ranking,L3,30,26,11.6039,0.2377,0.1956,0.6919
ligunity_pocket_ranking,L3,50,20,9.9161,0.2075,0.1746,0.6648
ligunity_pocket_ranking,L4,10,224,8.3893,0.1789,0.1633,0.6694
ligunity_pocket_ranking,L4,20,168,8.1961,0.1760,0.1546,0.6523
ligunity_pocket_ranking,L4,30,143,8.1433,0.1724,0.1508,0.6472
ligunity_pocket_ranking,L4,50,107,8.4889,0.1787,0.1536,0.6611
litenclip,L1,10,310,32.3678,0.6106,0.5364,0.8838
litenclip,L1,20,180,32.6192,0.6097,0.5266,0.8882
litenclip,L1,30,131,32.2610,0.6089,0.5294,0.8903
litenclip,L1,50,82,32.1289,0.6044,0.5200,0.8841
litenclip,L2,10,434,23.0627,0.4447,0.3813,0.8439
litenclip,L2,20,366,23.0099,0.4415,0.3723,0.8448
litenclip,L2,30,327,22.6811,0.4358,0.3652,0.8475
litenclip,L2,50,258,22.3425,0.4290,0.3563,0.8471
litenclip,L3,10,48,12.9447,0.2621,0.2242,0.7570
litenclip,L3,20,35,10.9906,0.2189,0.1878,0.7082
litenclip,L3,30,26,9.0127,0.1846,0.1469,0.7008
litenclip,L3,50,20,6.9102,0.1494,0.1182,0.6725
litenclip,L4,10,224,8.4556,0.1768,0.1598,0.6875
litenclip,L4,20,168,7.9027,0.1678,0.1480,0.6755
litenclip,L4,30,143,7.8729,0.1671,0.1445,0.6656
litenclip,L4,50,107,8.1350,0.1712,0.1485,0.6782
