model,checkpoint,protein_band,ligand_tier,n_targets,ef_mean,ef_se,thin_n_lt_10
ligunity_protein_ranking,as-published,in training,全新 <0.35,126,18.9729,1.9362,0
ligunity_protein_ranking,as-published,in training,远 0.35–0.5,186,25.5609,1.4184,0
ligunity_protein_ranking,as-published,in training,近 0.5–0.7,180,43.9451,1.9424,0
ligunity_protein_ranking,as-published,in training,极近 ≥0.7,125,51.8951,2.5057,0
ligunity_protein_ranking,as-published,>=60%,全新 <0.35,12,4.1848,2.9130,0
ligunity_protein_ranking,as-published,>=60%,远 0.35–0.5,15,13.6487,6.2732,0
ligunity_protein_ranking,as-published,>=60%,近 0.5–0.7,11,22.0043,8.3615,0
ligunity_protein_ranking,as-published,>=60%,极近 ≥0.7,6,42.1545,13.2201,1
ligunity_protein_ranking,as-published,20-60%,全新 <0.35,16,5.5323,3.4518,0
ligunity_protein_ranking,as-published,20-60%,远 0.35–0.5,20,11.5382,3.4487,0
ligunity_protein_ranking,as-published,20-60%,近 0.5–0.7,11,29.9088,8.6339,0
ligunity_protein_ranking,as-published,20-60%,极近 ≥0.7,9,49.2740,10.8703,1
ligunity_protein_ranking,as-published,no hit,全新 <0.35,21,1.9583,1.9025,0
ligunity_protein_ranking,as-published,no hit,远 0.35–0.5,25,5.2812,3.4189,0
ligunity_protein_ranking,as-published,no hit,近 0.5–0.7,17,8.6616,3.9847,0
ligunity_protein_ranking,as-published,no hit,极近 ≥0.7,9,28.3012,9.9880,1
ligunity_pocket_ranking,ckpt2,in training,全新 <0.35,126,14.7713,1.8179,0
ligunity_pocket_ranking,ckpt2,in training,远 0.35–0.5,186,21.5323,1.4906,0
ligunity_pocket_ranking,ckpt2,in training,近 0.5–0.7,180,37.1172,1.9434,0
ligunity_pocket_ranking,ckpt2,in training,极近 ≥0.7,125,44.9547,2.7852,0
ligunity_pocket_ranking,ckpt2,>=60%,全新 <0.35,12,1.0504,1.0504,0
ligunity_pocket_ranking,ckpt2,>=60%,远 0.35–0.5,15,10.9688,3.7702,0
ligunity_pocket_ranking,ckpt2,>=60%,近 0.5–0.7,11,25.2921,8.0462,0
ligunity_pocket_ranking,ckpt2,>=60%,极近 ≥0.7,6,23.3131,12.4735,1
ligunity_pocket_ranking,ckpt2,20-60%,全新 <0.35,16,4.7562,2.6806,0
ligunity_pocket_ranking,ckpt2,20-60%,远 0.35–0.5,20,10.3032,3.6148,0
ligunity_pocket_ranking,ckpt2,20-60%,近 0.5–0.7,11,20.9721,6.9353,0
