model,layer,n_targets,p_familiar_pool,p_familiar_retrieved,cmp_all,cmp_pred,cmp_excess,cmp_actives,precision_at_1pct
ligunity_protein_ranking,L1,43,0.0955,0.5020,0.4065,0.3295,0.0770,0.1121,0.7683
ligunity_protein_ranking,L2,150,0.0869,0.0924,0.0055,-0.0234,0.0289,0.0193,0.6206
ligunity_protein_ranking,L3,16,0.0863,0.0831,-0.0032,0.0006,-0.0039,0.0915,0.1733
ligunity_protein_ranking,L4,55,0.0870,0.1793,0.0923,0.0293,0.0630,0.1399,0.2518
ligunity_pocket_ranking,L1,43,0.0955,0.4804,0.3849,0.3030,0.0819,0.1361,0.6745
ligunity_pocket_ranking,L2,150,0.0869,0.1095,0.0226,-0.0207,0.0433,0.0249,0.5333
ligunity_pocket_ranking,L3,16,0.0863,0.1152,0.0289,-0.0004,0.0293,0.0192,0.1231
ligunity_pocket_ranking,L4,55,0.0870,0.1079,0.0209,0.0074,0.0136,0.0220,0.2146
hypseek_rk,L1,41,0.0953,0.5552,0.4599,0.3221,0.1378,0.1855,0.6757
hypseek_rk,L2,150,0.0869,0.1592,0.0723,-0.0162,0.0885,0.0443,0.4925
hypseek_rk,L3,16,0.0863,0.1573,0.0710,-0.0038,0.0748,0.0231,0.1101
hypseek_rk,L4,55,0.0870,0.1698,0.0828,0.0171,0.0657,0.0550,0.1982
litenclip,L1,43,0.0955,0.4551,0.3596,0.2830,0.0767,0.1249,0.6360
litenclip,L2,150,0.0869,0.1110,0.0242,-0.0156,0.0397,0.0227,0.4353
litenclip,L3,16,0.0863,0.1060,0.0197,-0.0001,0.0198,0.0316,0.0813
litenclip,L4,55,0.0870,0.1326,0.0456,0.0187,0.0269,0.0592,0.1998
drugclip,L1,44,0.0954,0.2738,0.1784,0.1560,0.0224,0.1854,0.3339
drugclip,L2,153,0.0869,0.0927,0.0058,-0.0080,0.0138,0.0232,0.2452
drugclip,L3,16,0.0863,0.1010,0.0147,-0.0033,0.0180,0.1007,0.0866
drugclip,L4,56,0.0870,0.1083,0.0213,0.0003,0.0209,0.0427,0.1704
bindclip_randneg,L1,44,0.0954,0.2905,0.1951,0.1700,0.0251,0.1894,0.3600
bindclip_randneg,L2,153,0.0869,0.1042,0.0173,-0.0064,0.0237,0.0245,0.2323
bindclip_randneg,L3,16,0.0863,0.1148,0.0284,-0.0055,0.0339,0.1350,0.0961
bindclip_randneg,L4,56,0.0870,0.1320,0.0450,0.0022,0.0429,0.0705,0.1423
bindclip_hardneg,L1,44,0.0954,0.2930,0.1976,0.1532,0.0444,0.1032,0.3741
bindclip_hardneg,L2,153,0.0869,0.1137,0.0269,-0.0074,0.0343,0.0193,0.2384
bindclip_hardneg,L3,16,0.0863,0.1383,0.0519,-0.0013,0.0533,0.0647,0.0847
bindclip_hardneg,L4,56,0.0870,0.1350,0.0480,0.0028,0.0452,0.0175,0.1228
sprint,L1,47,0.0949,0.1621,0.0672,0.0121,0.0552,0.1352,0.0537
sprint,L2,141,0.0869,0.1364,0.0495,-0.0002,0.0497,-0.0071,0.0395
sprint,L3,16,0.0867,0.1377,0.0510,-0.0004,0.0514,-0.0136,0.0322
sprint,L4,59,0.0872,0.1297,0.0426,0.0021,0.0405,0.0969,0.0312
