model,layer,n_targets,p_familiar_pool,p_familiar_retrieved,cmp_all,cmp_pred,cmp_excess,cmp_actives,precision_at_1pct
drugclip,L1,44,0.0100,0.0532,0.0432,0.0314,0.0118,0.1777,0.3339
drugclip,L2,153,0.0083,0.0081,-0.0002,-0.0014,0.0012,-0.0001,0.2452
drugclip,L3,16,0.0086,0.0071,-0.0016,-0.0005,-0.0010,-0.0048,0.0866
drugclip,L4,56,0.0083,0.0072,-0.0010,-0.0003,-0.0007,0.0372,0.1704
bindclip_randneg,L1,44,0.0100,0.0603,0.0503,0.0315,0.0188,0.1942,0.3600
bindclip_randneg,L2,153,0.0083,0.0116,0.0033,-0.0012,0.0045,-0.0001,0.2323
bindclip_randneg,L3,16,0.0086,0.0137,0.0051,-0.0006,0.0057,-0.0027,0.0961
bindclip_randneg,L4,56,0.0083,0.0147,0.0065,0.0002,0.0062,0.0208,0.1423
bindclip_hardneg,L1,44,0.0100,0.0512,0.0412,0.0304,0.0108,0.1277,0.3741
bindclip_hardneg,L2,153,0.0083,0.0136,0.0053,-0.0013,0.0066,0.0046,0.2384
bindclip_hardneg,L3,16,0.0086,0.0219,0.0133,-0.0006,0.0139,-0.0031,0.0847
bindclip_hardneg,L4,56,0.0083,0.0181,0.0098,0.0009,0.0089,0.0097,0.1228
