variant,layer,n_targets,ef1,bedroc,auroc
官方 _rk（我们原用）,L1,306,36.6309,0.6902,0.9230
官方 _rk（我们原用）,L2,434,23.6087,0.4638,0.8776
官方 _rk（我们原用）,L3,48,13.5551,0.2739,0.7696
官方 _rk（我们原用）,L4,224,7.3415,0.1569,0.7103
官方 _vs a=0,L1,310,32.1148,0.6150,0.9110
官方 _vs a=0,L2,434,20.9535,0.4138,0.8624
官方 _vs a=0,L3,48,12.4044,0.2450,0.7529
官方 _vs a=0,L4,224,7.0732,0.1519,0.7018
官方 _vs a=1,L1,310,32.1148,0.6150,0.9110
官方 _vs a=1,L2,434,20.9535,0.4138,0.8624
官方 _vs a=1,L3,48,12.4044,0.2450,0.7529
官方 _vs a=1,L4,224,7.0732,0.1519,0.7018
合作者训的 _vs,L1,310,30.7032,0.5874,0.8998
合作者训的 _vs,L2,434,19.3891,0.3847,0.8464
合作者训的 _vs,L3,48,11.1088,0.2330,0.7374
合作者训的 _vs,L4,224,5.7513,0.1269,0.6834
我们训的 _vs,L1,310,22.1470,0.4461,0.8879
我们训的 _vs,L2,434,13.3248,0.2796,0.8363
我们训的 _vs,L3,48,7.1072,0.1566,0.7457
我们训的 _vs,L4,224,4.6254,0.1052,0.6817
