model,layer,n_targets,AUROC,BEDROC,EF0.1%,EF1%,EF5%
hypseek_rk,L1,306,0.9230,0.6902,43.2760,36.6309,14.7402
hypseek_rk,L2,434,0.8776,0.4638,25.9956,23.6087,11.1856
hypseek_rk,L3,48,0.7696,0.2739,18.6501,13.5551,7.3457
hypseek_rk,L4,224,0.7103,0.1569,6.5964,7.3415,4.5005
hypseek_vs_collab,L1,310,0.8998,0.5874,36.3373,30.7032,13.2887
hypseek_vs_collab,L2,434,0.8464,0.3847,21.2136,19.3891,9.7894
hypseek_vs_collab,L3,48,0.7374,0.2330,11.1108,11.1088,6.1880
hypseek_vs_collab,L4,224,0.6834,0.1269,5.7200,5.7513,4.0142
hypseek_vs_s1,L1,310,0.8879,0.4461,26.9918,22.1470,11.3544
hypseek_vs_s1,L2,434,0.8363,0.2796,12.8849,13.3248,8.1019
hypseek_vs_s1,L3,48,0.7457,0.1566,7.2456,7.1072,5.1667
hypseek_vs_s1,L4,224,0.6817,0.1052,3.3045,4.6254,3.5836
