layer,group,n,median_sim,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
L1,actives,17066,0.7273,2.05,14.93,29.13,53.88
L1,decoys,853300,0.4179,23.79,45.31,22.25,8.65
L2,actives,102005,0.4167,24.07,47.38,25.44,3.11
L2,decoys,5079529,0.4189,23.61,45.29,22.34,8.76
L3,actives,4358,0.3718,37.79,39.90,16.77,5.53
L3,decoys,217900,0.4189,23.64,45.29,22.31,8.76
L4,actives,32774,0.3800,35.49,46.38,11.77,6.37
L4,decoys,1638700,0.4189,23.50,45.34,22.40,8.76

model,layer,n_found,median_sim_found,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
ligunity_protein_ranking,L1,4928,0.8136,1.10,6.72,25.81,66.38
ligunity_protein_ranking,L4,2262,0.4522,25.51,35.68,23.87,14.94
hypseek_rk,L1,4591,0.9688,1.11,4.16,20.65,74.08
hypseek_rk,L4,1810,0.4478,22.10,38.73,26.24,12.93
drugclip,L1,2250,0.8176,1.96,6.40,26.49,65.16
drugclip,L4,1637,0.4146,22.79,48.50,21.26,7.45
