layer,group,n,median_sim,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
L1,actives,17066,0.3714,42.16,32.99,15.83,9.02
L1,decoys,853300,0.3023,72.79,22.05,4.31,0.84
L2,actives,102005,0.2989,74.28,21.69,3.83,0.20
L2,decoys,5079529,0.3026,72.60,22.18,4.38,0.83
L3,actives,4358,0.2817,84.37,12.44,2.46,0.73
L3,decoys,217900,0.3026,72.59,22.15,4.40,0.86
L4,actives,32774,0.2909,80.09,16.44,2.87,0.59
L4,decoys,1638700,0.3026,72.59,22.18,4.39,0.84

model,layer,n_found,median_sim_found,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
drugclip,L1,2250,0.4421,25.60,34.67,23.60,16.13
drugclip,L4,1637,0.3051,65.91,23.09,10.38,0.61
bindclip_randneg,L1,2297,0.4471,24.73,35.22,23.86,16.20
bindclip_randneg,L4,1352,0.3144,63.09,23.82,12.06,1.04
bindclip_hardneg,L1,2360,0.4480,26.10,33.01,24.53,16.36
bindclip_hardneg,L4,1551,0.3068,64.93,22.76,11.35,0.97
