layer,group,n,median_sim,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
L1,actives,7710,0.3529,48.56,32.66,12.59,6.19
L1,decoys,385500,0.3021,72.79,22.05,4.30,0.85
L2,actives,59783,0.2947,76.66,19.77,3.39,0.17
L2,decoys,2968429,0.3026,72.56,22.21,4.39,0.84
L3,actives,3533,0.2778,88.93,8.89,1.75,0.42
L3,decoys,176650,0.3026,72.59,22.15,4.39,0.87
L4,actives,18664,0.2907,80.71,15.58,3.31,0.41
L4,decoys,933200,0.3026,72.55,22.21,4.41,0.84

model,layer,n_found,median_sim_found,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
drugclip,L1,941,0.4321,24.23,42.51,22.74,10.52
drugclip,L4,1075,0.3067,61.12,24.19,14.23,0.47
bindclip_randneg,L1,1027,0.4176,28.24,40.99,20.16,10.61
bindclip_randneg,L4,796,0.3539,48.74,30.78,19.47,1.01
bindclip_hardneg,L1,1111,0.4070,31.32,39.06,20.97,8.64
bindclip_hardneg,L4,667,0.3875,37.18,37.93,23.39,1.50
