layer,group,n,median_sim,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
L1,actives,7710,0.7097,2.52,13.07,32.54,51.87
L1,decoys,385500,0.4177,23.83,45.36,22.20,8.62
L2,actives,59783,0.4149,24.80,46.77,25.41,3.01
L2,decoys,2968429,0.4189,23.58,45.31,22.33,8.78
L3,actives,3533,0.3600,43.33,39.51,12.51,4.64
L3,decoys,176650,0.4189,23.62,45.30,22.34,8.75
L4,actives,18664,0.3803,34.36,47.91,11.55,6.18
L4,decoys,933200,0.4189,23.52,45.33,22.39,8.75

model,layer,n_found,median_sim_found,全新 <0.35,远 0.35–0.5,近 0.5–0.7,极近 ≥0.7
ligunity_protein_ranking,L1,2289,0.7692,1.97,6.51,30.80,60.73
ligunity_protein_ranking,L4,1545,0.4891,18.32,34.43,28.35,18.90
hypseek_rk,L1,1944,0.8592,2.42,2.52,24.64,70.42
hypseek_rk,L4,1307,0.4824,17.37,36.80,30.15,15.68
drugclip,L1,941,0.7857,4.46,5.10,26.25,64.19
drugclip,L4,1075,0.4062,22.79,45.40,22.42,9.40
