layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L1,C7C422,35,1750,48.1667,16.4333,0.8869,0.9340,0.8041
L1,O00141,31,1550,51.0000,16.5750,0.9241,0.9140,0.8453
L1,O00329,182,9100,51.0000,19.1935,0.9700,0.9889,0.9470
L1,O00444,13,650,51.0000,19.5000,0.9832,0.9995,0.9795
L1,O00519,47,2350,51.0000,19.1250,0.9702,0.9900,0.9624
L1,O00763,13,650,51.0000,18.0000,0.9578,0.9870,0.9312
L1,O14744,24,1200,51.0000,18.0968,0.9515,0.9338,0.9032
L1,O14757,13,650,21.8571,10.5000,0.4885,0.7366,0.3598
L1,O14965,23,1150,29.7500,10.3729,0.5415,0.8460,0.4050
L1,O15379,141,7050,51.0000,19.5500,0.9470,0.9903,0.9213
L1,O43353,246,12300,51.0000,19.4092,0.9851,0.9838,0.9686
L1,O43570,250,12500,51.0000,19.5846,0.9809,0.9934,0.9664
L1,O60218,33,1650,51.0000,14.4000,0.8251,0.9139,0.7161
L1,O60341,104,5200,50.0556,17.8308,0.9390,0.9676,0.8819
L1,O60674,228,11400,51.0000,18.6649,0.9621,0.9826,0.9297
L1,O60885,58,2900,51.0000,15.1622,0.8517,0.9194,0.7482
L1,O75116,34,1700,51.0000,15.8276,0.8803,0.9477,0.7951
L1,O75385,10,500,0.0000,0.0000,0.0004,0.7179,0.0523
L1,O75417,10,500,51.0000,19.6154,0.9913,0.9998,0.9909
L1,O75460,34,1700,51.0000,18.7586,0.9731,0.9641,0.9436
L1,O75469,82,4100,51.0000,19.4286,0.9897,0.9805,0.9762
L1,O75762,15,750,51.0000,11.7692,0.7648,0.8125,0.6079
L1,O75874,29,1450,51.0000,19.2973,0.9852,0.9884,0.9675
L1,O76074,54,2700,51.0000,19.5870,0.9916,0.9936,0.9818
L1,O76083,15,750,51.0000,18.3077,0.9670,0.9353,0.9302
L1,O95271,19,950,51.0000,18.7347,0.9751,0.9804,0.9473
L1,O95819,16,800,51.0000,13.6829,0.7927,0.8198,0.6546
L1,O96013,21,1050,51.0000,16.0556,0.8388,0.9285,0.7538
L1,O96028,22,1100,51.0000,18.7895,0.9607,0.9814,0.9299
L1,P00338,11,550,51.0000,17.5862,0.9582,0.9331,0.9115
L1,P00352,10,500,51.0000,19.6154,0.9957,1.0000,1.0000
L1,P00491,26,1300,51.0000,19.7910,0.9969,0.9999,0.9960
L1,P00519,47,2350,51.0000,16.1500,0.8847,0.9158,0.7980
L1,P00533,467,23350,50.7866,19.1839,0.9657,0.9867,0.9387
L1,P00734,149,7450,51.0000,19.5947,0.9890,0.9966,0.9783
L1,P00742,20,1000,51.0000,17.0000,0.9226,0.9599,0.8590
L1,P00915,169,8450,51.0000,19.2877,0.9739,0.9908,0.9536
