layer,uniprot,n_actives,n_decoys,ef1,bedroc,auroc
L1,O15379,141,400,2.5579,0.7813,0.8348
L1,O43353,246,400,0.3751,0.0738,0.2363
L1,O60341,104,400,0.0000,0.0128,0.4752
L1,O60674,228,400,1.5739,0.5593,0.8058
L1,O60885,58,400,0.0000,0.0001,0.4729
L1,O75469,82,400,0.0000,0.0000,0.1984
L1,P00734,149,400,0.0000,0.0319,0.6852
L1,P00915,169,400,0.0000,0.0254,0.3334
L1,P01116,51,400,0.0000,0.0000,0.2698
L1,P04798,63,400,0.0000,0.0000,0.6578
L1,P06239,68,400,1.3765,0.1556,0.5937
L1,P07333,103,400,0.8139,0.2374,0.4434
L1,P08581,66,400,1.4121,0.1432,0.6475
L1,P0DMS8,69,400,0.0000,0.0000,0.4841
L1,P0DTD1,420,400,0.0000,0.0181,0.3514
L1,P11362,56,400,3.2571,0.2845,0.6852
L1,P11802,71,400,1.3268,0.2111,0.4443
L1,P12931,91,400,1.0791,0.2308,0.6757
L1,P15056,58,400,0.0000,0.0202,0.4389
L1,P18031,116,400,0.0000,0.0000,0.0997
L1,P21554,100,400,0.0000,0.0000,0.3571
L1,P22413,189,400,0.0000,0.0146,0.4479
L1,P22455,55,400,0.0000,0.0453,0.6070
L1,P23458,197,400,0.0000,0.3916,0.8402
L1,P27338,155,400,0.0000,0.0000,0.4876
L1,P28335,80,400,0.0000,0.0081,0.6178
L1,P29597,187,400,2.0927,0.6418,0.7703
L1,P30530,50,400,1.8000,0.2913,0.5574
L1,P31153,63,400,0.0000,0.0000,0.3733
L1,P34913,124,400,0.0000,0.0000,0.3604
L1,P34914,99,400,0.0000,0.0000,0.3219
L1,P34972,67,400,0.0000,0.0000,0.3956
L1,P35968,136,400,0.0000,0.1943,0.6109
L1,P36888,84,400,0.0000,0.1350,0.6971
L1,P41145,193,400,0.0000,0.0000,0.2513
L1,P41182,63,400,0.0000,0.0000,0.3036
L1,P41595,91,400,0.0000,0.0053,0.6381
L1,P47989,55,400,0.0000,0.0000,0.4020
L1,P49327,665,400,0.0000,0.0000,0.2039
L1,P50406,67,400,0.0000,0.0007,0.6566
L1,P50750,67,400,0.0000,0.0245,0.5458
L1,P52333,256,400,1.4643,0.6571,0.6457
L1,P53634,58,400,0.0000,0.0000,0.4676
L1,P56817,260,400,0.0000,0.1964,0.8448
L1,Q05397,90,400,1.0889,0.1398,0.5098
L1,Q13188,50,400,0.0000,0.0274,0.5030
L1,Q13547,361,400,1.5810,0.7026,0.6824
L1,Q13627,111,400,0.7673,0.1491,0.4452
L1,Q16678,107,400,0.0000,0.0000,0.4668
L1,Q92769,127,400,2.0748,0.5989,0.8440
L1,Q92918,161,400,0.0000,0.0000,0.2179
