layer,uniprot,n_actives,n_decoys,ef1,bedroc,auroc
L1,O15379,141,400,1.2790,0.6198,0.8858
L1,O43353,246,400,0.7503,0.1727,0.1360
L1,O60341,104,400,0.0000,0.0329,0.4314
L1,O60674,228,400,1.5739,0.7114,0.8163
L1,O60885,58,400,0.0000,0.0109,0.4426
L1,O75469,82,400,0.0000,0.0000,0.1238
L1,P00734,149,400,0.6141,0.1114,0.7092
L1,P00915,169,400,0.5611,0.2138,0.3343
L1,P01116,51,400,0.0000,0.0000,0.3367
L1,P04798,63,400,0.0000,0.0005,0.7356
L1,P06239,68,400,2.7529,0.2993,0.6491
L1,P07333,103,400,0.8139,0.1561,0.4110
L1,P08581,66,400,1.4121,0.2403,0.6093
L1,P0DMS8,69,400,0.0000,0.0001,0.4539
L1,P0DTD1,420,400,0.0000,0.0278,0.3732
L1,P11362,56,400,3.2571,0.3776,0.7422
L1,P11802,71,400,2.6535,0.1767,0.5312
L1,P12931,91,400,2.1582,0.3134,0.5750
L1,P15056,58,400,0.0000,0.0907,0.4819
L1,P18031,116,400,0.0000,0.0000,0.1412
L1,P21554,100,400,0.0000,0.0000,0.3588
L1,P22413,189,400,0.0000,0.0021,0.3623
L1,P22455,55,400,0.0000,0.0615,0.5869
L1,P23458,197,400,0.0000,0.2468,0.8352
L1,P27338,155,400,0.0000,0.0005,0.4777
L1,P28335,80,400,0.0000,0.1409,0.6757
L1,P29597,187,400,3.1390,0.9255,0.7828
L1,P30530,50,400,5.4000,0.4099,0.6165
L1,P31153,63,400,0.0000,0.0000,0.2997
L1,P34913,124,400,0.0000,0.0000,0.2463
L1,P34914,99,400,0.0000,0.0000,0.2631
L1,P34972,67,400,0.0000,0.0000,0.5082
L1,P35968,136,400,0.0000,0.0709,0.6088
L1,P36888,84,400,0.0000,0.1129,0.6930
L1,P41145,193,400,0.0000,0.0000,0.2434
L1,P41182,63,400,0.0000,0.0000,0.1850
L1,P41595,91,400,0.0000,0.2085,0.7986
L1,P47989,55,400,0.0000,0.0000,0.3109
L1,P49327,665,400,0.0000,0.0000,0.1364
L1,P50406,67,400,0.0000,0.0333,0.7726
L1,P50750,67,400,0.0000,0.0158,0.4844
L1,P52333,256,400,0.0000,0.2289,0.6017
L1,P53634,58,400,0.0000,0.0000,0.5033
L1,P56817,260,400,0.0000,0.1823,0.8581
L1,Q05397,90,400,1.0889,0.2096,0.3747
L1,Q13188,50,400,1.8000,0.1638,0.4284
L1,Q13547,361,400,1.3175,0.6990,0.7618
L1,Q13627,111,400,0.7673,0.2244,0.4495
L1,Q16678,107,400,0.0000,0.0000,0.5732
L1,Q92769,127,400,3.4580,0.9087,0.9021
L1,Q92918,161,400,0.0000,0.0000,0.1874
L1,Q9BY41,104,400,2.4231,0.4319,0.7944
L1,Q9NWZ3,91,400,1.0791,0.1655,0.3754
L1,Q9NZQ7,85,400,0.0000,0.0000,0.1644
L1,Q9UBN7,426,400,1.0772,0.4641,0.6491
L1,Q9Y5Z0,227,400,0.0000,0.0242,0.8080
L2,O14684,125,400,0.0000,0.0000,0.2531
L2,O14744,814,400,0.0000,0.0009,0.2204
L2,O14757,190,400,0.0000,0.0002,0.2822
L2,O15379,413,400,1.7498,0.9024,0.9209
L2,O43570,239,400,0.0000,0.0000,0.3192
L2,O43613,99,400,0.0000,0.0002,0.7090
L2,O43614,145,400,0.0000,0.0004,0.5440
L2,O60341,807,400,0.6903,0.6116,0.5135
L2,O60502,301,400,0.0000,0.0000,0.2643
L2,O60885,576,400,0.0000,0.0788,0.3632
L2,O75116,301,400,0.0000,0.0104,0.5638
L2,O75173,83,400,0.0000,0.0003,0.7439
L2,O75385,408,400,0.0000,0.0136,0.2055
L2,O95497,118,400,0.0000,0.0000,0.2214
L2,O95819,66,400,0.0000,0.0000,0.3079
L2,O96017,65,400,0.0000,0.0001,0.2571
L2,O96028,77,400,0.0000,0.0025,0.2813
L2,P00519,294,400,0.3372,0.0874,0.3084
L2,P00533,2047,400,0.8129,0.7477,0.3306
L2,P00734,72,400,0.0000,0.0127,0.7638
L2,P00742,66,400,0.0000,0.0046,0.7038
L2,P00746,364,400,0.0000,0.0000,0.1295
L2,P00751,146,400,0.0000,0.0000,0.2409
L2,P01116,3262,400,0.0000,0.2403,0.1958
L2,P03372,218,400,0.0000,0.0000,0.2534
L2,P03951,101,400,0.0000,0.0000,0.3093
L2,P03952,130,400,1.3590,0.2918,0.3156
L2,P04049,656,400,0.0000,0.0054,0.4539
L2,P04150,286,400,0.0000,0.0000,0.1791
L2,P04293,355,400,0.0000,0.0000,0.1344
L2,P04626,1004,400,0.4661,0.3293,0.3068
L2,P06239,715,400,0.2599,0.3250,0.5144
L2,P06241,54,400,0.0000,0.0000,0.6178
L2,P06276,139,400,0.0000,0.0000,0.4380
L2,P07333,773,400,0.1265,0.0801,0.4823
L2,P07711,113,400,0.0000,0.0000,0.3630
L2,P07949,263,400,0.0000,0.0923,0.3676
L2,P08069,359,400,0.0000,0.0000,0.1774
L2,P08173,78,400,0.0000,0.0000,0.3584
L2,P08581,831,400,1.3674,0.9463,0.7747
L2,P08908,207,400,0.8378,0.4501,0.9109
L2,P08922,51,400,0.0000,0.0418,0.8331
L2,P09619,429,400,0.0000,0.0953,0.5177
L2,P0DMS8,50,400,0.0000,0.1932,0.7375
L2,P10275,145,400,0.0000,0.0002,0.3422
L2,P10398,103,400,0.0000,0.0266,0.8506
L2,P10415,1007,400,0.0000,0.0001,0.1369
L2,P11309,66,400,0.0000,0.1247,0.4895
L2,P11362,501,400,1.6186,0.9250,0.8793
L2,P11474,199,400,0.0000,0.0000,0.1773
L2,P11802,1402,400,0.7441,0.5153,0.6078
L2,P14756,71,400,0.0000,0.0000,0.2676
L2,P15428,361,400,0.0000,0.0000,0.2930
L2,P18825,125,400,0.0000,0.0023,0.3311
L2,P20618,73,400,0.0000,0.0000,0.1286
L2,P21554,53,400,0.0000,0.0000,0.3103
L2,P21802,484,400,1.8264,0.9937,0.9026
L2,P22413,524,400,0.0000,0.0000,0.3242
L2,P22455,116,400,2.9655,0.5640,0.5842
L2,P22607,384,400,2.0417,0.9993,0.9698
L2,P23458,622,400,0.0000,0.2132,0.6610
L2,P23946,71,400,0.0000,0.0000,0.2940
L2,P24941,1629,400,1.2455,0.9857,0.7104
L2,P27338,124,400,0.0000,0.0036,0.4528
L2,P27487,116,400,0.0000,0.0004,0.5502
L2,P28074,325,400,0.0000,0.0000,0.1423
L2,P28335,296,400,0.0000,0.0836,0.8049
L2,P28482,665,400,0.0000,0.0000,0.1813
L2,P29274,777,400,0.8836,0.6861,0.5684
L2,P29275,358,400,0.5293,0.3651,0.7360
L2,P29597,1372,400,0.5740,0.5674,0.3634
L2,P30530,928,400,0.9200,0.7437,0.6721
L2,P30542,114,400,3.7573,0.8387,0.9102
L2,P31391,100,400,0.0000,0.0000,0.3139
L2,P31645,109,400,0.0000,0.0028,0.3548
L2,P31749,213,400,0.0000,0.0000,0.1987
L2,P31751,118,400,0.0000,0.0000,0.1774
L2,P32245,208,400,0.0000,0.0000,0.2094
L2,P34913,62,400,0.0000,0.0000,0.3184
L2,P34914,198,400,0.0000,0.0000,0.2974
L2,P34972,63,400,0.0000,0.0002,0.3877
L2,P35372,197,400,0.0000,0.1134,0.8158
L2,P35916,71,400,0.0000,0.0012,0.6950
L2,P35968,927,400,0.9202,0.7660,0.8207
L2,P36888,506,400,1.6115,0.9393,0.7098
L2,P39900,83,400,0.0000,0.0000,0.2835
L2,P41143,92,400,0.0000,0.1422,0.8493
L2,P41145,526,400,0.7042,0.5682,0.3644
L2,P41146,54,400,0.0000,0.0000,0.7123
L2,P41240,174,400,0.0000,0.0358,0.8586
L2,P42330,77,400,0.0000,0.0000,0.3652
L2,P42345,80,400,0.0000,0.0033,0.5638
