layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L1,O15379,141,7050,49.5833,19.5500,0.9353,0.9901,0.9053
L1,O43353,246,12300,51.0000,19.4092,0.9848,0.9838,0.9681
L1,O60341,104,5200,51.0000,17.8308,0.9492,0.9692,0.8997
L1,O60674,228,11400,51.0000,18.6649,0.9640,0.9828,0.9322
L1,O60885,58,2900,51.0000,14.8176,0.8473,0.9193,0.7420
L1,O75469,82,4100,51.0000,19.4286,0.9897,0.9805,0.9762
L1,P00734,149,7450,50.3289,19.5947,0.9789,0.9965,0.9527
L1,P00915,169,8450,51.0000,19.2877,0.9711,0.9904,0.9497
L1,P01116,51,2550,51.0000,18.6870,0.9730,0.9782,0.9492
L1,P04798,63,3150,51.0000,19.3230,0.9865,0.9927,0.9722
L1,P06239,68,3400,50.5143,16.4138,0.8641,0.9530,0.7822
L1,P07333,103,5150,50.0377,17.0646,0.8884,0.9652,0.8199
L1,P08581,66,3300,46.5000,17.5030,0.8936,0.9555,0.8239
L1,P0DMS8,69,3450,51.0000,19.1250,0.9812,0.9879,0.9606
L1,P0DTD1,420,21000,50.0512,19.3333,0.9641,0.9882,0.9359
L1,P11362,56,2800,51.0000,16.4056,0.8579,0.9481,0.7713
L1,P11802,71,3550,51.0000,18.2143,0.9495,0.9657,0.9031
L1,P12931,91,4550,49.9149,17.9485,0.9290,0.9660,0.8745
L1,P15056,58,2900,51.0000,16.5405,0.8826,0.9639,0.8034
L1,P18031,116,5800,51.0000,19.1250,0.9776,0.9808,0.9539
L1,P21554,100,5000,51.0000,19.4000,0.9783,0.9892,0.9631
L1,P22413,189,9450,51.0000,19.3631,0.9804,0.9809,0.9635
L1,P22455,55,2750,49.2414,17.3617,0.9073,0.9565,0.8413
L1,P23458,197,9850,51.0000,18.9602,0.9648,0.9900,0.9387
L1,P27338,155,7750,51.0000,19.1894,0.9777,0.9898,0.9593
L1,P28335,80,4000,51.0000,19.5000,0.9722,0.9820,0.9506
L1,P29597,187,9350,50.4688,19.1384,0.9765,0.9903,0.9573
L1,P30530,50,2500,47.0769,16.3359,0.8589,0.9333,0.7692
L1,P31153,63,3150,51.0000,19.3230,0.9866,0.9886,0.9729
L1,P34913,124,6200,51.0000,19.4669,0.9893,0.9953,0.9784
L1,P34914,99,4950,51.0000,19.7549,0.9953,0.9961,0.9904
L1,P34972,67,3350,51.0000,19.0877,0.9663,0.9853,0.9605
L1,P35968,136,6800,50.2714,17.3429,0.9017,0.9682,0.8320
L1,P36888,84,4200,47.4419,12.8093,0.7336,0.8846,0.6006
L1,P41145,193,9650,51.0000,19.7586,0.9895,0.9911,0.9816
L1,P41182,63,3150,51.0000,19.9565,0.9999,1.0000,1.0000
L1,P41595,91,4550,46.6596,18.6052,0.9113,0.9659,0.8323
L1,P47989,55,2750,51.0000,18.0851,0.9560,0.9586,0.9108
L1,P49327,665,33250,51.0000,19.9971,1.0000,1.0000,1.0000
L1,P50406,67,3350,51.0000,18.7895,0.9536,0.9803,0.9223
L1,P50750,67,3350,51.0000,17.5965,0.9153,0.9644,0.8597
L1,P52333,256,12800,50.2214,19.1348,0.9659,0.9876,0.9384
L1,P53634,58,2900,51.0000,19.9865,0.9855,1.0000,1.0000
