alpha_poc,alpha_prot,ratio,layer,n_targets,ef1,ef5,bedroc,auroc
1,0.0,0.0,L1,55,31.362480,13.212544,0.601463,0.895393
1,0.0,0.0,L2,167,21.530434,10.448966,0.422575,0.863213
1,0.0,0.0,L3,33,8.715210,4.822447,0.177430,0.698801
1,0.0,0.0,L4,54,7.244734,3.887112,0.142336,0.640339
1,0.125,0.125,L1,55,32.047206,13.436325,0.612929,0.899997
1,0.125,0.125,L2,167,21.968001,10.595585,0.430178,0.866701
1,0.125,0.125,L3,33,9.064837,4.897546,0.182971,0.708670
1,0.125,0.125,L4,54,7.307709,3.984643,0.143863,0.640999
1,0.25,0.25,L1,55,32.676482,13.637415,0.621998,0.903095
1,0.25,0.25,L2,167,22.268374,10.682454,0.435582,0.869378
1,0.25,0.25,L3,33,9.407715,4.950646,0.187204,0.716086
1,0.25,0.25,L4,54,7.418537,4.041519,0.144110,0.641429
1,0.5,0.5,L1,55,33.482019,13.928828,0.636107,0.906947
1,0.5,0.5,L2,167,22.611367,10.822462,0.442493,0.873129
1,0.5,0.5,L3,33,9.684331,5.093841,0.192283,0.725239
1,0.5,0.5,L4,54,7.176291,4.005045,0.142681,0.641944
1,1.0,1.0,L1,55,34.541755,14.178772,0.653241,0.910485
1,1.0,1.0,L2,167,23.046905,10.965991,0.449554,0.876667
1,1.0,1.0,L3,33,9.826801,5.291204,0.198611,0.732732
1,1.0,1.0,L4,54,6.999796,3.942206,0.139978,0.641740
1,2.0,2.0,L1,55,35.448657,14.294065,0.662887,0.912476
1,2.0,2.0,L2,167,23.430899,11.076602,0.455682,0.878228
1,2.0,2.0,L3,33,9.922920,5.404163,0.205222,0.736581
1,2.0,2.0,L4,54,6.987510,3.813950,0.140862,0.639474
1,4.0,4.0,L1,55,35.449268,14.289601,0.661843,0.913162
1,4.0,4.0,L2,167,23.563830,11.095818,0.458841,0.878272
1,4.0,4.0,L3,33,10.253610,5.510880,0.209793,0.737569
1,4.0,4.0,L4,54,7.256027,3.813658,0.143704,0.636050
1,8.0,8.0,L1,55,34.976793,14.235847,0.657070,0.913261
1,8.0,8.0,L2,167,23.557378,11.100585,0.459177,0.877877
1,8.0,8.0,L3,33,10.420303,5.554149,0.212445,0.737394
1,8.0,8.0,L4,54,7.397521,3.832410,0.146304,0.633321
0,1,inf,L1,55,34.349865,14.172811,0.647573,0.913048
0,1,inf,L2,167,23.509587,11.041554,0.457884,0.877008
0,1,inf,L3,33,10.509878,5.630433,0.214455,0.736401
0,1,inf,L4,54,7.646410,3.855620,0.149294,0.629666
