model,layer,n_targets,AUROC,BEDROC,EF0.1%,EF1%,EF5%
bindclip_hardneg,L1,320,0.7246,0.3399,27.2083,17.8117,7.6008
bindclip_hardneg,L2,449,0.7143,0.2471,15.1253,12.5663,6.1210
bindclip_hardneg,L3,49,0.6417,0.1557,13.4068,7.8979,3.9013
bindclip_hardneg,L4,226,0.6462,0.1227,6.2410,6.0029,3.5436
bindclip_randneg,L1,320,0.7439,0.3661,28.0794,19.1200,8.0467
bindclip_randneg,L2,449,0.7076,0.2529,15.9770,12.8577,6.3034
bindclip_randneg,L3,49,0.6936,0.1667,14.3947,8.2053,4.5385
bindclip_randneg,L4,226,0.6277,0.1205,6.4319,5.6849,3.5118
conglude,L1,280,0.6928,0.2686,17.7710,13.6275,6.5280
conglude,L2,382,0.6542,0.1626,8.5728,7.7487,4.7127
conglude,L3,39,0.5289,0.1059,4.9504,5.3614,2.9222
conglude,L4,202,0.5694,0.0839,2.7931,3.8666,2.7202
conplex,L1,324,0.6076,0.1479,17.0004,7.6641,3.3083
conplex,L2,455,0.5731,0.0778,4.4688,3.7962,2.2859
conplex,L3,49,0.5263,0.0642,6.9437,3.2361,1.6430
conplex,L4,234,0.5507,0.0474,2.9600,2.0443,1.7204
drugclip,L1,320,0.7434,0.3638,27.1432,18.8010,8.2133
drugclip,L2,449,0.7183,0.2518,15.5423,12.5563,6.4043
drugclip,L3,49,0.6534,0.1343,9.8642,6.4155,3.5795
drugclip,L4,226,0.6601,0.1463,7.0581,6.7846,4.3190
hypseek_rk,L1,306,0.9230,0.6902,43.2760,36.6309,14.7402
hypseek_rk,L2,434,0.8776,0.4638,25.9956,23.6087,11.1856
hypseek_rk,L3,48,0.7696,0.2739,18.6501,13.5551,7.3457
hypseek_rk,L4,224,0.7103,0.1569,6.5964,7.3415,4.5005
ligunity_pocket_ranking,L1,310,0.8801,0.6592,41.7109,35.2385,13.3977
ligunity_pocket_ranking,L2,434,0.8426,0.5069,30.0648,26.3868,11.3096
ligunity_pocket_ranking,L3,48,0.7419,0.2967,17.8466,13.8976,7.6229
ligunity_pocket_ranking,L4,224,0.6694,0.1789,8.8408,8.3893,5.1619
ligunity_protein_ranking,L1,310,0.9030,0.7261,45.0030,39.1751,14.4718
ligunity_protein_ranking,L2,434,0.8685,0.5739,34.1684,30.1950,12.5035
ligunity_protein_ranking,L3,48,0.7605,0.3549,21.5020,17.8140,8.4525
ligunity_protein_ranking,L4,224,0.6901,0.1839,8.9299,8.8343,5.0103
litenclip,L1,310,0.8838,0.6106,40.1407,32.3678,12.8536
litenclip,L2,434,0.8439,0.4447,27.0207,23.0627,10.2842
litenclip,L3,48,0.7570,0.2621,14.0954,12.9447,7.0400
litenclip,L4,224,0.6875,0.1768,7.5971,8.4556,4.9572
sprint,L1,282,0.5789,0.0551,2.4365,2.5182,1.9329
sprint,L2,386,0.5612,0.0404,1.5032,1.8393,1.5361
sprint,L3,39,0.4845,0.0377,2.2290,1.3165,1.4529
sprint,L4,202,0.5226,0.0347,1.6366,1.3693,1.3923
