model,layer,n_targets,metric,mean,ci_lo,ci_hi
bindclip_hardneg,L1,320,ef1,17.8117,16.0235,19.5698
bindclip_hardneg,L2,449,ef1,12.5663,11.1308,14.0346
bindclip_hardneg,L3,49,ef1,7.8979,4.8965,11.1949
bindclip_hardneg,L4,226,ef1,6.0029,4.4544,7.6144
bindclip_randneg,L1,320,ef1,19.1200,17.2768,20.9957
bindclip_randneg,L2,449,ef1,12.8577,11.4413,14.3509
bindclip_randneg,L3,49,ef1,8.2053,5.3307,11.1784
bindclip_randneg,L4,226,ef1,5.6849,4.2318,7.1838
conglude,L1,280,ef1,13.6275,12.0199,15.3651
conglude,L2,382,ef1,7.7487,6.7194,8.8282
conglude,L3,39,ef1,5.3614,2.6540,8.1841
conglude,L4,202,ef1,3.8666,2.7591,5.1139
conplex,L1,324,ef1,7.6641,6.5588,8.8242
conplex,L2,455,ef1,3.7962,3.0153,4.6801
conplex,L3,49,ef1,3.2361,1.3764,5.8121
conplex,L4,234,ef1,2.0443,1.4170,2.7337
drugclip,L1,320,ef1,18.8010,16.9610,20.6700
drugclip,L2,449,ef1,12.5563,11.1394,13.9717
drugclip,L3,49,ef1,6.4155,3.5836,9.7201
drugclip,L4,226,ef1,6.7846,5.2607,8.3666
hypseek_rk,L1,306,ef1,36.6309,34.8235,38.3253
hypseek_rk,L2,434,ef1,23.6087,21.8182,25.3215
hypseek_rk,L3,48,ef1,13.5551,9.2990,17.9506
hypseek_rk,L4,224,ef1,7.3415,5.6025,9.1928
ligunity_pocket_ranking,L1,310,ef1,35.2385,33.2945,37.1572
ligunity_pocket_ranking,L2,434,ef1,26.3868,24.6314,28.2171
ligunity_pocket_ranking,L3,48,ef1,13.8976,9.6347,18.5414
ligunity_pocket_ranking,L4,224,ef1,8.3893,6.5362,10.3933
ligunity_protein_ranking,L1,310,ef1,39.1751,37.5777,40.8444
ligunity_protein_ranking,L2,434,ef1,30.1950,28.4032,31.9208
ligunity_protein_ranking,L3,48,ef1,17.8140,12.4710,23.3022
ligunity_protein_ranking,L4,224,ef1,8.8343,6.8569,10.9504
litenclip,L1,310,ef1,32.3678,30.3536,34.2530
litenclip,L2,434,ef1,23.0627,21.2605,24.8884
litenclip,L3,48,ef1,12.9447,8.8114,17.3399
litenclip,L4,224,ef1,8.4556,6.6501,10.3409
sprint,L3,39,ef1,1.3165,0.4502,2.4610
sprint,L4,202,ef1,1.3693,0.9501,1.8451
