model,layer,n_targets,metric,mean,ci_lo,ci_hi
bindclip_hardneg,L1,56,ef1,19.3018,15.3312,23.6519
bindclip_hardneg,L2,171,ef1,12.0126,9.9235,14.0918
bindclip_hardneg,L3,19,ef1,6.9815,2.8057,12.1403
bindclip_hardneg,L4,69,ef1,6.2185,3.7456,9.1697
bindclip_randneg,L1,56,ef1,18.8389,14.4586,23.4768
bindclip_randneg,L2,171,ef1,11.4822,9.4374,13.5471
bindclip_randneg,L3,19,ef1,7.6100,3.0518,12.7757
bindclip_randneg,L4,69,ef1,7.1874,4.7741,10.3199
conglude,L1,47,ef1,12.8543,9.0247,16.8171
conglude,L2,139,ef1,6.6189,5.3313,7.9606
conglude,L3,16,ef1,5.4549,1.6782,9.8816
conglude,L4,59,ef1,5.6297,2.8984,8.8302
conplex,L1,53,ef1,6.1535,4.1337,8.4551
conplex,L2,166,ef1,3.4057,2.3778,4.5335
conplex,L3,16,ef1,3.0230,0.2583,7.0256
conplex,L4,63,ef1,2.1984,1.2317,3.4351
drugclip,L1,56,ef1,17.0635,12.8125,21.5179
drugclip,L2,171,ef1,12.4308,10.2968,14.5519
drugclip,L3,19,ef1,6.1413,1.7854,12.3673
drugclip,L4,69,ef1,8.8537,5.9823,12.1611
hypseek_official_vs,L1,55,ef1,31.9195,27.7135,36.0541
hypseek_official_vs,L2,167,ef1,22.7184,20.1366,25.3224
hypseek_official_vs,L3,19,ef1,6.8859,1.5923,13.8463
hypseek_official_vs,L4,68,ef1,9.2711,5.9229,13.2673
hypseek_rk,L1,53,ef1,34.3744,29.6209,38.5870
hypseek_rk,L2,167,ef1,25.4483,22.8644,28.0809
hypseek_rk,L3,19,ef1,9.2892,3.5296,16.3791
hypseek_rk,L4,68,ef1,9.0809,5.8224,12.6334
ligunity_pocket_ranking,L1,55,ef1,34.7820,30.0808,39.0175
ligunity_pocket_ranking,L2,167,ef1,27.5322,24.8550,30.2698
ligunity_pocket_ranking,L3,19,ef1,10.2023,4.0947,17.8487
ligunity_pocket_ranking,L4,68,ef1,9.9102,6.5890,13.5897
ligunity_protein_ranking,L1,55,ef1,40.0620,36.2861,43.3564
ligunity_protein_ranking,L2,167,ef1,31.8459,29.2166,34.4022
ligunity_protein_ranking,L3,19,ef1,13.2929,6.0478,22.0392
ligunity_protein_ranking,L4,68,ef1,11.3766,7.5011,15.3707
litenclip,L1,55,ef1,32.2455,27.9001,36.3188
litenclip,L2,167,ef1,22.6980,19.9186,25.4396
litenclip,L3,19,ef1,5.8429,2.3359,9.9700
litenclip,L4,68,ef1,9.7014,6.5686,13.3413
sprint,L1,47,ef1,2.7380,1.6236,4.0562
sprint,L2,141,ef1,2.0139,1.4519,2.7060
sprint,L3,16,ef1,1.6405,0.5346,3.0227
sprint,L4,59,ef1,1.5891,0.9468,2.3500
