model,layer,n_targets,n_actives_removed,EF1_raw,EF1_clean,BEDROC_raw,BEDROC_clean,AUROC_raw,AUROC_clean
drugclip,L1,320,3732,18.8433,19.2560,0.3638,0.3235,0.7434,0.7334
drugclip,L2,449,11,12.5795,12.5808,0.2518,0.2518,0.7183,0.7183
drugclip,L3,49,0,6.5749,6.5749,0.1343,0.1343,0.6534,0.6534
drugclip,L4,226,0,6.7867,6.7867,0.1463,0.1463,0.6601,0.6601
bindclip_randneg,L1,320,3732,19.1304,19.3251,0.3661,0.3239,0.7439,0.7341
bindclip_randneg,L2,449,11,12.8646,12.8593,0.2529,0.2528,0.7076,0.7076
bindclip_randneg,L3,49,0,8.2053,8.2053,0.1667,0.1667,0.6936,0.6936
bindclip_randneg,L4,226,0,5.7147,5.7147,0.1205,0.1205,0.6277,0.6277
bindclip_hardneg,L1,320,3732,17.8311,17.5480,0.3399,0.2931,0.7246,0.7127
bindclip_hardneg,L2,449,11,12.5781,12.5725,0.2471,0.2470,0.7143,0.7143
bindclip_hardneg,L3,49,0,7.8979,7.8979,0.1557,0.1557,0.6417,0.6417
bindclip_hardneg,L4,226,0,6.0054,6.0054,0.1227,0.1227,0.6462,0.6462
ligunity_pocket_ranking,L1,310,3587,35.3013,37.5459,0.6592,0.5968,0.8801,0.8647
ligunity_pocket_ranking,L2,434,10,26.4162,26.4110,0.5069,0.5067,0.8426,0.8426
ligunity_pocket_ranking,L3,48,0,14.0403,14.0403,0.2967,0.2967,0.7419,0.7419
ligunity_pocket_ranking,L4,224,0,8.3998,8.3998,0.1789,0.1789,0.6694,0.6694
ligunity_protein_ranking,L1,310,3587,39.2795,41.4548,0.7261,0.6615,0.9030,0.8879
ligunity_protein_ranking,L2,434,10,30.2197,30.2136,0.5739,0.5738,0.8685,0.8685
ligunity_protein_ranking,L3,48,0,17.8140,17.8140,0.3549,0.3549,0.7605,0.7605
ligunity_protein_ranking,L4,224,0,8.8566,8.8566,0.1839,0.1839,0.6901,0.6901
litenclip,L1,310,3587,32.3678,33.8694,0.6106,0.5472,0.8838,0.8705
litenclip,L2,434,10,23.0627,23.0577,0.4447,0.4446,0.8439,0.8439
litenclip,L3,48,0,12.9447,12.9447,0.2621,0.2621,0.7570,0.7570
litenclip,L4,224,0,8.4556,8.4556,0.1768,0.1768,0.6875,0.6875
hypseek_rk,L1,306,3508,36.6309,38.4488,0.6902,0.6179,0.9230,0.9103
hypseek_rk,L2,434,10,23.6087,23.5988,0.4638,0.4636,0.8776,0.8776
hypseek_rk,L3,48,0,13.5551,13.5551,0.2739,0.2739,0.7696,0.7696
hypseek_rk,L4,224,0,7.3415,7.3415,0.1569,0.1569,0.7103,0.7103
hypseek_official_vs,L1,310,3587,32.1148,32.7741,0.6150,0.5414,0.9110,0.8983
hypseek_official_vs,L2,434,10,20.9535,20.9468,0.4138,0.4137,0.8624,0.8624
hypseek_official_vs,L3,48,0,12.4044,12.4044,0.2450,0.2450,0.7529,0.7529
hypseek_official_vs,L4,224,0,7.0732,7.0732,0.1519,0.1519,0.7018,0.7018
conglude,L1,280,3515,13.6275,12.9919,0.2686,0.2194,0.6928,0.6809
conglude,L2,382,9,7.7492,7.7493,0.1626,0.1626,0.6542,0.6542
conglude,L3,39,0,5.3614,5.3614,0.1059,0.1059,0.5289,0.5289
conglude,L4,202,0,3.8666,3.8666,0.0839,0.0839,0.5694,0.5694
conplex,L1,324,3188,7.6672,6.6741,0.1479,0.1114,0.6076,0.6013
conplex,L2,455,13,3.7778,3.7780,0.0778,0.0778,0.5731,0.5731
conplex,L3,49,0,3.2603,3.2603,0.0642,0.0642,0.5263,0.5263
conplex,L4,234,0,2.0443,2.0443,0.0474,0.0474,0.5507,0.5507
sprint,L1,282,3522,2.5182,2.5465,0.0551,0.0479,0.5789,0.5735
sprint,L2,386,9,1.8397,1.8399,0.0404,0.0404,0.5612,0.5612
sprint,L3,39,0,1.3165,1.3165,0.0377,0.0377,0.4845,0.4845
sprint,L4,202,0,1.3693,1.3693,0.0347,0.0347,0.5226,0.5226
