model,layer,n_targets,n_actives_removed,EF1_raw,EF1_clean,BEDROC_raw,BEDROC_clean,AUROC_raw,AUROC_clean
drugclip,L1,56,1849,17.0635,19.3201,0.3238,0.2961,0.7528,0.7484
drugclip,L2,171,4,12.4308,12.4324,0.2464,0.2465,0.7128,0.7128
drugclip,L3,19,0,6.1413,6.1413,0.1192,0.1192,0.6828,0.6828
drugclip,L4,69,0,8.8537,8.8537,0.1814,0.1814,0.6749,0.6749
bindclip_randneg,L1,56,1849,18.8389,20.5463,0.3550,0.3264,0.7525,0.7493
bindclip_randneg,L2,171,4,11.4822,11.4831,0.2266,0.2266,0.7141,0.7141
bindclip_randneg,L3,19,0,7.6100,7.6100,0.1679,0.1679,0.7195,0.7195
bindclip_randneg,L4,69,0,7.1874,7.1874,0.1483,0.1483,0.6505,0.6505
bindclip_hardneg,L1,56,1849,19.3018,20.6291,0.3614,0.3319,0.7500,0.7459
bindclip_hardneg,L2,171,4,12.0126,12.0127,0.2332,0.2332,0.7194,0.7193
bindclip_hardneg,L3,19,0,6.9815,6.9815,0.1368,0.1368,0.6500,0.6500
bindclip_hardneg,L4,69,0,6.2185,6.2185,0.1222,0.1222,0.6310,0.6310
ligunity_pocket_ranking,L1,55,1734,34.7820,40.4404,0.6544,0.6138,0.8824,0.8775
ligunity_pocket_ranking,L2,167,4,27.5322,27.5360,0.5229,0.5229,0.8631,0.8631
ligunity_pocket_ranking,L3,19,0,10.2023,10.2023,0.2090,0.2090,0.6554,0.6554
ligunity_pocket_ranking,L4,68,0,9.9102,9.9102,0.2039,0.2039,0.6489,0.6489
ligunity_protein_ranking,L1,55,1734,40.0620,46.0738,0.7377,0.6985,0.9180,0.9076
ligunity_protein_ranking,L2,167,4,31.8459,31.8500,0.5994,0.5994,0.8877,0.8877
ligunity_protein_ranking,L3,19,0,13.2929,13.2929,0.2709,0.2709,0.7057,0.7057
ligunity_protein_ranking,L4,68,0,11.3766,11.3766,0.2228,0.2228,0.7050,0.7050
litenclip,L1,55,1734,32.2455,37.1464,0.6039,0.5660,0.8767,0.8726
litenclip,L2,167,4,22.6980,22.7001,0.4349,0.4349,0.8449,0.8449
litenclip,L3,19,0,5.8429,5.8429,0.1289,0.1289,0.6571,0.6571
litenclip,L4,68,0,9.7014,9.7014,0.2015,0.2015,0.7061,0.7061
hypseek_rk,L1,53,1656,34.3744,39.0330,0.6552,0.6042,0.9177,0.9085
hypseek_rk,L2,167,4,25.4483,25.4434,0.4935,0.4934,0.8837,0.8836
hypseek_rk,L3,19,0,9.2892,9.2892,0.1937,0.1937,0.6911,0.6911
hypseek_rk,L4,68,0,9.0809,9.0809,0.1909,0.1909,0.7177,0.7177
hypseek_official_vs,L1,55,1734,31.9195,36.3147,0.6133,0.5611,0.9065,0.8978
hypseek_official_vs,L2,167,4,22.7184,22.7210,0.4396,0.4396,0.8756,0.8756
hypseek_official_vs,L3,19,0,6.8859,6.8859,0.1445,0.1445,0.6756,0.6756
hypseek_official_vs,L4,68,0,9.2711,9.2711,0.1834,0.1834,0.6906,0.6906
conglude,L1,47,1606,12.8543,13.1081,0.2466,0.2220,0.7072,0.7016
conglude,L2,139,3,6.6189,6.6190,0.1397,0.1397,0.6603,0.6603
conglude,L3,16,0,5.4549,5.4549,0.1108,0.1108,0.5030,0.5030
conglude,L4,59,0,5.6297,5.6297,0.1123,0.1123,0.5238,0.5238
conplex,L1,53,1035,6.1535,5.5378,0.1224,0.0980,0.5936,0.5918
conplex,L2,166,4,3.4057,3.4051,0.0714,0.0714,0.5579,0.5579
conplex,L3,16,0,3.0230,3.0230,0.0571,0.0571,0.4870,0.4870
conplex,L4,63,0,2.1984,2.1984,0.0498,0.0498,0.5530,0.5530
sprint,L1,47,1606,2.7380,2.8401,0.0582,0.0526,0.5835,0.5819
sprint,L2,141,3,2.0139,2.0144,0.0431,0.0431,0.5628,0.5628
sprint,L3,16,0,1.6405,1.6405,0.0420,0.0420,0.5137,0.5137
sprint,L4,59,0,1.5891,1.5891,0.0356,0.0356,0.5163,0.5163
