model,layer,n_targets,ef1,ef5,bedroc,auroc,layering
bindclip_hardneg,L1,40,18.6688,8.3767,0.3585,0.7633,original
bindclip_hardneg,L2,122,12.6648,5.7798,0.2408,0.7194,original
bindclip_hardneg,L3,20,6.9722,3.8818,0.1397,0.6648,original
bindclip_hardneg,L4,51,6.4533,3.5292,0.1291,0.6160,original
bindclip_randneg,L1,40,18.5167,7.9292,0.3487,0.7687,original
bindclip_randneg,L2,122,11.9871,5.8268,0.2335,0.7055,original
bindclip_randneg,L3,20,7.7392,5.3606,0.1692,0.7243,original
bindclip_randneg,L4,51,6.9848,4.1831,0.1468,0.6565,original
conglude,L1,32,13.1498,6.3216,0.2507,0.6893,original
conglude,L2,99,6.3924,4.0555,0.1361,0.6544,original
conglude,L3,17,5.1340,3.0876,0.1043,0.4811,original
conglude,L4,44,6.1843,3.3463,0.1222,0.5651,original
conplex,L1,40,5.6146,2.9290,0.1142,0.5888,original
conplex,L2,120,3.1597,2.1287,0.0680,0.5652,original
conplex,L3,17,3.0420,1.7653,0.0600,0.5072,original
conplex,L4,48,2.4084,1.7920,0.0541,0.5648,original
drugclip,L1,40,16.8844,7.8372,0.3266,0.7601,original
drugclip,L2,122,13.2196,6.4963,0.2598,0.7277,original
drugclip,L3,20,5.8909,3.1942,0.1170,0.6875,original
drugclip,L4,51,9.2165,5.3118,0.1896,0.6823,original
hypseek_rk,L1,39,32.9007,14.2109,0.6311,0.9189,original
hypseek_rk,L2,119,25.9843,12.1275,0.5048,0.8862,original
hypseek_rk,L3,20,8.9380,5.5385,0.1873,0.7020,original
hypseek_rk,L4,51,9.9064,5.5148,0.2059,0.7273,original
ligunity_pocket_ranking,L1,40,34.1686,13.3527,0.6467,0.8805,original
ligunity_pocket_ranking,L2,119,27.8409,11.6610,0.5248,0.8646,original
ligunity_pocket_ranking,L3,20,9.9161,5.5428,0.2075,0.6648,original
ligunity_pocket_ranking,L4,51,11.9149,6.0517,0.2368,0.6830,original
ligunity_protein_ranking,L1,40,38.2413,14.2912,0.7074,0.9063,original
ligunity_protein_ranking,L2,119,32.2723,13.1558,0.6045,0.8871,original
ligunity_protein_ranking,L3,20,14.9506,7.5156,0.3012,0.7198,original
ligunity_protein_ranking,L4,51,12.3845,6.0496,0.2405,0.7172,original
litenclip,L1,40,32.4591,12.7251,0.6041,0.8766,original
litenclip,L2,119,22.6808,9.9730,0.4340,0.8464,original
litenclip,L3,20,6.9102,4.5842,0.1494,0.6725,original
litenclip,L4,51,10.0988,5.8340,0.2063,0.7079,original
sprint,L1,32,2.7479,1.8060,0.0585,0.5885,original
sprint,L2,101,2.1679,1.5470,0.0453,0.5587,original
sprint,L3,17,1.5440,1.6089,0.0395,0.4953,original
sprint,L4,44,1.8901,1.5293,0.0428,0.5578,original
bindclip_hardneg,L1,40,18.6688,8.3767,0.3585,0.7633,corrected
bindclip_hardneg,L2,122,12.6648,5.7798,0.2408,0.7194,corrected
bindclip_hardneg,L3,26,8.6004,4.4322,0.1681,0.6909,corrected
bindclip_hardneg,L4,45,5.4434,3.1642,0.1113,0.5944,corrected
bindclip_randneg,L1,40,18.5167,7.9292,0.3487,0.7687,corrected
bindclip_randneg,L2,122,11.9871,5.8268,0.2335,0.7055,corrected
bindclip_randneg,L3,26,8.8644,5.8253,0.1922,0.7485,corrected
bindclip_randneg,L4,45,6.2342,3.7576,0.1306,0.6336,corrected
conglude,L1,32,13.1498,6.3216,0.2507,0.6893,corrected
conglude,L2,99,6.3924,4.0555,0.1361,0.6544,corrected
conglude,L3,22,6.8663,3.5597,0.1333,0.5176,corrected
conglude,L4,39,5.3417,3.1131,0.1081,0.5553,corrected
conplex,L1,40,5.6146,2.9290,0.1142,0.5888,corrected
conplex,L2,120,3.1597,2.1287,0.0680,0.5652,corrected
conplex,L3,23,3.7301,2.1540,0.0741,0.5333,corrected
conplex,L4,42,1.9411,1.5829,0.0455,0.5587,corrected
drugclip,L1,40,16.8844,7.8372,0.3266,0.7601,corrected
drugclip,L2,122,13.2196,6.4963,0.2598,0.7277,corrected
drugclip,L3,26,8.9087,4.6131,0.1776,0.7184,corrected
drugclip,L4,45,7.9163,4.7744,0.1643,0.6637,corrected
hypseek_rk,L1,39,32.9007,14.2109,0.6311,0.9189,corrected
hypseek_rk,L2,119,25.9843,12.1275,0.5048,0.8862,corrected
hypseek_rk,L3,26,12.7276,6.6738,0.2529,0.7407,corrected
hypseek_rk,L4,45,7.8459,4.8557,0.1705,0.7083,corrected
ligunity_pocket_ranking,L1,40,34.1686,13.3527,0.6467,0.8805,corrected
ligunity_pocket_ranking,L2,119,27.8409,11.6610,0.5248,0.8646,corrected
ligunity_pocket_ranking,L3,26,14.9217,7.2732,0.2923,0.7187,corrected
ligunity_pocket_ranking,L4,45,9.2892,5.1198,0.1917,0.6543,corrected
ligunity_protein_ranking,L1,40,38.2413,14.2912,0.7074,0.9063,corrected
ligunity_protein_ranking,L2,119,32.2723,13.1558,0.6045,0.8871,corrected
ligunity_protein_ranking,L3,26,19.5615,9.2144,0.3832,0.7678,corrected
ligunity_protein_ranking,L4,45,9.3783,4.8726,0.1851,0.6891,corrected
litenclip,L1,40,32.4591,12.7251,0.6041,0.8766,corrected
litenclip,L2,119,22.6808,9.9730,0.4340,0.8464,corrected
litenclip,L3,26,9.2100,5.5710,0.1939,0.7195,corrected
litenclip,L4,45,9.1952,5.4304,0.1882,0.6854,corrected
sprint,L1,32,2.7479,1.8060,0.0585,0.5885,corrected
sprint,L2,101,2.1679,1.5470,0.0453,0.5587,corrected
sprint,L3,22,1.4354,1.5307,0.0374,0.5147,corrected
sprint,L4,39,1.9957,1.5633,0.0444,0.5549,corrected
