model,layer,model_ef1,ligand_only_ceiling_ef1,fraction_of_ceiling
ligunity_protein_ranking,L1,40.0620,50.7726,0.7890
ligunity_protein_ranking,L2,31.8459,50.8629,0.6261
ligunity_protein_ranking,L3,19.1854,50.9722,0.3764
ligunity_protein_ranking,L4,8.6452,50.9105,0.1698
ligunity_pocket_ranking,L1,34.7820,50.7726,0.6851
ligunity_pocket_ranking,L2,27.5322,50.8629,0.5413
ligunity_pocket_ranking,L3,14.8359,50.9722,0.2911
ligunity_pocket_ranking,L4,7.9017,50.9105,0.1552
hypseek_rk,L1,34.3744,50.7726,0.6770
hypseek_rk,L2,25.4483,50.8629,0.5003
hypseek_rk,L3,12.6693,50.9722,0.2486
hypseek_rk,L4,7.6163,50.9105,0.1496
litenclip,L1,32.2455,50.7726,0.6351
litenclip,L2,22.6980,50.8629,0.4463
litenclip,L3,8.1644,50.9722,0.1602
litenclip,L4,9.1547,50.9105,0.1798
hypseek_official_vs,L1,31.9195,50.7726,0.6287
hypseek_official_vs,L2,22.7184,50.8629,0.4467
hypseek_official_vs,L3,10.8705,50.9722,0.2133
hypseek_official_vs,L4,7.8465,50.9105,0.1541
bindclip_hardneg,L1,19.3018,50.7726,0.3802
bindclip_hardneg,L2,12.0126,50.8629,0.2362
bindclip_hardneg,L3,8.3390,50.9722,0.1636
bindclip_hardneg,L4,5.5631,50.9105,0.1093
bindclip_randneg,L1,18.8389,50.7726,0.3710
bindclip_randneg,L2,11.4822,50.8629,0.2257
bindclip_randneg,L3,8.5310,50.9722,0.1674
bindclip_randneg,L4,6.7534,50.9105,0.1327
drugclip,L1,17.0635,50.7726,0.3361
drugclip,L2,12.4308,50.8629,0.2444
drugclip,L3,8.8668,50.9722,0.1740
drugclip,L4,8.0171,50.9105,0.1575
conglude,L1,12.8543,50.7726,0.2532
conglude,L2,6.6189,50.8629,0.1301
conglude,L3,6.8663,50.9722,0.1347
conglude,L4,5.0636,50.9105,0.0995
conplex,L1,6.1535,50.7726,0.1212
conplex,L2,3.4057,50.8629,0.0670
conplex,L3,3.5846,50.9722,0.0703
conplex,L4,1.8646,50.9105,0.0366
sprint,L1,2.7380,50.7726,0.0539
sprint,L2,2.0139,50.8629,0.0396
sprint,L3,1.4354,50.9722,0.0282
sprint,L4,1.6684,50.9105,0.0328
