model,group,tier,n_targets,n_actives,recall_at_1pct,ef_tier
bindclip_hardneg,seen,全新 <0.35,99,11255,0.0458,4.58
bindclip_hardneg,seen,远 0.35–0.5,145,19276,0.1282,12.82
bindclip_hardneg,seen,近 0.5–0.7,143,11584,0.2119,21.19
bindclip_hardneg,seen,极近 ≥0.7,104,4173,0.2201,22.01
bindclip_hardneg,unseen,全新 <0.35,78,6890,0.0378,3.78
bindclip_hardneg,unseen,远 0.35–0.5,106,11053,0.0701,7.01
bindclip_hardneg,unseen,近 0.5–0.7,80,3801,0.1131,11.31
bindclip_hardneg,unseen,极近 ≥0.7,47,1261,0.1080,10.80
bindclip_randneg,seen,全新 <0.35,99,11255,0.0572,5.72
bindclip_randneg,seen,远 0.35–0.5,145,19276,0.1199,11.99
bindclip_randneg,seen,近 0.5–0.7,143,11584,0.2031,20.31
bindclip_randneg,seen,极近 ≥0.7,104,4173,0.2161,21.61
bindclip_randneg,unseen,全新 <0.35,78,6890,0.0393,3.93
bindclip_randneg,unseen,远 0.35–0.5,106,11053,0.0651,6.51
bindclip_randneg,unseen,近 0.5–0.7,80,3801,0.1086,10.86
bindclip_randneg,unseen,极近 ≥0.7,47,1261,0.1507,15.07
drugclip,seen,全新 <0.35,99,11255,0.0757,7.57
drugclip,seen,远 0.35–0.5,145,19276,0.1307,13.07
drugclip,seen,近 0.5–0.7,143,11584,0.2078,20.78
drugclip,seen,极近 ≥0.7,104,4173,0.2135,21.35
drugclip,unseen,全新 <0.35,78,6890,0.0488,4.88
drugclip,unseen,远 0.35–0.5,106,11053,0.0656,6.56
drugclip,unseen,近 0.5–0.7,80,3801,0.0694,6.94
drugclip,unseen,极近 ≥0.7,47,1261,0.1118,11.18
hypseek_rk,seen,全新 <0.35,119,11598,0.1122,11.22
hypseek_rk,seen,远 0.35–0.5,176,23113,0.1866,18.66
hypseek_rk,seen,近 0.5–0.7,171,13298,0.3675,36.75
hypseek_rk,seen,极近 ≥0.7,118,4374,0.5081,50.81
hypseek_rk,unseen,全新 <0.35,56,6014,0.0421,4.21
hypseek_rk,unseen,远 0.35–0.5,69,6959,0.0652,6.52
hypseek_rk,unseen,近 0.5–0.7,46,1747,0.1375,13.75
hypseek_rk,unseen,极近 ≥0.7,29,718,0.2323,23.23
ligunity_pocket_ranking,seen,全新 <0.35,119,11598,0.1402,14.02
ligunity_pocket_ranking,seen,远 0.35–0.5,177,23120,0.2337,23.37
ligunity_pocket_ranking,seen,近 0.5–0.7,173,13320,0.3938,39.38
ligunity_pocket_ranking,seen,极近 ≥0.7,120,4494,0.4831,48.31
ligunity_pocket_ranking,unseen,全新 <0.35,56,6014,0.0788,7.88
ligunity_pocket_ranking,unseen,远 0.35–0.5,69,6959,0.0909,9.09
ligunity_pocket_ranking,unseen,近 0.5–0.7,46,1747,0.1564,15.64
ligunity_pocket_ranking,unseen,极近 ≥0.7,29,718,0.1774,17.74
ligunity_protein_ranking,seen,全新 <0.35,119,11598,0.1916,19.16
ligunity_protein_ranking,seen,远 0.35–0.5,177,23120,0.2639,26.39
ligunity_protein_ranking,seen,近 0.5–0.7,173,13320,0.4481,44.81
ligunity_protein_ranking,seen,极近 ≥0.7,120,4494,0.5310,53.10
ligunity_protein_ranking,unseen,全新 <0.35,56,6014,0.0518,5.18
ligunity_protein_ranking,unseen,远 0.35–0.5,69,6959,0.0943,9.43
ligunity_protein_ranking,unseen,近 0.5–0.7,46,1747,0.1903,19.03
ligunity_protein_ranking,unseen,极近 ≥0.7,29,718,0.3677,36.77
litenclip,seen,全新 <0.35,119,11598,0.0795,7.95
litenclip,seen,远 0.35–0.5,177,23120,0.1938,19.38
litenclip,seen,近 0.5–0.7,173,13320,0.3458,34.58
litenclip,seen,极近 ≥0.7,120,4494,0.4448,44.48
litenclip,unseen,全新 <0.35,56,6014,0.0465,4.65
litenclip,unseen,远 0.35–0.5,69,6959,0.0700,7.00
litenclip,unseen,近 0.5–0.7,46,1747,0.1236,12.36
litenclip,unseen,极近 ≥0.7,29,718,0.2260,22.60
sprint,seen,全新 <0.35,14,1405,0.0022,0.22
sprint,seen,远 0.35–0.5,19,1583,0.0286,2.86
sprint,seen,近 0.5–0.7,17,1186,0.0156,1.56
sprint,seen,极近 ≥0.7,12,1022,0.0559,5.59
sprint,unseen,全新 <0.35,153,16896,0.0110,1.10
sprint,unseen,远 0.35–0.5,225,28810,0.0217,2.17
sprint,unseen,近 0.5–0.7,207,15730,0.0194,1.94
sprint,unseen,极近 ≥0.7,145,4679,0.0293,2.93
