model,train_set,n_cells,n_targets,novelty_iqr_width,beta_target,beta_tier,beta_interaction,ci_lo,ci_hi,p_two_sided,interaction_sign
drugclip,A,682,269,0.0862,0.8870,0.5361,-0.0532,-0.5663,0.5070,0.82800,无交互
bindclip_randneg,A,682,269,0.0862,0.8092,0.7297,-0.2107,-0.6486,0.1947,0.33600,无交互
bindclip_hardneg,A,682,269,0.0862,0.7244,0.7822,-0.2718,-0.8433,0.2705,0.33800,无交互
ligunity_pocket_ranking,B,789,264,0.1789,1.0496,0.6768,-0.0133,-0.4612,0.5247,0.88800,无交互
ligunity_protein_ranking,B,789,264,0.1789,1.5956,0.9776,-0.3387,-0.8808,0.1728,0.20200,无交互
litenclip,B,789,264,0.1789,1.2991,0.9167,-0.1623,-0.7030,0.3782,0.54600,无交互
hypseek_rk,B,784,262,0.1782,1.0687,0.8500,-0.0647,-0.5478,0.4328,0.78000,无交互
conplex,C,639,298,0.0657,1.0540,1.4679,-0.4775,-0.9152,0.0151,0.06000,无交互
sprint,D,765,263,0.1127,-2.0336,0.3259,1.1458,0.0596,2.0060,0.04600,放大
POOLED,all,6601,323,,0.9395,0.7241,-0.0379,-0.2916,0.2906,0.87000,无交互
