model,uniprot,target_seen,tier,hit,tot,ef_tier
drugclip,O15379,0,近 0.5–0.7,0,19,0.0000
drugclip,O15379,0,远 0.35–0.5,0,64,0.0000
drugclip,O15379,0,全新 <0.35,1,46,2.1739
drugclip,O15379,0,极近 ≥0.7,0,12,0.0000
drugclip,O43353,1,远 0.35–0.5,3,204,1.4706
drugclip,O43353,1,全新 <0.35,0,16,0.0000
drugclip,O43353,1,近 0.5–0.7,0,16,0.0000
drugclip,O43353,1,极近 ≥0.7,0,10,0.0000
drugclip,O60341,1,远 0.35–0.5,0,39,0.0000
drugclip,O60341,1,全新 <0.35,0,63,0.0000
drugclip,O60674,1,全新 <0.35,0,137,0.0000
drugclip,O60674,1,近 0.5–0.7,0,34,0.0000
drugclip,O60674,1,远 0.35–0.5,0,35,0.0000
drugclip,O60674,1,极近 ≥0.7,2,22,9.0909
drugclip,O60885,1,近 0.5–0.7,4,15,26.6667
drugclip,O60885,1,极近 ≥0.7,15,24,62.5000
drugclip,O60885,1,全新 <0.35,0,11,0.0000
drugclip,O60885,1,远 0.35–0.5,2,8,25.0000
drugclip,O75469,1,全新 <0.35,0,78,0.0000
drugclip,P00734,1,近 0.5–0.7,21,28,75.0000
drugclip,P00734,1,远 0.35–0.5,40,107,37.3832
drugclip,P00734,1,全新 <0.35,3,13,23.0769
drugclip,P01116,1,全新 <0.35,1,47,2.1277
drugclip,P01116,1,远 0.35–0.5,0,4,0.0000
drugclip,P06239,1,全新 <0.35,0,15,0.0000
drugclip,P06239,1,近 0.5–0.7,0,31,0.0000
drugclip,P06239,1,极近 ≥0.7,1,10,10.0000
drugclip,P06239,1,远 0.35–0.5,0,12,0.0000
drugclip,P08581,1,近 0.5–0.7,4,22,18.1818
drugclip,P08581,1,远 0.35–0.5,7,23,30.4348
drugclip,P08581,1,全新 <0.35,2,4,50.0000
drugclip,P08581,1,极近 ≥0.7,3,17,17.6471
drugclip,P11362,1,远 0.35–0.5,2,19,10.5263
drugclip,P11362,1,全新 <0.35,0,22,0.0000
drugclip,P11362,1,极近 ≥0.7,2,10,20.0000
drugclip,P11362,1,近 0.5–0.7,2,5,40.0000
drugclip,P12931,1,近 0.5–0.7,16,40,40.0000
drugclip,P12931,1,远 0.35–0.5,12,36,33.3333
drugclip,P12931,1,极近 ≥0.7,4,14,28.5714
drugclip,P15056,1,远 0.35–0.5,12,26,46.1538
drugclip,P15056,1,极近 ≥0.7,6,14,42.8571
drugclip,P15056,1,全新 <0.35,0,5,0.0000
drugclip,P15056,1,近 0.5–0.7,7,13,53.8462
drugclip,P18031,1,全新 <0.35,46,100,46.0000
drugclip,P18031,1,远 0.35–0.5,2,8,25.0000
drugclip,P18031,1,近 0.5–0.7,3,5,60.0000
drugclip,P18031,1,极近 ≥0.7,1,3,33.3333
drugclip,P21554,0,全新 <0.35,3,80,3.7500
drugclip,P21554,0,远 0.35–0.5,3,16,18.7500
drugclip,P22413,0,全新 <0.35,0,122,0.0000
drugclip,P22413,0,远 0.35–0.5,0,60,0.0000
drugclip,P22413,0,近 0.5–0.7,0,5,0.0000
drugclip,P22455,1,全新 <0.35,0,31,0.0000
drugclip,P22455,1,远 0.35–0.5,0,12,0.0000
drugclip,P22455,1,极近 ≥0.7,1,8,12.5000
drugclip,P22455,1,近 0.5–0.7,0,4,0.0000
drugclip,P27338,1,远 0.35–0.5,0,95,0.0000
drugclip,P27338,1,全新 <0.35,0,29,0.0000
drugclip,P27338,1,近 0.5–0.7,0,31,0.0000
drugclip,P28335,1,全新 <0.35,1,68,1.4706
drugclip,P28335,1,近 0.5–0.7,1,4,25.0000
drugclip,P28335,1,远 0.35–0.5,0,7,0.0000
drugclip,P30530,1,近 0.5–0.7,0,11,0.0000
drugclip,P30530,1,远 0.35–0.5,0,11,0.0000
drugclip,P30530,1,全新 <0.35,0,20,0.0000
drugclip,P30530,1,极近 ≥0.7,1,8,12.5000
drugclip,P31153,1,全新 <0.35,0,58,0.0000
drugclip,P31153,1,远 0.35–0.5,0,5,0.0000
drugclip,P34913,1,远 0.35–0.5,11,27,40.7407
drugclip,P34913,1,近 0.5–0.7,48,79,60.7595
drugclip,P34913,1,极近 ≥0.7,5,9,55.5556
drugclip,P34913,1,全新 <0.35,0,9,0.0000
drugclip,P34914,1,极近 ≥0.7,1,7,14.2857
drugclip,P34914,1,全新 <0.35,5,21,23.8095
drugclip,P34914,1,远 0.35–0.5,8,25,32.0000
drugclip,P34914,1,近 0.5–0.7,2,46,4.3478
drugclip,P35968,1,近 0.5–0.7,17,53,32.0755
drugclip,P35968,1,极近 ≥0.7,9,26,34.6154
drugclip,P35968,1,远 0.35–0.5,10,38,26.3158
drugclip,P35968,1,全新 <0.35,0,19,0.0000
drugclip,P36888,0,极近 ≥0.7,4,18,22.2222
drugclip,P36888,0,远 0.35–0.5,1,27,3.7037
drugclip,P36888,0,全新 <0.35,1,30,3.3333
drugclip,P36888,0,近 0.5–0.7,1,9,11.1111
drugclip,P41182,1,全新 <0.35,0,15,0.0000
drugclip,P41182,1,近 0.5–0.7,5,5,100.0000
drugclip,P41182,1,远 0.35–0.5,22,42,52.3810
drugclip,P47989,0,全新 <0.35,0,38,0.0000
drugclip,P47989,0,近 0.5–0.7,0,4,0.0000
drugclip,P47989,0,远 0.35–0.5,0,11,0.0000
drugclip,P49327,1,全新 <0.35,2,620,0.3226
drugclip,P49327,1,远 0.35–0.5,1,45,2.2222
drugclip,P50406,0,远 0.35–0.5,2,7,28.5714
drugclip,P50406,0,近 0.5–0.7,4,8,50.0000
drugclip,P50406,0,全新 <0.35,3,51,5.8824
drugclip,P52333,1,近 0.5–0.7,28,57,49.1228
drugclip,P52333,1,全新 <0.35,1,110,0.9091
drugclip,P52333,1,极近 ≥0.7,15,31,48.3871
drugclip,P52333,1,远 0.35–0.5,28,58,48.2759
drugclip,P53634,1,全新 <0.35,9,54,16.6667
drugclip,P53634,1,远 0.35–0.5,0,3,0.0000
drugclip,P56817,1,远 0.35–0.5,75,122,61.4754
drugclip,P56817,1,近 0.5–0.7,4,6,66.6667
drugclip,P56817,1,全新 <0.35,54,132,40.9091
drugclip,Q05397,1,远 0.35–0.5,10,29,34.4828
drugclip,Q05397,1,近 0.5–0.7,13,33,39.3939
drugclip,Q05397,1,全新 <0.35,2,7,28.5714
drugclip,Q05397,1,极近 ≥0.7,4,21,19.0476
drugclip,Q13188,1,近 0.5–0.7,0,21,0.0000
drugclip,Q13188,1,远 0.35–0.5,0,19,0.0000
drugclip,Q13188,1,极近 ≥0.7,2,8,25.0000
drugclip,Q13547,0,近 0.5–0.7,5,58,8.6207
drugclip,Q13547,0,远 0.35–0.5,8,197,4.0609
drugclip,Q13547,0,全新 <0.35,2,93,2.1505
drugclip,Q13547,0,极近 ≥0.7,1,13,7.6923
drugclip,Q13627,1,极近 ≥0.7,4,42,9.5238
drugclip,Q13627,1,远 0.35–0.5,11,31,35.4839
drugclip,Q13627,1,近 0.5–0.7,1,26,3.8462
drugclip,Q13627,1,全新 <0.35,3,12,25.0000
drugclip,Q16678,0,远 0.35–0.5,8,76,10.5263
drugclip,Q16678,0,近 0.5–0.7,3,11,27.2727
drugclip,Q16678,0,全新 <0.35,1,20,5.0000
drugclip,Q92769,1,远 0.35–0.5,23,56,41.0714
drugclip,Q92769,1,近 0.5–0.7,8,21,38.0952
