model,layer,tier,n_targets,n_actives,recall_at_1pct,ef_tier
ligunity_protein_ranking,L1,全新 <0.35,18,212,0.2671,26.71
ligunity_protein_ranking,L1,远 0.35–0.5,106,1499,0.1911,19.11
ligunity_protein_ranking,L1,近 0.5–0.7,184,3364,0.3373,33.73
ligunity_protein_ranking,L1,极近 ≥0.7,245,6842,0.5241,52.41
ligunity_protein_ranking,L2,全新 <0.35,234,19163,0.1863,18.63
ligunity_protein_ranking,L2,远 0.35–0.5,373,39368,0.2651,26.51
ligunity_protein_ranking,L2,近 0.5–0.7,330,19896,0.4416,44.16
ligunity_protein_ranking,L2,极近 ≥0.7,152,2467,0.5572,55.72
ligunity_protein_ranking,L3,全新 <0.35,20,1364,0.0695,6.95
ligunity_protein_ranking,L3,远 0.35–0.5,33,1072,0.1333,13.33
ligunity_protein_ranking,L3,近 0.5–0.7,22,457,0.1937,19.37
ligunity_protein_ranking,L3,极近 ≥0.7,11,123,0.3259,32.59
ligunity_protein_ranking,L4,全新 <0.35,103,9276,0.0448,4.48
ligunity_protein_ranking,L4,远 0.35–0.5,169,10486,0.0749,7.49
ligunity_protein_ranking,L4,近 0.5–0.7,111,2330,0.1484,14.84
ligunity_protein_ranking,L4,极近 ≥0.7,49,925,0.2715,27.15
ligunity_pocket_ranking,L1,全新 <0.35,18,212,0.1420,14.20
ligunity_pocket_ranking,L1,远 0.35–0.5,106,1499,0.1889,18.89
ligunity_pocket_ranking,L1,近 0.5–0.7,184,3364,0.2836,28.36
ligunity_pocket_ranking,L1,极近 ≥0.7,245,6842,0.4661,46.61
ligunity_pocket_ranking,L2,全新 <0.35,234,19163,0.1492,14.92
ligunity_pocket_ranking,L2,远 0.35–0.5,373,39368,0.2344,23.44
ligunity_pocket_ranking,L2,近 0.5–0.7,330,19896,0.3937,39.37
ligunity_pocket_ranking,L2,极近 ≥0.7,152,2467,0.5098,50.98
ligunity_pocket_ranking,L3,全新 <0.35,20,1364,0.0473,4.73
ligunity_pocket_ranking,L3,远 0.35–0.5,33,1072,0.1093,10.93
ligunity_pocket_ranking,L3,近 0.5–0.7,22,457,0.1642,16.42
ligunity_pocket_ranking,L3,极近 ≥0.7,11,123,0.4261,42.61
ligunity_pocket_ranking,L4,全新 <0.35,103,9276,0.0702,7.02
ligunity_pocket_ranking,L4,远 0.35–0.5,169,10486,0.0822,8.22
ligunity_pocket_ranking,L4,近 0.5–0.7,111,2330,0.1439,14.39
ligunity_pocket_ranking,L4,极近 ≥0.7,49,925,0.1499,14.99
hypseek_rk,L1,全新 <0.35,18,212,0.1028,10.28
hypseek_rk,L1,远 0.35–0.5,104,1489,0.1513,15.13
hypseek_rk,L1,近 0.5–0.7,181,3338,0.2437,24.37
hypseek_rk,L1,极近 ≥0.7,241,6703,0.5106,51.06
hypseek_rk,L2,全新 <0.35,234,19163,0.1176,11.76
hypseek_rk,L2,远 0.35–0.5,373,39368,0.1908,19.08
hypseek_rk,L2,近 0.5–0.7,330,19896,0.3633,36.33
hypseek_rk,L2,极近 ≥0.7,152,2467,0.5297,52.97
hypseek_rk,L3,全新 <0.35,20,1364,0.0340,3.40
hypseek_rk,L3,远 0.35–0.5,33,1072,0.0601,6.01
hypseek_rk,L3,近 0.5–0.7,22,457,0.1946,19.46
hypseek_rk,L3,极近 ≥0.7,11,123,0.3135,31.35
hypseek_rk,L4,全新 <0.35,103,9276,0.0381,3.81
hypseek_rk,L4,远 0.35–0.5,169,10486,0.0564,5.64
hypseek_rk,L4,近 0.5–0.7,111,2330,0.1125,11.25
hypseek_rk,L4,极近 ≥0.7,49,925,0.1955,19.55
litenclip,L1,全新 <0.35,18,212,0.0958,9.58
litenclip,L1,远 0.35–0.5,106,1499,0.1668,16.68
litenclip,L1,近 0.5–0.7,184,3364,0.2399,23.99
litenclip,L1,极近 ≥0.7,245,6842,0.4364,43.64
litenclip,L2,全新 <0.35,234,19163,0.0944,9.44
litenclip,L2,远 0.35–0.5,373,39368,0.1967,19.67
litenclip,L2,近 0.5–0.7,330,19896,0.3556,35.56
litenclip,L2,极近 ≥0.7,152,2467,0.4697,46.97
litenclip,L3,全新 <0.35,20,1364,0.0160,1.60
litenclip,L3,远 0.35–0.5,33,1072,0.0994,9.94
litenclip,L3,近 0.5–0.7,22,457,0.1887,18.87
litenclip,L3,极近 ≥0.7,11,123,0.2552,25.52
litenclip,L4,全新 <0.35,103,9276,0.0546,5.46
litenclip,L4,远 0.35–0.5,169,10486,0.0683,6.83
litenclip,L4,近 0.5–0.7,111,2330,0.1357,13.57
litenclip,L4,极近 ≥0.7,49,925,0.2004,20.04
drugclip,L1,全新 <0.35,18,212,0.0453,4.53
drugclip,L1,远 0.35–0.5,109,1572,0.1228,12.28
drugclip,L1,近 0.5–0.7,191,3585,0.1863,18.63
