model,group,tier,n_targets,n_actives,recall_at_1pct,ef_tier
drugclip,L1,全新 <0.35,42,2813,0.0972,9.72
drugclip,L1,远 0.35–0.5,43,2006,0.1858,18.58
drugclip,L1,近 0.5–0.7,36,801,0.2961,29.61
drugclip,L1,极近 ≥0.7,26,369,0.2540,25.40
drugclip,L2,全新 <0.35,151,35708,0.1074,10.74
drugclip,L2,远 0.35–0.5,140,9763,0.1804,18.04
drugclip,L2,近 0.5–0.7,76,1752,0.2264,22.64
drugclip,L2,极近 ≥0.7,8,69,0.0066,0.66
drugclip,L3,全新 <0.35,16,2261,0.0373,3.73
drugclip,L3,远 0.35–0.5,9,204,0.0871,8.71
drugclip,L3,近 0.5–0.7,3,48,0.0000,0.00
drugclip,L3,极近 ≥0.7,1,8,0.0000,0.00
drugclip,L4,全新 <0.35,56,11297,0.0670,6.70
drugclip,L4,远 0.35–0.5,48,1746,0.1033,10.33
drugclip,L4,近 0.5–0.7,20,411,0.2522,25.22
drugclip,L4,极近 ≥0.7,7,36,0.0286,2.86
bindclip_randneg,L1,全新 <0.35,42,2813,0.1148,11.48
bindclip_randneg,L1,远 0.35–0.5,43,2006,0.2085,20.85
bindclip_randneg,L1,近 0.5–0.7,36,801,0.2648,26.48
bindclip_randneg,L1,极近 ≥0.7,26,369,0.3091,30.91
bindclip_randneg,L2,全新 <0.35,151,35708,0.1014,10.14
bindclip_randneg,L2,远 0.35–0.5,140,9763,0.1586,15.86
bindclip_randneg,L2,近 0.5–0.7,76,1752,0.2625,26.25
bindclip_randneg,L2,极近 ≥0.7,8,69,0.0526,5.26
bindclip_randneg,L3,全新 <0.35,16,2261,0.0457,4.57
bindclip_randneg,L3,远 0.35–0.5,9,204,0.0499,4.99
bindclip_randneg,L3,近 0.5–0.7,3,48,0.0000,0.00
bindclip_randneg,L3,极近 ≥0.7,1,8,0.0000,0.00
bindclip_randneg,L4,全新 <0.35,56,11297,0.0458,4.58
bindclip_randneg,L4,远 0.35–0.5,48,1746,0.1002,10.02
bindclip_randneg,L4,近 0.5–0.7,20,411,0.2953,29.53
bindclip_randneg,L4,极近 ≥0.7,7,36,0.0786,7.86
bindclip_hardneg,L1,全新 <0.35,42,2813,0.1187,11.87
bindclip_hardneg,L1,远 0.35–0.5,43,2006,0.2032,20.32
bindclip_hardneg,L1,近 0.5–0.7,36,801,0.2618,26.18
bindclip_hardneg,L1,极近 ≥0.7,26,369,0.2682,26.82
bindclip_hardneg,L2,全新 <0.35,151,35708,0.1079,10.79
bindclip_hardneg,L2,远 0.35–0.5,140,9763,0.1804,18.04
bindclip_hardneg,L2,近 0.5–0.7,76,1752,0.2647,26.47
bindclip_hardneg,L2,极近 ≥0.7,8,69,0.0417,4.17
bindclip_hardneg,L3,全新 <0.35,16,2261,0.0401,4.01
bindclip_hardneg,L3,远 0.35–0.5,9,204,0.0319,3.19
bindclip_hardneg,L3,近 0.5–0.7,3,48,0.0000,0.00
bindclip_hardneg,L3,极近 ≥0.7,1,8,0.0000,0.00
bindclip_hardneg,L4,全新 <0.35,56,11297,0.0346,3.46
bindclip_hardneg,L4,远 0.35–0.5,48,1746,0.1135,11.35
bindclip_hardneg,L4,近 0.5–0.7,20,411,0.2205,22.05
bindclip_hardneg,L4,极近 ≥0.7,7,36,0.1500,15.00
