model,layer,tier,n_targets,n_actives,recall_at_1pct,ef_tier
ligunity_protein_ranking,L1,全新 <0.35,7,145,0.5082,50.82
ligunity_protein_ranking,L1,远 0.35–0.5,30,594,0.2076,20.76
ligunity_protein_ranking,L1,近 0.5–0.7,42,1792,0.3181,31.81
ligunity_protein_ranking,L1,极近 ≥0.7,43,3044,0.5016,50.16
ligunity_protein_ranking,L2,全新 <0.35,112,11453,0.1718,17.18
ligunity_protein_ranking,L2,远 0.35–0.5,147,22526,0.2754,27.54
ligunity_protein_ranking,L2,近 0.5–0.7,131,11528,0.4898,48.98
ligunity_protein_ranking,L2,极近 ≥0.7,77,1450,0.5474,54.74
ligunity_protein_ranking,L3,全新 <0.35,13,1284,0.0600,6.00
ligunity_protein_ranking,L3,远 0.35–0.5,15,859,0.1105,11.05
ligunity_protein_ranking,L3,近 0.5–0.7,7,292,0.1208,12.08
ligunity_protein_ranking,L3,极近 ≥0.7,4,83,0.1893,18.93
ligunity_protein_ranking,L4,全新 <0.35,43,4730,0.0493,4.93
ligunity_protein_ranking,L4,远 0.35–0.5,54,6100,0.0898,8.98
ligunity_protein_ranking,L4,近 0.5–0.7,39,1455,0.2028,20.28
ligunity_protein_ranking,L4,极近 ≥0.7,25,635,0.3962,39.62
ligunity_pocket_ranking,L1,全新 <0.35,7,145,0.1867,18.67
ligunity_pocket_ranking,L1,远 0.35–0.5,30,594,0.1676,16.76
ligunity_pocket_ranking,L1,近 0.5–0.7,42,1792,0.2596,25.96
ligunity_pocket_ranking,L1,极近 ≥0.7,43,3044,0.4386,43.86
ligunity_pocket_ranking,L2,全新 <0.35,112,11453,0.1373,13.73
ligunity_pocket_ranking,L2,远 0.35–0.5,147,22526,0.2471,24.71
ligunity_pocket_ranking,L2,近 0.5–0.7,131,11528,0.4368,43.68
ligunity_pocket_ranking,L2,极近 ≥0.7,77,1450,0.5079,50.79
ligunity_pocket_ranking,L3,全新 <0.35,13,1284,0.0185,1.85
ligunity_pocket_ranking,L3,远 0.35–0.5,15,859,0.0633,6.33
ligunity_pocket_ranking,L3,近 0.5–0.7,7,292,0.1202,12.02
ligunity_pocket_ranking,L3,极近 ≥0.7,4,83,0.1264,12.64
ligunity_pocket_ranking,L4,全新 <0.35,43,4730,0.0971,9.71
ligunity_pocket_ranking,L4,远 0.35–0.5,54,6100,0.0986,9.86
ligunity_pocket_ranking,L4,近 0.5–0.7,39,1455,0.1629,16.29
ligunity_pocket_ranking,L4,极近 ≥0.7,25,635,0.1856,18.56
hypseek_rk,L1,全新 <0.35,7,145,0.1573,15.73
hypseek_rk,L1,远 0.35–0.5,29,587,0.1029,10.29
hypseek_rk,L1,近 0.5–0.7,40,1770,0.2314,23.14
hypseek_rk,L1,极近 ≥0.7,41,2924,0.4708,47.08
hypseek_rk,L2,全新 <0.35,112,11453,0.1094,10.94
hypseek_rk,L2,远 0.35–0.5,147,22526,0.2031,20.31
hypseek_rk,L2,近 0.5–0.7,131,11528,0.4091,40.91
hypseek_rk,L2,极近 ≥0.7,77,1450,0.5279,52.79
hypseek_rk,L3,全新 <0.35,13,1284,0.0395,3.95
hypseek_rk,L3,远 0.35–0.5,15,859,0.0506,5.06
hypseek_rk,L3,近 0.5–0.7,7,292,0.0942,9.42
hypseek_rk,L3,极近 ≥0.7,4,83,0.1140,11.40
hypseek_rk,L4,全新 <0.35,43,4730,0.0429,4.29
hypseek_rk,L4,远 0.35–0.5,54,6100,0.0693,6.93
hypseek_rk,L4,近 0.5–0.7,39,1455,0.1452,14.52
hypseek_rk,L4,极近 ≥0.7,25,635,0.2513,25.13
litenclip,L1,全新 <0.35,7,145,0.2034,20.34
litenclip,L1,远 0.35–0.5,30,594,0.1806,18.06
litenclip,L1,近 0.5–0.7,42,1792,0.2331,23.31
litenclip,L1,极近 ≥0.7,43,3044,0.4055,40.55
litenclip,L2,全新 <0.35,112,11453,0.0717,7.17
litenclip,L2,远 0.35–0.5,147,22526,0.1964,19.64
litenclip,L2,近 0.5–0.7,131,11528,0.3820,38.20
litenclip,L2,极近 ≥0.7,77,1450,0.4667,46.67
litenclip,L3,全新 <0.35,13,1284,0.0117,1.17
litenclip,L3,远 0.35–0.5,15,859,0.0558,5.58
litenclip,L3,近 0.5–0.7,7,292,0.0856,8.56
litenclip,L3,极近 ≥0.7,4,83,0.0563,5.63
litenclip,L4,全新 <0.35,43,4730,0.0570,5.70
litenclip,L4,远 0.35–0.5,54,6100,0.0740,7.40
litenclip,L4,近 0.5–0.7,39,1455,0.1304,13.04
litenclip,L4,极近 ≥0.7,25,635,0.2532,25.32
drugclip,L1,全新 <0.35,7,145,0.1165,11.65
drugclip,L1,远 0.35–0.5,31,656,0.1190,11.90
drugclip,L1,近 0.5–0.7,43,1944,0.1208,12.08
drugclip,L1,极近 ≥0.7,44,3255,0.2032,20.32
drugclip,L2,全新 <0.35,113,11461,0.0648,6.48
drugclip,L2,远 0.35–0.5,150,22670,0.1099,10.99
drugclip,L2,近 0.5–0.7,134,11694,0.1894,18.94
drugclip,L2,极近 ≥0.7,78,1461,0.1859,18.59
drugclip,L3,全新 <0.35,13,1284,0.0027,0.27
drugclip,L3,远 0.35–0.5,15,859,0.0747,7.47
drugclip,L3,近 0.5–0.7,7,292,0.1099,10.99
drugclip,L3,极近 ≥0.7,4,83,0.0907,9.07
drugclip,L4,全新 <0.35,44,5255,0.0710,7.10
drugclip,L4,远 0.35–0.5,55,6144,0.0835,8.35
drugclip,L4,近 0.5–0.7,39,1455,0.1007,10.07
drugclip,L4,极近 ≥0.7,25,635,0.1460,14.60
