model,train_set,n_seen,n_unseen,P_seen_gt_unseen,p_mwu,rank_seen,rank_unseen,rank_gain
drugclip,A,147,92,0.6930,0.000000,5.650,5.717,0.068
bindclip_randneg,A,147,92,0.6646,0.000008,5.929,5.897,-0.032
bindclip_hardneg,A,147,92,0.6954,0.000000,5.827,6.016,0.190
ligunity_pocket_ranking,B,179,60,0.8066,0.000000,3.123,5.142,2.019
ligunity_protein_ranking,B,179,60,0.8232,0.000000,2.709,4.433,1.724
litenclip,B,179,60,0.7758,0.000000,4.145,5.017,0.871
hypseek_official_vs,B,179,60,0.7953,0.000000,4.190,5.608,1.418
conplex,C,108,131,0.6252,0.000215,7.477,7.221,-0.255
sprint,D,20,219,0.4501,0.779780,7.000,7.897,0.897
drugjepa,B,179,60,0.8109,0.000000,3.919,5.908,1.989
