model,layer,n_targets,median_pool,median_actives,recall_at_100,recall_at_500,recall_at_1000,hit_at_100,ef_at_100
ligunity_protein_ranking,L1,55,5044,99,0.5489,0.7931,0.8553,59.35,30.32
ligunity_protein_ranking,L2,167,9017,177,0.3428,0.6268,0.7254,59.29,30.22
ligunity_protein_ranking,L3,12,5220,102,0.1387,0.2301,0.3379,18.92,9.64
ligunity_protein_ranking,L4,43,7233,142,0.1702,0.3281,0.4222,17.88,9.11
ligunity_pocket_ranking,L1,55,5044,99,0.5059,0.7591,0.8122,54.93,28.07
ligunity_pocket_ranking,L2,167,9017,177,0.2810,0.5574,0.6557,49.94,25.45
ligunity_pocket_ranking,L3,12,5220,102,0.1127,0.1955,0.2491,16.42,8.37
ligunity_pocket_ranking,L4,43,7233,142,0.1443,0.3411,0.4548,17.05,8.68
hypseek_rk,L1,53,5096,100,0.5110,0.7805,0.8533,53.72,27.46
hypseek_rk,L2,167,9017,177,0.2874,0.5834,0.6878,47.42,24.18
hypseek_rk,L3,12,5220,102,0.0624,0.1811,0.2574,12.08,6.16
hypseek_rk,L4,43,7233,142,0.1446,0.3372,0.4632,17.23,8.78
hypseek_official_vs,L1,55,5044,99,0.4744,0.7595,0.8340,49.87,25.49
hypseek_official_vs,L2,167,9017,177,0.2514,0.5304,0.6563,41.96,21.40
hypseek_official_vs,L3,12,5220,102,0.0572,0.2010,0.2464,11.25,5.73
hypseek_official_vs,L4,43,7233,142,0.1317,0.2889,0.3934,14.93,7.61
litenclip,L1,55,5044,99,0.4634,0.7115,0.7915,49.93,25.52
litenclip,L2,167,9017,177,0.2428,0.4989,0.6084,42.35,21.59
litenclip,L3,12,5220,102,0.0732,0.1761,0.2887,12.83,6.54
litenclip,L4,43,7233,142,0.1377,0.3066,0.4272,14.74,7.51
litenclip_v2,L1,55,5044,99,0.5008,0.7640,0.8353,53.05,27.11
litenclip_v2,L2,167,9017,177,0.2562,0.5421,0.6651,43.52,22.18
litenclip_v2,L3,12,5220,102,0.0980,0.2084,0.2964,13.58,6.92
litenclip_v2,L4,43,7233,142,0.0936,0.2685,0.3688,10.72,5.46
drugjepa,L1,55,5044,99,0.5150,0.7799,0.8559,55.51,28.37
drugjepa,L2,167,9017,177,0.3068,0.6025,0.7018,53.18,27.12
drugjepa,L3,12,5220,102,0.0667,0.2023,0.3077,12.67,6.45
drugjepa,L4,43,7233,142,0.1259,0.3516,0.4648,16.42,8.37
drugclip,L1,56,5070,100,0.2515,0.4786,0.5749,27.82,14.18
drugclip,L2,171,8869,174,0.1366,0.3209,0.4287,23.11,11.78
drugclip,L3,12,5220,102,0.0419,0.1664,0.3043,7.42,3.78
drugclip,L4,44,7488,147,0.0988,0.2790,0.3774,14.41,7.34
bindclip_randneg,L1,56,5070,100,0.2703,0.5006,0.6011,30.52,15.62
bindclip_randneg,L2,171,8869,174,0.1260,0.2860,0.3941,21.16,10.78
bindclip_randneg,L3,12,5220,102,0.0875,0.2378,0.3352,13.00,6.62
bindclip_randneg,L4,44,7488,147,0.1039,0.2512,0.3433,13.93,7.10
bindclip_hardneg,L1,56,5070,100,0.2735,0.5016,0.6080,31.41,16.04
bindclip_hardneg,L2,171,8869,174,0.1288,0.2863,0.4044,22.00,11.22
bindclip_hardneg,L3,12,5220,102,0.0731,0.2236,0.2986,14.33,7.30
bindclip_hardneg,L4,44,7488,147,0.0875,0.2061,0.2941,11.39,5.80
sprint,L1,47,5100,100,0.0487,0.1715,0.3161,4.68,2.39
sprint,L2,141,8466,166,0.0252,0.1061,0.1910,2.95,1.50
sprint,L3,10,5228,102,0.0084,0.0722,0.1646,3.00,1.53
sprint,L4,39,6783,133,0.0290,0.1073,0.1857,2.51,1.28
