target,layer,n_molecules,n_actives,metric,pocket,sequence,diff
C7C422,L1,1784,35,EF1%,8.4952,11.3270,+2.8317
C7C422,L1,1784,35,EF5%,10.7606,5.6635,-5.0971
C7C422,L1,1784,35,AUROC,0.8408,0.7245,-0.1163
O00141,L1,1581,31,EF1%,51.0000,51.0000,+0.0000
O00141,L1,1581,31,EF5%,16.5750,17.8500,+1.2750
O00141,L1,1581,31,AUROC,0.9208,0.9537,+0.0329
O00329,L1,9273,182,EF1%,41.6370,49.3070,+7.6700
O00329,L1,9273,182,EF5%,13.7259,12.7376,-0.9883
O00329,L1,9273,182,AUROC,0.9688,0.9323,-0.0365
O00444,L1,662,13,EF1%,21.8242,50.9231,+29.0989
O00444,L1,662,13,EF5%,10.4842,10.4842,+0.0000
O00444,L1,662,13,AUROC,0.8391,0.9502,+0.1111
O00763,L1,663,13,EF1%,51.0000,51.0000,+0.0000
O00763,L1,663,13,EF5%,19.5000,19.5000,+0.0000
O00763,L1,663,13,AUROC,0.9999,1.0000,+0.0001
O14744,L1,1222,24,EF1%,47.0000,50.9167,+3.9167
O14744,L1,1222,24,EF5%,12.3185,15.6035,+3.2849
O14744,L1,1222,24,AUROC,0.8878,0.9120,+0.0242
O14757,L1,662,13,EF1%,21.8242,29.0989,+7.2747
O14757,L1,662,13,EF5%,5.9910,11.9819,+5.9910
O14757,L1,662,13,AUROC,0.8083,0.7741,-0.0342
O14965,L1,1172,23,EF1%,42.4638,21.2319,-21.2319
O14965,L1,1172,23,EF5%,15.5461,5.1820,-10.3640
O14965,L1,1172,23,AUROC,0.9266,0.7799,-0.1467
O15379,L1,7189,141,EF1%,0.0000,49.5695,+49.5695
O15379,L1,7189,141,EF5%,0.0000,19.1197,+19.1197
O15379,L1,7189,141,AUROC,0.4009,0.9815,+0.5805
O43353,L1,12518,246,EF1%,50.8862,50.8862,+0.0000
O43353,L1,12518,246,EF5%,19.1026,19.5904,+0.4877
O43353,L1,12518,246,AUROC,0.9891,0.9942,+0.0052
O43570,L1,12736,250,EF1%,44.9740,43.3820,-1.5920
O43570,L1,12736,250,EF5%,18.3942,18.3142,-0.0800
O43570,L1,12736,250,AUROC,0.9842,0.9674,-0.0168
O60218,L1,1682,33,EF1%,50.9697,50.9697,+0.0000
O60218,L1,1682,33,EF5%,15.5907,17.3897,+1.7989
O60218,L1,1682,33,AUROC,0.9838,0.9884,+0.0046
O60341,L1,5301,104,EF1%,28.3173,30.2051,+1.8878
O60341,L1,5301,104,EF5%,6.5151,6.8984,+0.3832
O60341,L1,5301,104,AUROC,0.7062,0.7836,+0.0774
O60674,L1,11614,228,EF1%,0.0000,39.6189,+39.6189
O60674,L1,11614,228,EF5%,0.8767,16.6581,+15.7813
O60674,L1,11614,228,AUROC,0.6640,0.9533,+0.2893
O60885,L1,2954,58,EF1%,50.9310,50.9310,+0.0000
O60885,L1,2954,58,EF5%,18.2388,18.9271,+0.6883
O60885,L1,2954,58,AUROC,0.9682,0.9692,+0.0010
O75116,L1,1733,34,EF1%,50.9706,50.9706,+0.0000
O75116,L1,1733,34,EF5%,15.2326,16.9902,+1.7576
O75116,L1,1733,34,AUROC,0.9485,0.9585,+0.0100
O75385,L1,510,10,EF1%,25.5000,34.0000,+8.5000
O75385,L1,510,10,EF5%,11.7692,9.8077,-1.9615
O75385,L1,510,10,AUROC,0.8374,0.9388,+0.1014
O75417,L1,509,10,EF1%,0.0000,33.9333,+33.9333
O75417,L1,509,10,EF5%,3.9154,7.8308,+3.9154
O75417,L1,509,10,AUROC,0.6119,0.7082,+0.0963
O75460,L1,1732,34,EF1%,39.6209,42.4510,+2.8301
O75460,L1,1732,34,EF5%,18.7370,19.9080,+1.1711
O75460,L1,1732,34,AUROC,0.9785,0.9984,+0.0199
O75469,L1,4179,82,EF1%,50.9634,50.9634,+0.0000
O75469,L1,4179,82,EF5%,19.9952,19.9952,+0.0000
O75469,L1,4179,82,AUROC,1.0000,1.0000,+0.0000
O75762,L1,763,15,EF1%,6.3583,6.3583,+0.0000
O75762,L1,763,15,EF5%,1.3043,1.3043,+0.0000
O75762,L1,763,15,AUROC,0.4311,0.3650,-0.0661
O75874,L1,1476,29,EF1%,0.0000,3.3931,+3.3931
O75874,L1,1476,29,EF5%,0.0000,1.3756,+1.3756
O75874,L1,1476,29,AUROC,0.4521,0.6105,+0.1585
O76074,L1,2753,54,EF1%,29.1323,23.6700,-5.4623
O76074,L1,2753,54,EF5%,6.2803,7.7581,+1.4777
O76074,L1,2753,54,AUROC,0.5903,0.5819,-0.0084
O76083,L1,764,15,EF1%,50.9333,50.9333,+0.0000
O76083,L1,764,15,EF5%,18.2838,18.2838,+0.0000
O76083,L1,764,15,AUROC,0.9672,0.9748,+0.0077
O95271,L1,965,19,EF1%,50.7895,40.6316,-10.1579
O95271,L1,965,19,EF5%,19.6939,19.6939,+0.0000
O95271,L1,965,19,AUROC,0.9991,0.9978,-0.0012
O95819,L1,816,16,EF1%,0.0000,0.0000,+0.0000
O95819,L1,816,16,EF5%,1.2439,1.2439,+0.0000
O95819,L1,816,16,AUROC,0.8098,0.6975,-0.1123
O96013,L1,1071,21,EF1%,41.7273,51.0000,+9.2727
O96013,L1,1071,21,EF5%,15.1111,18.8889,+3.7778
O96013,L1,1071,21,AUROC,0.9497,0.9748,+0.0251
O96028,L1,1121,22,EF1%,16.9848,4.2462,-12.7386
O96028,L1,1121,22,EF5%,5.3636,0.8939,-4.4697
O96028,L1,1121,22,AUROC,0.8784,0.6969,-0.1815
P00338,L1,560,11,EF1%,0.0000,50.9091,+50.9091
P00338,L1,560,11,EF5%,0.0000,18.1818,+18.1818
P00338,L1,560,11,AUROC,0.2870,0.9646,+0.6776
P00352,L1,510,10,EF1%,0.0000,0.0000,+0.0000
P00352,L1,510,10,EF5%,0.0000,0.0000,+0.0000
P00352,L1,510,10,AUROC,0.4583,0.3005,-0.1578
P00491,L1,1325,26,EF1%,50.9615,50.9615,+0.0000
P00491,L1,1325,26,EF5%,19.7761,19.7761,+0.0000
P00491,L1,1325,26,AUROC,0.9993,0.9996,+0.0004
P00519,L1,2393,47,EF1%,42.4291,19.0931,-23.3360
P00519,L1,2393,47,EF5%,13.1530,12.3044,-0.8486
