target,layer,n_molecules,n_actives,metric,pocket,sequence,diff
O15379,L1,7189,141,EF1%,0.0000,49.5695,+49.5695
O15379,L1,7189,141,EF5%,0.0000,19.1197,+19.1197
O15379,L1,7189,141,AUROC,0.4009,0.9815,+0.5805
O43353,L1,12518,246,EF1%,50.8862,50.8862,+0.0000
O43353,L1,12518,246,EF5%,19.1026,19.5904,+0.4877
O43353,L1,12518,246,AUROC,0.9891,0.9942,+0.0052
O60341,L1,5301,104,EF1%,28.3173,30.2051,+1.8878
O60341,L1,5301,104,EF5%,6.5151,6.8984,+0.3832
O60341,L1,5301,104,AUROC,0.7062,0.7836,+0.0774
O60674,L1,11614,228,EF1%,0.0000,39.6189,+39.6189
O60674,L1,11614,228,EF5%,0.8767,16.6581,+15.7813
O60674,L1,11614,228,AUROC,0.6640,0.9533,+0.2893
O60885,L1,2954,58,EF1%,50.9310,50.9310,+0.0000
O60885,L1,2954,58,EF5%,18.2388,18.9271,+0.6883
O60885,L1,2954,58,AUROC,0.9682,0.9692,+0.0010
O75469,L1,4179,82,EF1%,50.9634,50.9634,+0.0000
O75469,L1,4179,82,EF5%,19.9952,19.9952,+0.0000
O75469,L1,4179,82,AUROC,1.0000,1.0000,+0.0000
P00734,L1,7595,149,EF1%,37.5592,14.7554,-22.8038
P00734,L1,7595,149,EF5%,19.3161,8.8532,-10.4629
P00734,L1,7595,149,AUROC,0.9842,0.9001,-0.0841
P00915,L1,8612,169,EF1%,33.3867,46.8585,+13.4718
P00915,L1,8612,169,EF5%,16.5527,19.2720,+2.7194
P00915,L1,8612,169,AUROC,0.9649,0.9872,+0.0223
P01116,L1,2593,51,EF1%,33.2436,33.2436,+0.0000
P01116,L1,2593,51,EF5%,10.1686,8.2131,-1.9555
P01116,L1,2593,51,AUROC,0.9470,0.8840,-0.0630
P04798,L1,3210,63,EF1%,3.0880,3.0880,+0.0000
P04798,L1,3210,63,EF5%,0.6329,0.6329,+0.0000
P04798,L1,3210,63,AUROC,0.5294,0.3831,-0.1463
P06239,L1,3463,68,EF1%,27.6458,21.8256,-5.8202
P06239,L1,3463,68,EF5%,14.0487,6.4390,-7.6097
P06239,L1,3463,68,AUROC,0.9554,0.8459,-0.1094
P07333,L1,5251,103,EF1%,23.0855,27.8950,+4.8095
P07333,L1,5251,103,EF5%,5.2337,7.1722,+1.9384
P07333,L1,5251,103,AUROC,0.7628,0.8206,+0.0578
P08581,L1,3365,66,EF1%,7.4978,32.9902,+25.4924
P08581,L1,3365,66,EF5%,3.6202,12.0674,+8.4472
P08581,L1,3365,66,AUROC,0.5957,0.9049,+0.3092
P0DMS8,L1,3507,60,EF1%,58.4500,58.4500,+0.0000
P0DMS8,L1,3507,60,EF5%,19.2619,19.2619,+0.0000
P0DMS8,L1,3507,60,AUROC,0.9834,0.9979,+0.0144
P0DTD1,L1,21395,419,EF1%,48.1988,49.8690,+1.6703
P0DTD1,L1,21395,419,EF5%,14.3165,16.7503,+2.4338
P0DTD1,L1,21395,419,AUROC,0.9443,0.9555,+0.0112
P11362,L1,2854,56,EF1%,26.3608,28.1182,+1.7574
P11362,L1,2854,56,EF5%,7.8407,6.4151,-1.4256
P11362,L1,2854,56,AUROC,0.6808,0.7978,+0.1170
P11802,L1,3620,71,EF1%,48.2299,50.9859,+2.7560
P11802,L1,3620,71,EF5%,19.4366,19.7183,+0.2817
P11802,L1,3620,71,AUROC,0.9963,0.9960,-0.0003
P12931,L1,4634,91,EF1%,34.6710,6.5008,-28.1702
P12931,L1,4634,91,EF5%,14.0477,3.7314,-10.3163
P12931,L1,4634,91,AUROC,0.9522,0.7049,-0.2473
P15056,L1,2955,58,EF1%,40.7586,40.7586,+0.0000
P15056,L1,2955,58,EF5%,18.9335,15.8353,-3.0982
P15056,L1,2955,58,AUROC,0.9831,0.9634,-0.0197
P18031,L1,5902,116,EF1%,32.2236,38.1595,+5.9359
P18031,L1,5902,116,EF5%,17.5327,18.0484,+0.5157
P18031,L1,5902,116,AUROC,0.9518,0.9640,+0.0121
P21554,L1,5096,100,EF1%,45.9639,50.9600,+4.9961
P21554,L1,5096,100,EF5%,14.3887,15.7876,+1.3989
P21554,L1,5096,100,AUROC,0.8414,0.8507,+0.0093
P22413,L1,9628,189,EF1%,8.4028,16.2804,+7.8776
P22413,L1,9628,189,EF5%,3.2763,5.2844,+2.0081
P22413,L1,9628,189,AUROC,0.6508,0.7973,+0.1465
P22455,L1,2803,55,EF1%,1.7574,47.4489,+45.6915
P22455,L1,2803,55,EF5%,1.4458,13.7349,+12.2891
P22455,L1,2803,55,AUROC,0.5866,0.9209,+0.3343
P23458,L1,10037,197,EF1%,46.4092,49.9403,+3.5311
P23458,L1,10037,197,EF5%,19.0806,19.2836,+0.2030
P23458,L1,10037,197,AUROC,0.9893,0.9868,-0.0025
P27338,L1,7900,155,EF1%,23.8710,25.1613,+1.2903
P27338,L1,7900,155,EF5%,10.1935,6.7097,-3.4839
P27338,L1,7900,155,AUROC,0.8193,0.7427,-0.0765
P28335,L1,4078,80,EF1%,12.4329,36.0555,+23.6226
P28335,L1,4078,80,EF5%,11.7442,15.9922,+4.2479
P28335,L1,4078,80,AUROC,0.8718,0.9727,+0.1010
P29597,L1,9519,187,EF1%,11.1352,49.3130,+38.1778
P29597,L1,9519,187,EF5%,5.0262,18.9285,+13.9023
P29597,L1,9519,187,AUROC,0.7991,0.9849,+0.1858
P30530,L1,2548,50,EF1%,17.6400,47.0400,+29.4000
P30530,L1,2548,50,EF5%,13.9344,12.7400,-1.1944
P30530,L1,2548,50,AUROC,0.9568,0.9058,-0.0511
P31153,L1,3213,63,EF1%,0.0000,51.0000,+51.0000
P31153,L1,3213,63,EF5%,0.0000,16.7888,+16.7888
P31153,L1,3213,63,AUROC,0.7520,0.9283,+0.1763
P34913,L1,6317,124,EF1%,50.9435,50.9435,+0.0000
P34913,L1,6317,124,EF5%,19.8293,19.3457,-0.4836
P34913,L1,6317,124,AUROC,0.9970,0.9963,-0.0008
P34914,L1,5044,99,EF1%,50.9495,50.9495,+0.0000
P34914,L1,5044,99,EF5%,15.9091,18.5271,+2.6180
P34914,L1,5044,99,AUROC,0.9812,0.9891,+0.0079
P34972,L1,3414,67,EF1%,50.9552,50.9552,+0.0000
P34972,L1,3414,67,EF5%,18.7730,19.3689,+0.5960
P34972,L1,3414,67,AUROC,0.9950,0.9860,-0.0090
P35968,L1,6924,136,EF1%,43.6387,16.0008,-27.6378
P35968,L1,6924,136,EF5%,14.5253,10.4171,-4.1082
P35968,L1,6924,136,AUROC,0.9034,0.8498,-0.0536
P36888,L1,4282,84,EF1%,29.6373,36.7503,+7.1130
P36888,L1,4282,84,EF5%,13.0404,12.5662,-0.4742
P36888,L1,4282,84,AUROC,0.9192,0.9078,-0.0114
P41145,L1,9834,193,EF1%,43.2332,42.7185,-0.5147
P41145,L1,9834,193,EF5%,12.5312,15.9488,+3.4176
P41145,L1,9834,193,AUROC,0.8598,0.9204,+0.0606
P41182,L1,3208,63,EF1%,50.9206,50.9206,+0.0000
P41182,L1,3208,63,EF5%,19.9255,19.9255,+0.0000
P41182,L1,3208,63,AUROC,0.9999,1.0000,+0.0001
P41595,L1,4634,90,EF1%,23.0057,40.5338,+17.5281
P41595,L1,4634,90,EF5%,9.3213,13.5380,+4.2168
P41595,L1,4634,90,AUROC,0.7843,0.9043,+0.1200
P47989,L1,2804,55,EF1%,7.0320,15.8219,+8.7900
P47989,L1,2804,55,EF5%,5.7852,9.0393,+3.2542
P47989,L1,2804,55,AUROC,0.7951,0.9072,+0.1121
P49327,L1,33880,665,EF1%,50.9474,50.9474,+0.0000
P49327,L1,33880,665,EF5%,20.0000,20.0000,+0.0000
P49327,L1,33880,665,AUROC,1.0000,1.0000,-0.0000
P50406,L1,3415,67,EF1%,48.0576,45.1450,-2.9126
P50406,L1,3415,67,EF5%,19.6727,19.6727,+0.0000
P50406,L1,3415,67,AUROC,0.9957,0.9944,-0.0013
P50750,L1,3416,67,EF1%,46.6149,49.5284,+2.9134
P50750,L1,3416,67,EF5%,14.0134,16.1005,+2.0871
P50750,L1,3416,67,AUROC,0.8805,0.8873,+0.0068
P52333,L1,13042,256,EF1%,41.2229,47.8341,+6.6112
P52333,L1,13042,256,EF5%,18.0220,18.1000,+0.0780
P52333,L1,13042,256,AUROC,0.9826,0.9799,-0.0028
P53634,L1,2953,58,EF1%,50.9138,50.9138,+0.0000
P53634,L1,2953,58,EF5%,18.5767,18.5767,+0.0000
P53634,L1,2953,58,AUROC,0.9562,0.9574,+0.0013
P56817,L1,13247,260,EF1%,50.9500,29.4974,-21.4526
P56817,L1,13247,260,EF5%,18.5203,14.8316,-3.6887
P56817,L1,13247,260,AUROC,0.9426,0.9349,-0.0077
Q05397,L1,4588,90,EF1%,39.8957,33.2464,-6.6493
Q05397,L1,4588,90,EF5%,18.6180,11.7471,-6.8709
