uniprot,layer_original,layer_corrected,layer_strict,seen_A,seen_B,seen_B_blend_only,seen_C,seen_D,seen_any
P0DMS8,L1,L1,L1,0,1,1,0,0,1
P21554,L1,L1,L1,0,1,1,0,0,1
P28335,L1,L1,L1,1,1,1,0,0,1
P34972,L1,L1,L1,0,1,1,1,0,1
P41145,L1,L1,L1,1,1,1,0,1,1
P41595,L1,L1,L1,1,1,1,0,0,1
P50406,L1,L1,L1,0,1,1,0,0,1
P04798,L1,L1,L1,0,1,1,0,0,1
Q16678,L1,L1,L1,0,1,1,0,0,1
P41182,L1,L1,L1,1,1,1,0,0,1
Q9NZQ7,L1,L1,L1,1,1,1,0,0,1
P00915,L1,L1,L1,1,1,1,1,0,1
P01116,L1,L1,L1,1,1,1,0,0,1
P0DTD1,L1,L1,L1,0,1,1,0,0,1
P18031,L1,L1,L1,1,1,1,1,0,1
P22413,L1,L1,L1,0,1,1,0,0,1
P27338,L1,L1,L1,1,1,1,0,0,1
P31153,L1,L1,L1,1,1,1,0,0,1
P47989,L1,L1,L1,0,1,1,0,0,1
P49327,L1,L1,L1,1,1,1,0,1,1
O75469,L1,L1,L1,1,1,1,0,0,1
O43353,L1,L1,L1,1,1,1,1,1,1
O60674,L1,L1,L1,1,1,1,1,0,1
P06239,L1,L1,L1,1,1,1,1,0,1
P07333,L1,L1,L1,1,1,1,1,0,1
P08581,L1,L1,L1,1,1,1,1,0,1
P11362,L1,L1,L1,1,1,1,1,0,1
P11802,L1,L1,L1,0,1,1,1,0,1
P12931,L1,L1,L1,1,1,1,1,0,1
P15056,L1,L1,L1,1,1,1,1,0,1
P22455,L1,L1,L1,1,1,1,1,0,1
P23458,L1,L1,L1,1,1,1,1,0,1
P29597,L1,L1,L1,1,1,1,1,0,1
P30530,L1,L1,L1,1,1,1,1,0,1
P35968,L1,L1,L1,1,1,1,1,0,1
P36888,L1,L1,L1,0,1,1,1,0,1
P50750,L1,L1,L1,1,1,1,1,0,1
P52333,L1,L1,L1,1,1,1,1,0,1
Q05397,L1,L1,L1,1,1,1,1,0,1
Q13188,L1,L1,L1,1,1,1,0,0,1
Q13627,L1,L1,L1,1,1,1,0,1,1
Q92918,L1,L1,L1,1,1,1,1,0,1
Q9NWZ3,L1,L1,L1,1,1,1,1,0,1
P00734,L1,L1,L1,1,1,1,1,0,1
P34913,L1,L1,L1,1,1,1,0,0,1
P34914,L1,L1,L1,1,1,1,0,0,1
P53634,L1,L1,L1,1,1,1,1,0,1
P56817,L1,L1,L1,1,1,1,1,0,1
Q9Y5Z0,L1,L1,L1,1,1,1,0,0,1
O15379,L1,L1,L1,0,1,1,0,1,1
O60341,L1,L1,L1,1,1,1,0,0,1
O60885,L1,L1,L1,1,1,1,0,0,1
Q13547,L1,L1,L1,0,1,1,1,0,1
Q92769,L1,L1,L1,1,1,1,0,0,1
Q9BY41,L1,L1,L1,1,1,1,1,0,1
Q9UBN7,L1,L1,L1,1,1,1,0,0,1
O43613,L2,L2,L2,1,1,1,0,1,1
O43614,L2,L2,L2,1,1,1,1,0,1
P08173,L2,L2,L2,0,1,1,0,1,1
P08908,L2,L2,L2,0,1,1,0,0,1
P0DMS8,L2,L2,L2,0,1,1,0,0,1
P18825,L2,L2,L2,0,1,1,0,0,1
P21554,L2,L2,L2,0,1,1,0,0,1
P28335,L2,L2,L2,1,1,1,0,0,1
P29274,L2,L2,L2,1,1,1,1,0,1
P29275,L2,L2,L2,0,1,1,0,0,1
P30542,L2,L2,L2,0,1,1,0,0,1
P31391,L2,L2,L2,0,1,1,0,0,1
P32245,L2,L2,L2,0,1,1,0,1,1
P34972,L2,L2,L2,0,1,1,1,0,1
P35372,L2,L2,L2,0,1,1,1,0,1
P41143,L2,L2,L2,1,1,1,0,0,1
P41145,L2,L2,L2,1,1,1,0,1,1
P41146,L2,L2,L2,1,1,1,0,0,1
P50406,L2,L2,L2,0,1,1,0,0,1
P61073,L2,L2,L2,1,1,1,1,0,1
Q14833,L2,L2,L2,0,1,1,0,0,1
Q92633,L2,L2,L2,0,1,1,0,0,1
Q9H3N8,L2,L2,L2,0,1,1,0,0,1
Q14145,L2,L2,L2,1,1,1,1,0,1
Q16552,L2,L2,L2,1,1,1,0,0,1
Q86WV6,L2,L2,L2,1,1,1,0,0,1
Q8R4B8,L2,L2,L2,0,1,1,0,0,1
Q99814,L2,L2,L2,1,1,1,1,1,1
O14684,L2,L2,L2,1,1,1,0,0,1
O43570,L2,L2,L2,1,1,1,1,0,1
O60502,L2,L2,L2,1,1,1,0,0,1
O95497,L2,L2,L2,0,1,1,0,0,1
P01116,L2,L2,L2,1,1,1,0,0,1
P04293,L2,L2,L2,0,1,1,0,0,1
P06276,L2,L2,L2,1,1,1,1,0,1
P15428,L2,L2,L2,0,1,1,0,0,1
P22413,L2,L2,L2,0,1,1,0,0,1
P27338,L2,L2,L2,1,1,1,0,0,1
P42330,L2,L2,L2,0,1,1,0,0,1
P43490,L2,L2,L2,1,1,1,1,0,1
P47205,L2,L2,L2,1,1,1,0,0,1
P50053,L2,L2,L2,1,1,1,0,0,1
P53396,L2,L2,L2,1,1,1,0,0,1
Q06124,L2,L2,L2,1,1,1,0,0,1
Q13489,L2,L2,L2,0,1,1,1,0,1
Q15125,L2,L2,L2,0,1,1,0,0,1
Q16769,L2,L2,L2,1,1,1,0,0,1
Q32ZE1,L2,L2,L2,1,1,1,0,0,1
Q6ZQW0,L2,L2,L2,0,1,1,0,0,1
Q72547,L2,L2,L2,1,1,1,0,0,1
Q86W56,L2,L2,L2,1,1,1,0,0,1
Q8N884,L2,L2,L2,1,1,1,0,0,1
Q8NEB9,L2,L2,L2,1,1,1,1,0,1
Q9UGN5,L2,L2,L2,1,1,1,0,0,1
Q9Y251,L2,L2,L2,0,1,1,1,0,1
P03372,L2,L2,L2,1,1,1,1,0,1
P04150,L2,L2,L2,1,1,1,1,0,1
P10275,L2,L2,L2,1,1,1,1,0,1
P11474,L2,L2,L2,1,1,1,0,0,1
Q96RI1,L2,L2,L2,1,1,1,0,0,1
O14757,L2,L2,L2,1,1,1,1,0,1
O75116,L2,L2,L2,1,1,1,0,0,1
O75385,L2,L2,L2,1,1,1,0,0,1
O95819,L2,L2,L2,1,1,1,0,0,1
O96017,L2,L2,L2,1,1,1,0,0,1
P00519,L2,L2,L2,1,1,1,1,0,1
P00533,L2,L2,L2,1,1,1,1,0,1
P04049,L2,L2,L2,1,1,1,1,0,1
P04626,L2,L2,L2,1,1,1,1,0,1
P06239,L2,L2,L2,1,1,1,1,0,1
P06241,L2,L2,L2,1,1,1,1,0,1
P07333,L2,L2,L2,1,1,1,1,0,1
P07949,L2,L2,L2,1,1,1,1,0,1
P08069,L2,L2,L2,1,1,1,1,0,1
P08581,L2,L2,L2,1,1,1,1,0,1
P08922,L2,L2,L2,1,1,1,1,0,1
P09619,L2,L2,L2,0,1,1,1,0,1
P10398,L2,L2,L2,0,1,1,0,0,1
P11309,L2,L2,L2,1,1,1,1,0,1
P11362,L2,L2,L2,1,1,1,1,0,1
P11802,L2,L2,L2,0,1,1,1,0,1
P21802,L2,L2,L2,1,1,1,1,0,1
P22455,L2,L2,L2,1,1,1,1,0,1
P22607,L2,L2,L2,0,1,1,1,0,1
P23458,L2,L2,L2,1,1,1,1,0,1
P24941,L2,L2,L2,1,1,1,1,0,1
P28482,L2,L2,L2,1,1,1,1,0,1
P29597,L2,L2,L2,1,1,1,1,0,1
P30530,L2,L2,L2,1,1,1,1,0,1
P31749,L2,L2,L2,1,1,1,1,1,1
P31751,L2,L2,L2,1,1,1,1,1,1
P35916,L2,L2,L2,0,1,1,1,0,1
P35968,L2,L2,L2,1,1,1,1,0,1
P36888,L2,L2,L2,0,1,1,1,0,1
P41240,L2,L2,L2,0,1,1,1,0,1
P42345,L2,L2,L2,0,1,1,1,0,1
P43405,L2,L2,L2,1,1,1,1,0,1
P48729,L2,L2,L2,1,1,1,1,0,1
P48730,L2,L2,L2,1,1,1,1,0,1
P49759,L2,L2,L2,1,1,1,1,0,1
P49760,L2,L2,L2,1,1,1,1,0,1
P49841,L2,L2,L2,1,1,1,1,1,1
P50750,L2,L2,L2,1,1,1,1,0,1
P53350,L2,L2,L2,1,1,1,1,1,1
