model,layer,n_targets,metric,correct_mean,swap_mean,delta,delta_pct,p_wilcoxon
hypseek_rk,L1,53,ef1,34.3744,1.5057,-32.8687,-95.6,3.715e-10
hypseek_rk,L1,53,bedroc,0.6552,0.0386,-0.6166,-94.1,2.676e-10
hypseek_rk,L1,53,auroc,0.9177,0.5696,-0.3481,-37.9,6.625e-10
hypseek_rk,L4,68,ef1,9.0809,0.1102,-8.9707,-98.8,3.844e-07
hypseek_rk,L4,68,bedroc,0.1909,0.0050,-0.1859,-97.4,3.436e-08
hypseek_rk,L4,68,auroc,0.7177,0.4861,-0.2316,-32.3,4.484e-07
ligunity_protein_ranking,L1,55,ef1,40.0620,0.5086,-39.5534,-98.7,1.107e-10
ligunity_protein_ranking,L1,55,bedroc,0.7377,0.0160,-0.7217,-97.8,1.108e-10
ligunity_protein_ranking,L1,55,auroc,0.9180,0.5433,-0.3747,-40.8,1.307e-10
ligunity_protein_ranking,L4,68,ef1,11.3766,0.2955,-11.0811,-97.4,1.036e-07
ligunity_protein_ranking,L4,68,bedroc,0.2228,0.0102,-0.2126,-95.4,8.667e-08
ligunity_protein_ranking,L4,68,auroc,0.7050,0.4810,-0.2240,-31.8,2.339e-08
ligunity_pocket_ranking,L1,55,ef1,34.7820,0.6806,-34.1014,-98.0,4.425e-10
ligunity_pocket_ranking,L1,55,bedroc,0.6544,0.0178,-0.6367,-97.3,2.027e-10
ligunity_pocket_ranking,L1,55,auroc,0.8824,0.5438,-0.3385,-38.4,5.95e-10
ligunity_pocket_ranking,L4,68,ef1,9.9102,0.0669,-9.8434,-99.3,6.771e-08
ligunity_pocket_ranking,L4,68,bedroc,0.2039,0.0036,-0.2003,-98.2,1.476e-08
ligunity_pocket_ranking,L4,68,auroc,0.6489,0.4948,-0.1541,-23.8,2.844e-05
litenclip,L1,55,ef1,32.2455,0.7099,-31.5357,-97.8,2.527e-10
litenclip,L1,55,bedroc,0.6039,0.0170,-0.5869,-97.2,1.628e-10
litenclip,L1,55,auroc,0.8767,0.5107,-0.3660,-41.7,4.557e-10
litenclip,L4,68,ef1,9.7014,0.3613,-9.3400,-96.3,4.48e-07
litenclip,L4,68,bedroc,0.2015,0.0108,-0.1907,-94.6,3.557e-08
litenclip,L4,68,auroc,0.7061,0.4943,-0.2118,-30.0,4.63e-07
drugclip,L1,56,ef1,17.0635,0.4953,-16.5682,-97.1,2.365e-09
drugclip,L1,56,bedroc,0.3238,0.0126,-0.3113,-96.1,4.605e-10
drugclip,L1,56,auroc,0.7528,0.4708,-0.2820,-37.5,2.739e-09
drugclip,L4,69,ef1,8.8537,0.5741,-8.2796,-93.5,5.162e-07
drugclip,L4,69,bedroc,0.1814,0.0132,-0.1681,-92.7,1.048e-07
drugclip,L4,69,auroc,0.6749,0.4884,-0.1865,-27.6,4.587e-06
bindclip_randneg,L1,56,ef1,18.8389,0.4430,-18.3959,-97.6,1.11e-09
bindclip_randneg,L1,56,bedroc,0.3550,0.0122,-0.3428,-96.6,1.692e-10
bindclip_randneg,L1,56,auroc,0.7525,0.4957,-0.2568,-34.1,1.907e-08
bindclip_randneg,L4,69,ef1,7.1874,0.1409,-7.0464,-98.0,2.044e-07
bindclip_randneg,L4,69,bedroc,0.1483,0.0058,-0.1425,-96.1,1.576e-08
bindclip_randneg,L4,69,auroc,0.6505,0.5256,-0.1249,-19.2,0.0001674
bindclip_hardneg,L1,56,ef1,19.3018,0.5628,-18.7389,-97.1,8.846e-10
bindclip_hardneg,L1,56,bedroc,0.3614,0.0164,-0.3449,-95.5,1.604e-10
bindclip_hardneg,L1,56,auroc,0.7500,0.4857,-0.2643,-35.2,4.623e-08
bindclip_hardneg,L4,69,ef1,6.2185,0.1863,-6.0323,-97.0,1.941e-07
bindclip_hardneg,L4,69,bedroc,0.1222,0.0080,-0.1142,-93.5,1.654e-07
bindclip_hardneg,L4,69,auroc,0.6310,0.4749,-0.1561,-24.7,1.886e-05
conplex,L1,53,ef1,6.1535,1.0919,-5.0615,-82.3,1.652e-06
conplex,L1,53,bedroc,0.1224,0.0252,-0.0972,-79.4,1.351e-07
conplex,L1,53,auroc,0.5936,0.4989,-0.0948,-16.0,0.0001075
conplex,L4,61,ef1,2.2239,0.8600,-1.3639,-61.3,0.005466
conplex,L4,61,bedroc,0.0500,0.0249,-0.0251,-50.2,0.01023
conplex,L4,61,auroc,0.5486,0.5271,-0.0214,-3.9,0.2765
conglude,L1,24,ef1,14.9543,2.3040,-12.6503,-84.6,0.0002191
conglude,L1,24,bedroc,0.2827,0.0505,-0.2322,-82.1,1.049e-05
conglude,L1,24,auroc,0.7200,0.5100,-0.2101,-29.2,1.311e-05
conglude,L4,38,ef1,6.6095,1.2725,-5.3370,-80.7,0.004848
conglude,L4,38,bedroc,0.1303,0.0303,-0.0999,-76.7,0.0003195
conglude,L4,38,auroc,0.5791,0.5248,-0.0543,-9.4,0.06084
sprint,L1,47,ef1,2.7380,1.9334,-0.8046,-29.4,0.2216
sprint,L1,47,bedroc,0.0582,0.0432,-0.0150,-25.8,0.4656
sprint,L1,47,auroc,0.5835,0.5667,-0.0169,-2.9,0.2239
sprint,L4,59,ef1,1.5891,0.8293,-0.7599,-47.8,0.02184
sprint,L4,59,bedroc,0.0356,0.0206,-0.0150,-42.1,0.01195
sprint,L4,59,auroc,0.5163,0.4817,-0.0346,-6.7,0.02176
