model,layer,n_targets,metric,correct_mean,swap_mean,delta,delta_pct,p_wilcoxon
hypseek_rk,L1,32,ef1,35.0161,34.9441,-0.0720,-0.2,0.6702
hypseek_rk,L1,32,bedroc,0.6576,0.6518,-0.0058,-0.9,0.9687
hypseek_rk,L1,32,auroc,0.9052,0.9068,0.0016,0.2,0.3779
hypseek_rk,L4,7,ef1,12.1126,13.5001,1.3874,11.5,1
hypseek_rk,L4,7,bedroc,0.2476,0.2588,0.0112,4.5,0.9375
hypseek_rk,L4,7,auroc,0.8288,0.7952,-0.0336,-4.1,0.6875
ligunity_protein_ranking,L1,34,ef1,39.3585,38.6384,-0.7200,-1.8,0.6639
ligunity_protein_ranking,L1,34,bedroc,0.7227,0.7099,-0.0128,-1.8,0.5542
ligunity_protein_ranking,L1,34,auroc,0.9095,0.9167,0.0072,0.8,0.6978
ligunity_protein_ranking,L4,7,ef1,18.7874,18.6081,-0.1793,-1.0,1
ligunity_protein_ranking,L4,7,bedroc,0.3281,0.3311,0.0030,0.9,0.375
ligunity_protein_ranking,L4,7,auroc,0.7726,0.7720,-0.0006,-0.1,0.8125
ligunity_pocket_ranking,L1,34,ef1,32.2932,35.1515,2.8582,8.9,0.09749
ligunity_pocket_ranking,L1,34,bedroc,0.6103,0.6617,0.0513,8.4,0.04082
ligunity_pocket_ranking,L1,34,auroc,0.8644,0.8796,0.0152,1.8,0.2348
ligunity_pocket_ranking,L4,7,ef1,8.8035,9.2144,0.4109,4.7,0.8438
ligunity_pocket_ranking,L4,7,bedroc,0.1800,0.2034,0.0234,13.0,0.375
ligunity_pocket_ranking,L4,7,auroc,0.6748,0.7409,0.0661,9.8,0.1562
litenclip,L1,34,ef1,30.4039,31.5356,1.1317,3.7,0.6186
litenclip,L1,34,bedroc,0.5717,0.5927,0.0210,3.7,0.5656
litenclip,L1,34,auroc,0.8791,0.8737,-0.0055,-0.6,0.6746
litenclip,L4,7,ef1,11.8776,12.9229,1.0453,8.8,1
litenclip,L4,7,bedroc,0.2376,0.2608,0.0232,9.8,0.6875
litenclip,L4,7,auroc,0.7832,0.7979,0.0147,1.9,0.5781
drugclip,L1,34,ef1,19.8147,16.5739,-3.2409,-16.4,0.393
drugclip,L1,34,bedroc,0.3719,0.3269,-0.0451,-12.1,0.723
drugclip,L1,34,auroc,0.7563,0.7790,0.0227,3.0,0.5772
drugclip,L4,7,ef1,7.3636,7.0386,-0.3250,-4.4,0.4375
drugclip,L4,7,bedroc,0.1506,0.1468,-0.0038,-2.5,0.375
drugclip,L4,7,auroc,0.6681,0.6887,0.0206,3.1,0.5781
bindclip_randneg,L1,34,ef1,21.0912,18.3384,-2.7528,-13.1,0.3164
bindclip_randneg,L1,34,bedroc,0.3921,0.3520,-0.0400,-10.2,0.5772
bindclip_randneg,L1,34,auroc,0.7577,0.7733,0.0156,2.1,1
bindclip_randneg,L4,7,ef1,7.0818,6.7424,-0.3393,-4.8,1
bindclip_randneg,L4,7,bedroc,0.1600,0.1604,0.0004,0.3,0.9375
bindclip_randneg,L4,7,auroc,0.7846,0.8072,0.0227,2.9,0.8125
bindclip_hardneg,L1,34,ef1,21.6273,17.7215,-3.9058,-18.1,0.2314
bindclip_hardneg,L1,34,bedroc,0.4030,0.3482,-0.0549,-13.6,0.2932
bindclip_hardneg,L1,34,auroc,0.7703,0.7811,0.0107,1.4,0.6005
bindclip_hardneg,L4,7,ef1,3.5767,5.9287,2.3519,65.8,0.3125
bindclip_hardneg,L4,7,bedroc,0.0787,0.1228,0.0441,56.0,0.07812
bindclip_hardneg,L4,7,auroc,0.7180,0.7125,-0.0055,-0.8,1
conplex,L1,34,ef1,6.5594,7.6552,1.0958,16.7,0.3011
conplex,L1,34,bedroc,0.1264,0.1444,0.0179,14.2,0.5656
conplex,L1,34,auroc,0.5909,0.5960,0.0051,0.9,0.906
conplex,L4,7,ef1,3.0124,2.5806,-0.4317,-14.3,0.5
conplex,L4,7,bedroc,0.0694,0.0599,-0.0095,-13.7,0.5781
conplex,L4,7,auroc,0.6279,0.6302,0.0023,0.4,1
conglude,L1,8,ef1,25.8481,25.2225,-0.6256,-2.4,0.8125
conglude,L1,8,bedroc,0.4804,0.4854,0.0050,1.0,0.8438
conglude,L1,8,auroc,0.8462,0.8519,0.0058,0.7,0.3828
sprint,L1,28,ef1,3.6389,3.2247,-0.4141,-11.4,0.7764
sprint,L1,28,bedroc,0.0739,0.0700,-0.0039,-5.3,0.9375
sprint,L1,28,auroc,0.6026,0.6242,0.0215,3.6,0.3272
sprint,L4,7,ef1,2.4746,2.0254,-0.4492,-18.2,1
sprint,L4,7,bedroc,0.0544,0.0483,-0.0061,-11.3,0.6875
sprint,L4,7,auroc,0.5670,0.5443,-0.0226,-4.0,1
