model,layer,n_targets,metric,correct_mean,swap_mean,delta,delta_pct,p_wilcoxon
hypseek_rk,L1,32,ef1,35.0161,34.9441,-0.0720,-0.2,0.6702
hypseek_rk,L1,32,bedroc,0.6576,0.6518,-0.0058,-0.9,0.9687
hypseek_rk,L1,32,auroc,0.9052,0.9068,0.0016,0.2,0.3779
ligunity_protein_ranking,L1,34,ef1,39.3585,38.6384,-0.7200,-1.8,0.6639
ligunity_protein_ranking,L1,34,bedroc,0.7227,0.7099,-0.0128,-1.8,0.5542
ligunity_protein_ranking,L1,34,auroc,0.9095,0.9167,0.0072,0.8,0.6978
ligunity_pocket_ranking,L1,34,ef1,34.2464,34.2221,-0.0243,-0.1,0.909
ligunity_pocket_ranking,L1,34,bedroc,0.6399,0.6473,0.0074,1.2,0.5097
ligunity_pocket_ranking,L1,34,auroc,0.8815,0.8835,0.0020,0.2,0.8793
litenclip,L1,34,ef1,30.4039,31.5356,1.1317,3.7,0.6186
litenclip,L1,34,bedroc,0.5717,0.5927,0.0210,3.7,0.5656
litenclip,L1,34,auroc,0.8791,0.8737,-0.0055,-0.6,0.6746
litenclip_v2,L1,34,ef1,34.5137,33.5330,-0.9807,-2.8,0.2312
litenclip_v2,L1,34,bedroc,0.6488,0.6304,-0.0184,-2.8,0.2702
litenclip_v2,L1,34,auroc,0.9088,0.9034,-0.0054,-0.6,0.8264
drugjepa,L1,34,ef1,35.0066,36.7305,1.7239,4.9,0.5872
drugjepa,L1,34,bedroc,0.6529,0.6802,0.0273,4.2,0.8001
drugjepa,L1,34,auroc,0.9100,0.9126,0.0026,0.3,0.5614
drugclip,L1,34,ef1,19.8147,16.5739,-3.2409,-16.4,0.393
drugclip,L1,34,bedroc,0.3719,0.3269,-0.0451,-12.1,0.723
drugclip,L1,34,auroc,0.7563,0.7790,0.0227,3.0,0.5772
bindclip_randneg,L1,34,ef1,21.0912,18.3384,-2.7528,-13.1,0.3164
bindclip_randneg,L1,34,bedroc,0.3921,0.3520,-0.0400,-10.2,0.5772
bindclip_randneg,L1,34,auroc,0.7577,0.7733,0.0156,2.1,1
bindclip_hardneg,L1,34,ef1,21.6273,17.7215,-3.9058,-18.1,0.2314
bindclip_hardneg,L1,34,bedroc,0.4030,0.3482,-0.0549,-13.6,0.2932
bindclip_hardneg,L1,34,auroc,0.7703,0.7811,0.0107,1.4,0.6005
conplex,L1,34,ef1,6.5594,7.6552,1.0958,16.7,0.3011
conplex,L1,34,bedroc,0.1264,0.1444,0.0179,14.2,0.5656
conplex,L1,34,auroc,0.5909,0.5960,0.0051,0.9,0.906
conglude,L1,8,ef1,25.8481,25.2225,-0.6256,-2.4,0.8125
conglude,L1,8,bedroc,0.4804,0.4854,0.0050,1.0,0.8438
conglude,L1,8,auroc,0.8462,0.8519,0.0058,0.7,0.3828
sprint,L1,28,ef1,3.6389,3.2247,-0.4141,-11.4,0.7764
sprint,L1,28,bedroc,0.0739,0.0700,-0.0039,-5.3,0.9375
sprint,L1,28,auroc,0.6026,0.6242,0.0215,3.6,0.3272
