model,layer,n_targets,metric,correct_mean,swap_mean,delta,delta_pct,p_wilcoxon
hypseek_rk,L1,53,ef1,34.3744,1.5057,-32.8687,-95.6,3.715e-10
hypseek_rk,L1,53,bedroc,0.6552,0.0386,-0.6166,-94.1,2.676e-10
hypseek_rk,L1,53,auroc,0.9177,0.5696,-0.3481,-37.9,6.625e-10
hypseek_rk,L4,43,ef1,8.7256,0.0448,-8.6809,-99.5,0.0001033
hypseek_rk,L4,43,bedroc,0.1930,0.0032,-0.1898,-98.3,3.569e-06
hypseek_rk,L4,43,auroc,0.7299,0.4836,-0.2463,-33.7,1.001e-05
ligunity_protein_ranking,L1,55,ef1,40.0620,0.5086,-39.5534,-98.7,1.107e-10
ligunity_protein_ranking,L1,55,bedroc,0.7377,0.0160,-0.7217,-97.8,1.108e-10
ligunity_protein_ranking,L1,55,auroc,0.9180,0.5433,-0.3747,-40.8,1.307e-10
ligunity_protein_ranking,L4,43,ef1,10.8118,0.4357,-10.3761,-96.0,7.687e-05
ligunity_protein_ranking,L4,43,bedroc,0.2169,0.0147,-0.2022,-93.2,4.37e-05
ligunity_protein_ranking,L4,43,auroc,0.7125,0.4920,-0.2205,-30.9,3.852e-06
ligunity_pocket_ranking,L1,55,ef1,35.2850,0.4877,-34.7973,-98.6,4.175e-10
ligunity_pocket_ranking,L1,55,bedroc,0.6610,0.0119,-0.6491,-98.2,1.628e-10
ligunity_pocket_ranking,L1,55,auroc,0.8923,0.5376,-0.3547,-39.8,4.094e-10
ligunity_pocket_ranking,L4,43,ef1,9.3494,0.0254,-9.3240,-99.7,4.613e-05
ligunity_pocket_ranking,L4,43,bedroc,0.1967,0.0023,-0.1943,-98.8,1.075e-05
ligunity_pocket_ranking,L4,43,auroc,0.7006,0.5157,-0.1848,-26.4,4.37e-05
litenclip,L1,55,ef1,32.2455,0.7099,-31.5357,-97.8,2.527e-10
litenclip,L1,55,bedroc,0.6039,0.0170,-0.5869,-97.2,1.628e-10
litenclip,L1,55,auroc,0.8767,0.5107,-0.3660,-41.7,4.557e-10
litenclip,L4,43,ef1,8.3408,0.3072,-8.0336,-96.3,0.000285
litenclip,L4,43,bedroc,0.1779,0.0096,-0.1683,-94.6,9.327e-06
litenclip,L4,43,auroc,0.7041,0.5117,-0.1924,-27.3,6.351e-05
litenclip_v2,L1,55,ef1,34.5418,1.9522,-32.5896,-94.3,1.107e-10
litenclip_v2,L1,55,bedroc,0.6532,0.0464,-0.6068,-92.9,1.108e-10
litenclip_v2,L1,55,auroc,0.9105,0.5049,-0.4056,-44.6,1.108e-10
litenclip_v2,L4,43,ef1,6.1949,0.0887,-6.1062,-98.6,0.0002931
litenclip_v2,L4,43,bedroc,0.1323,0.0056,-0.1267,-95.7,5.448e-08
litenclip_v2,L4,43,auroc,0.6527,0.4420,-0.2107,-32.3,2.42e-06
drugjepa,L1,55,ef1,35.7875,0.1362,-35.6513,-99.6,2.386e-10
drugjepa,L1,55,bedroc,0.6733,0.0087,-0.6645,-98.7,1.171e-10
drugjepa,L1,55,auroc,0.9150,0.5227,-0.3924,-42.9,1.628e-10
drugjepa,L4,43,ef1,9.7331,0.6563,-9.0769,-93.3,8.977e-05
drugjepa,L4,43,bedroc,0.1988,0.0164,-0.1824,-91.7,2.441e-05
drugjepa,L4,43,auroc,0.7357,0.5107,-0.2250,-30.6,5.608e-06
drugclip,L1,56,ef1,17.0635,0.4953,-16.5682,-97.1,2.365e-09
drugclip,L1,56,bedroc,0.3238,0.0126,-0.3113,-96.1,4.605e-10
