model,group,rank_AB,rank_Aonly,rank_Bonly,rank_neither,Bonly_minus_Aonly,p_mwu
drugclip,A,5.794,5.231,6.625,5.046,1.394,0.932004
bindclip_randneg,A,5.996,6.308,6.672,5.444,0.364,0.718914
bindclip_hardneg,A,6.162,4.769,5.719,6.037,0.950,0.860608
ligunity_pocket_ranking,B,3.127,4.346,2.547,4.907,-1.799,0.008611
ligunity_protein_ranking,B,2.632,4.192,3.156,4.519,-1.036,0.103528
litenclip,B,4.250,6.462,4.391,4.861,-2.071,0.005143
hypseek_rk,B,3.482,5.346,4.469,5.306,-0.877,0.145106
conglude,?,6.917,6.885,7.016,5.778,0.131,0.505030
conplex,C,8.026,5.192,7.172,6.574,1.980,0.974571
sprint,D,8.614,6.269,7.234,6.528,0.965,0.830916
