model,group,rank_PL,rank_P_only,rank_L_only,rank_neither,Lonly_minus_Ponly,p_mwu
drugclip,A,5.891,6.357,6.469,5.173,0.112,0.493660
bindclip_randneg,A,5.704,6.339,6.360,5.542,0.021,0.621663
bindclip_hardneg,A,6.002,5.214,6.272,5.606,1.058,0.981366
ligunity_pocket_ranking,B,3.190,4.411,3.311,4.960,-1.100,0.003188
ligunity_protein_ranking,B,2.898,4.429,2.832,4.804,-1.597,0.003735
litenclip,B,4.061,5.125,3.824,4.906,-1.301,0.005076
conglude,?,6.708,5.000,6.777,5.968,1.777,0.999502
conplex,C,7.710,6.732,7.389,6.101,0.656,0.879833
sprint,D,8.555,6.554,7.598,6.394,1.045,0.983429
hypseek_official_vs,B,4.281,4.839,4.168,5.545,-0.671,0.114227
